MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		mature B cell differentiation involved in immune response			IMP		J:251374 	
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		positive regulation of immunoglobulin production in mucosal tissue			IMP		J:251374 	
MGI:3608415	9830107B12Rik	RIKEN cDNA 9830107B12 gene	17		regulation of innate immune response			IBA	PTN001046732 	J:265628 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		negative regulation of complement activation, lectin pathway			ISO	P01023 	J:164563 	
MGI:2443476	A530064D06Rik	RIKEN cDNA A530064D06 gene	17		regulation of innate immune response			IBA	PTN001046732 	J:265628 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell proliferation involved in immune response	happens in bone marrow,affects a population of precursor B cell		IGI	MGI:96561 	J:28795 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell proliferation involved in immune response	happens in B cell,happens in spleen		IMP	MGI:1856663 	J:34903 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell proliferation involved in immune response	affects a population of B cell,happens in spleen		IMP	MGI:2153718 	J:66085 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell receptor signaling pathway			IMP	MGI:2153718 	J:147102 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		B cell receptor signaling pathway	happens in spleen		IMP	MGI:2153718 	J:66085 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		T cell receptor signaling pathway			IDA		J:137330 	
MGI:107771	Abr	active BCR-related gene	11		negative regulation of neutrophil degranulation	regulates a function/process that happens in neutrophil		IGI	MGI:88141 	J:153997 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		immune response			IBA	PTN001628461 	J:265628 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		immune response			IBA	PTN001628461 	J:265628 	
MGI:2181676	Ackr4	atypical chemokine receptor 4	9		immune response			IBA	PTN001628461 	J:265628 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to interferon-gamma			IDA		J:196718 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		innate immune response			IEA	KW-0399 	J:60000 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of innate immune response			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of toll-like receptor 2 signaling pathway			IMP		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of toll-like receptor 4 signaling pathway			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		positive regulation of antimicrobial humoral response			IDA		J:196954 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		positive regulation of antimicrobial humoral response			ISO	A6NK06 	J:164563 	
MGI:87906	Actg1	actin, gamma, cytoplasmic 1	11		cellular response to interferon-gamma			IDA		J:143718 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		cellular response to interferon-gamma			IGI	MGI:1921367 	J:143718 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		cellular response to interferon-gamma			IGI	MGI:1913963 	J:143718 	
MGI:87916	Ada	adenosine deaminase	2		germinal center B cell differentiation	happens in spleen,results in the differentiation of germinal center B cell		IMP	MGI:1857117 MGI:2683027 	J:106733 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of germinal center formation	regulates the formation of spleen		IMP	MGI:1857117 MGI:2683027 	J:106733 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell receptor signaling pathway	regulates a function/process that happens in thymocyte		IMP	MGI:1857117 MGI:2683027 	J:110739 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of innate immune response			IDA		J:172936 	
MGI:1333882	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	3		immune response to tumor cell			ISO	Q13444 	J:164563 	
MGI:1333882	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	3		innate immune response			ISO	Q13444 	J:164563 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		germinal center formation			IMP		J:143629 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		negative regulation of type I interferon-mediated signaling pathway			IMP	MGI:3828307 	J:142338 	
MGI:102891	Adcy7	adenylate cyclase 7	8		regulation of adaptive immune response			IMP		J:161446 	
MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	17		negative regulation of acute inflammatory response to antigenic stimulus			ISO	RGD:2037 	J:155856 	
MGI:1933736	Adgrb1	adhesion G protein-coupled receptor B1	15		innate immune response			IEA	KW-0399 	J:60000 	
MGI:106912	Adgre1	adhesion G protein-coupled receptor E1	17		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:108058	Adm	adrenomedullin	7		antibacterial humoral response			ISO	P35318 	J:164563 	
MGI:108058	Adm	adrenomedullin	7		antimicrobial humoral immune response mediated by antimicrobial peptide			ISO	P35318 	J:164563 	
MGI:99403	Adora2b	adenosine A2b receptor	11		positive regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IMP		J:132588 	
MGI:104847	Adora3	adenosine A3 receptor	3		histamine secretion by mast cell	happens in mast cell		IDA		J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		histamine secretion by mast cell	happens in mast cell		IMP	MGI:2155986 	J:84007 	
MGI:104847	Adora3	adenosine A3 receptor	3		positive regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IDA		J:84007 	
