genes	u	cv2	residualcv2	fitratio	pval	fdr
LCE1F	0.116223940493829	257.151565623047	3.19518018663361	24.4145724756077	0	0
KCNMA1	2.71060701468139	11.7602191147474	2.4327208579096	11.3898300675989	0	0
PI16	1.33266481601885	14.2376924758084	2.26888294351432	9.66859441341968	0	0
ACAN	0.145091484800068	74.8589142066728	2.1687544598567	8.74738203723262	0	0
IGFBP5	0.169774619164241	58.3878705129771	2.06537189263068	7.888230927186	0	0
COMP	1.33346464358872	10.9855533118698	2.00992382887654	7.46274887970279	0	0
KRTAP2-3	2.08928228482369	7.48800879625879	1.86567222752594	6.46027720281235	0	0
SFRP2	1.4439874891506	8.64243409979847	1.81605271380186	6.14754437707936	0	0
LCE3D	0.028694704802464	240.286048665585	1.77290457234729	5.8879304685517	0	0
KRT19	0.766784530632769	12.2175591835078	1.75551877478638	5.78644882720002	0	0
KRT81	0.171641984675964	40.5667255296048	1.71124944250323	5.53587391453984	0	0
FLG	0.0206674599562805	283.637885524554	1.61478982030107	5.02683127454571	0	0
KRT14	0.0621399065680732	94.9320354980923	1.59972587434146	4.9516748572005	0	0
G0S2	0.0864480700999095	67.1260794316179	1.57098493165035	4.81138474592048	0	0
CXCL1	0.149379153604633	37.5374384698298	1.50551770237496	4.50648604501629	0	0
CPB1	0.0184320754406212	272.269560687769	1.4605800352329	4.30845786107354	0	0
MMP3	2.00597545153324	4.9843389949259	1.43907976584494	4.21681357510738	0	0
RGCC	0.308576538368536	17.4086004808233	1.38784033209435	4.00618866641458	0	0
CLU	1.38536401912023	5.4944121627603	1.33933713176409	3.81651282158266	2.47032822920623e-323	1.03062093722484e-320
KRT17	0.0283998785933908	154.771758909042	1.32285107973321	3.75410939904363	2.12891231312412e-313	8.43581504075443e-311
STMN2	0.183005172312358	25.7489668629631	1.3153312155024	3.72598488485216	6.34422461611071e-309	2.39418952774654e-306
PTX3	0.659102206449702	8.60394980458967	1.29474394165806	3.65006122584588	6.58805819441327e-297	2.37319823594205e-294
MGP	0.0530602818290686	75.2141618489186	1.21358083499136	3.36551445324728	9.72869732661683e-253	3.35217070927993e-250
TFPI2	0.476864435876097	10.1519236984637	1.2103914435638	3.35479760949008	4.19715081306378e-251	1.38593417473044e-248
MMP1	0.622843624110062	8.23941643404024	1.20913457824137	3.35058372940554	1.84160593393326e-250	5.83789081056844e-248
CTSC	0.62249750573379	8.19315101005833	1.20308492202183	3.33037503915585	2.1900865037098e-247	6.67555213150006e-245
PCP4	0.025014178919832	152.204601324911	1.18093976700449	3.25743399390595	2.36269027395857e-236	6.93493348930431e-234
MT1X	0.731227567171679	7.01536791228325	1.16668580757741	3.21133201038465	1.95500381417406e-229	5.5333590097605e-227
ACTC1	2.79882396512204	3.21409671819863	1.14862165624689	3.1538428328609	7.16212946573184e-221	1.95723710399741e-218
GAL	0.410660846896954	10.4196217708012	1.11519401587826	3.05015990123117	1.30892788225514e-205	3.457751155624e-203
ACTA2	0.764502926329388	6.43485479162155	1.11224956285152	3.04119205785384	2.6636094854154e-204	6.80938876513453e-202
HIST1H4C	0.717467950588538	6.26160651240483	1.03926457596193	2.82713710505168	1.19070221561896e-173	2.94884845586884e-171
LUM	1.046949604658	4.77376219191895	1.02733892850552	2.79362190705676	5.85124157157288e-169	1.40518452893076e-166
PPP1R14A	0.238261486002766	14.6625943768768	0.989918470140218	2.69101506532433	8.58335232149886e-155	2.00067844552584e-152
RARRES2	0.277495764539065	12.381085082534	0.955049548850257	2.59879934724914	2.5014464641955e-142	5.66398949392838e-140
PENK	0.161902316394604	19.1091339524983	0.90476087651304	2.47134089674346	1.49489745417054e-125	3.29085064563931e-123
DCN	8.53613713343036	1.80896806578691	0.891066000027242	2.43772688364342	3.20387801298259e-121	6.86236033861812e-119
DKK1	6.57519212121205	1.90111974323445	0.8878623889885	2.42992985088813	3.19507614797307e-120	6.6634153875491e-118
SERPINE2	10.7064656358422	1.68135076152493	0.855523153073997	2.35260483113915	1.93781081587418e-110	3.93773095276997e-108
