genes	u	cv2	residualcv2	fitratio	pval	fdr
IGFBP5	0.342200254471201	366.856889386773	4.52167762182814	91.9897926859647	0	0
COL1A2	0.402752942016663	162.932103504273	3.85289262484539	47.1291933255703	0	0
POSTN	0.153560469632229	253.390602982836	3.41558795433415	30.4348384632655	0	0
COL1A1	0.681340173998578	62.389328440126	3.33119895174876	27.9718585153843	0	0
SPARC	0.302969994451542	106.035658930558	3.17194268537083	23.8537797621478	0	0
TSLP	0.658172952064501	43.6291720887216	2.94592779660722	19.028308599314	0	0
IGFL1	0.33430910483053	75.6553331340707	2.92220960031298	18.5823015900515	0	0
IFNL2	0.520792912546522	50.3169713984885	2.89692068949721	18.1182676093679	0	0
IFNL3	0.442754886269596	52.7386209090266	2.80655658498283	16.5528217368164	0	0
CCL2	1.4517337934404	15.0024029115	2.45409916033271	11.6359467037485	0	0
IL23A	1.4390209982261	14.5608887634224	2.41854097863756	11.2294633298572	0	0
SERPINB4	1.83786905265211	12.3673038006677	2.40670110264906	11.0972918674848	0	0
S100A7	0.457983252307684	29.3217959091136	2.24843482318	9.47289746751785	0	0
COL3A1	0.105980499720133	111.006138546235	2.23655527332272	9.36102949593138	0	0
COL6A3	0.0448139246458058	234.971772495722	2.14819174738174	8.56934883133638	0	0
PI3	3.38629337937575	6.97235259994087	2.14797716907475	8.56751023224099	0	0
RP11-338I21.1	0.0357111510978539	286.796233791171	2.12383345718624	8.36313583952961	0	0
TEX26-AS1	0.0308360118031024	330.566480999475	2.12091036240405	8.33872529534284	0	0
OVOS2	0.102500399454381	101.276303416778	2.11270006757387	8.27054218688376	0	0
GREM1	0.0388237242793034	256.99822537406	2.09653836038142	8.13795044625691	0	0
AMTN	0.48106077457091	20.8422559139555	1.94883533340308	7.02050626811944	0	0
TNFAIP6	1.47614970752396	8.7600519160021	1.92682574040779	6.86767582000591	0	0
S100A8	1.07492551184526	10.3583603301189	1.87968408991902	6.55143487092217	0	0
MSMB	1.00761846104597	10.743322771102	1.86977656818668	6.48684686939843	0	0
IL17C	2.23917572199108	6.27448400259941	1.83988347699397	6.2958046122052	0	0
LY6D	0.186797918571237	43.300957738211	1.83295306753328	6.25232295523881	0	0
SLC15A2	0.295966167295376	28.3483116187531	1.83172545690182	6.24465224639283	0	0
KRT81	0.0949532149168128	80.3407123862306	1.8073933110532	6.0945401381401	0	0
AREG	9.07543200491763	3.56672091780308	1.79906185581421	6.0439746841771	0	0
CXCL6	0.678661190523755	13.0305125482727	1.76196467976181	5.82386819777529	0	0
CTGF	0.146548343507689	50.3399849390189	1.75522596509895	5.78475474696124	0	0
CRCT1	0.471110243443297	17.120710351366	1.73442933447439	5.66569366503367	0	0
PPBP	0.758688464640185	11.4174938120988	1.71748780852664	5.57051666701331	0	0
MMP1	0.698346046895921	11.9564334920364	1.69862642235985	5.46643366151381	0	0
COL6A1	0.248689834144589	29.0253511185673	1.69749962508976	5.46027756797295	0	0
SERPINB2	2.35692916195296	5.21630260697614	1.68260535820575	5.37955339263052	0	0
SUGCT	2.21079408727222	5.23240573020765	1.65133629341612	5.21394253111238	0	0
S100A9	24.5359132270627	2.46812331396437	1.58421529041442	4.87546405366282	0	0
MEG3	0.0301708292096092	190.70039115823	1.54924715326759	4.70792450250323	0	0
IFNL1	0.906759030895835	8.33371648336436	1.53834181597879	4.65686193121085	0	0
CXCL5	5.05960443098662	3.15557505547469	1.51185865529774	4.53515225035408	0	0
FBXO32	0.837572644186973	8.45831402781893	1.4934901432737	4.45260867390341	0	0
KRT6B	2.94896090790292	3.70927402558062	1.45386309099179	4.27961516568595	0	0
KRT14	0.82311893486781	8.22110837882943	1.45179802726852	4.27078660656376	0	0
CCL5	15.9788236166643	2.22814320281265	1.43114080993121	4.18346901367365	0	0
HAS2	0.057099589528278	90.2924204566024	1.42949930146404	4.17660744706612	0	0
ANKRD1	0.12666231599015	41.0768573235257	1.41319186218789	4.10905001623014	0	0
SULF1	0.0461067230256569	108.738033888006	1.40562718198185	4.07808363994279	0	0
SERPINB3	0.841327945450816	7.69246391231112	1.40197693682222	4.06322477063205	0	0
CCL7	0.0242425511339329	202.524947762953	1.39285977125692	4.02634803874504	0	0
NEXN	0.469267320392648	12.0641958311494	1.38105473547675	3.97909630900868	0	0
LCE3D	0.0547411891559573	86.8273302210798	1.34906019141149	3.85380199203678	0	0
IL20	0.0662540616955845	71.9770775252057	1.34811002070493	3.85014196137736	0	0
THBS2	0.0734081591274197	64.6967453871803	1.34137547207047	3.82430010736972	0	0
SBSN	0.0304797413833917	153.02342914521	1.33920583359087	3.81601175331654	2.96439387504748e-323	5.90902512426131e-321
GDF15	2.71058319102349	3.42646389140277	1.33382178370569	3.79552136580641	5.22474420477118e-320	1.02274355456755e-317
COL6A2	0.0318124210724154	144.097564346675	1.32140180832337	3.74867261626075	1.56324153920658e-312	3.00636030750569e-310
IL13RA2	0.543651956993587	9.65359591055504	1.28166879514193	3.60264679135762	1.88717672091882e-289	3.56676400253657e-287
LUM	0.0168423707315382	259.276836321582	1.2784586026773	3.59110014516957	1.21946311306681e-287	2.26572112634548e-285
VIM	0.640769069764546	8.33149718957503	1.26873054978481	3.55633510525407	3.3365907880897e-282	6.09595136983988e-280
CGA	0.044896272027615	97.2951075438565	1.26828029282153	3.55473420104536	5.93177466541355e-282	1.0659690800371e-279
DKK1	0.303146217507171	15.3734222682136	1.24132912313608	3.46020945420941	2.80722546856246e-267	4.91906979803851e-265
ADAMTS2	0.0158918282532433	264.673402179442	1.24132340269035	3.46018966032562	2.82705160806811e-267	4.91906979803851e-265
CCL3L3	0.0364054498647231	116.213220260925	1.23948452815325	3.45383265232712	2.70753977799645e-266	4.63750797599954e-264
IFNB1	0.0751633077235234	56.0602704695791	1.22107438116254	3.39082881992335	1.31089131540595e-256	2.21076778453539e-254
CSF2	3.52537304654361	2.6698055493302	1.20547927521997	3.33835868730445	1.33811067755121e-248	2.22248018898732e-246
SFTA1P	1.28362473422832	4.63851874806324	1.19912315930556	3.31720698507073	2.18796304436472e-245	3.57976878989941e-243
TIMP1	9.43211441067528	1.94059212272714	1.1989767410351	3.31672132091713	2.59252833142275e-245	4.17930817192003e-243
OLR1	0.427302042815017	10.8425085662336	1.19417633273691	3.30083785841943	6.62147075650951e-243	1.05195018018634e-240
RGS2	0.769232968773946	6.58807089859079	1.17831030533124	3.24887994726332	4.57376242934655e-235	7.16251196435671e-233
ITGA1	0.170719732114559	24.2094937705494	1.16721472913967	3.21303100240569	1.08890788169659e-229	1.68121242241663e-227
FST	7.06073459532443	1.9896000294877	1.15295955339439	3.16755359512748	6.59226588261431e-223	1.00367248062803e-220
DHRS9	0.730404382342528	6.60560700164642	1.14061376953039	3.12868806940501	3.80021834598609e-217	5.70657445324652e-215
CYP24A1	0.510086696492625	8.83308931670127	1.13969984369601	3.12582998678737	1.00493298363254e-216	1.48865883332161e-214
TAGLN	4.9638360847299	2.14331928747198	1.11844352409803	3.06008754214145	4.63589764005729e-207	6.77582799070773e-205
PTX3	0.295948924059559	13.8263894002572	1.11368462726192	3.04555949737024	6.1436107237994e-205	8.86135009924855e-203
MMP13	0.205036781210344	19.2978935027266	1.11151414958914	3.0389563470675	5.64163853974201e-204	8.03164177566908e-202
AQP3	4.43378666414842	2.18775639107255	1.09825603947864	2.99893144277921	3.6857133317974e-198	5.17984481322604e-196
CLNK	0.291391850418945	13.6222109403815	1.08484044452084	2.9589676615698	2.15960825518388e-192	2.99666148016781e-190
IL6	6.02613463193339	1.91121831609928	1.06705179026496	2.90679700746435	6.37622554144143e-185	8.73702304816012e-183
LTB	11.4198230008644	1.60961236564742	1.05083233209928	2.86003062294906	2.7661271546397e-178	3.7434920826124e-176
SRGN	0.38058296958014	10.377336570181	1.04986713181139	2.85727145235872	6.78705805997377e-178	9.0731378601747e-176
SPP1	0.0688444318051356	50.7321579732082	1.03571961152337	2.81713274757395	3.01591377982814e-172	3.98318636800916e-170
NUPR1	16.6178794788108	1.4521559818192	1.0084965256566	2.74147617590552	1.01047317586262e-161	1.31866749450072e-159
CYP1B1	0.107756165913691	31.4165077440088	0.990273620997475	2.69197095136349	6.35469342875956e-155	8.19531169012498e-153
IL36G	9.11981543414817	1.58486589141131	0.989013589696365	2.68858111979853	1.8449351795098e-154	2.35164877183564e-152
MMP9	0.212473265818671	16.509882344586	0.98849744516184	2.68719378141228	2.85315470472632e-154	3.59497492795516e-152
IL1RL1	0.235330997303805	14.971321536074	0.984881689630069	2.67749509024679	5.98955217700855e-153	7.46107624595088e-151
COL4A1	0.422931770239546	8.83868141906488	0.980983297148054	2.66707748267129	1.56425195375591e-151	1.92666628281711e-149
DUOXA2	3.12420676963151	2.23341461488612	0.973434230134253	2.64701934140661	8.18737210801719e-149	9.97221922756494e-147
CXCL9	0.0676212626436621	48.112550479612	0.965226777558126	2.62538296690888	6.79218204574908e-146	8.18196698741774e-144
KRT23	0.507769053847872	7.44487376817719	0.964901808686892	2.62452993778103	8.84685362531062e-146	1.05412184174625e-143
PLAT	1.24032313264333	3.72477848472951	0.956505312883311	2.6025853409561	7.79237661824585e-143	9.18494973002269e-141
RRAD	0.0620648689723765	51.7793128655757	0.954983183702871	2.59862688327029	2.63787347751272e-142	3.07620947452069e-140
SPRR2D	0.108205142475745	29.4160457785015	0.928475242748747	2.53064761109483	2.73181338908334e-133	3.15222509169806e-131
LINC00958	2.04907993762942	2.64825061436951	0.928280410491232	2.53015460733587	3.17155966592873e-133	3.62152469353237e-131
NKX3-1	1.47171138995651	3.22615620836346	0.925981870758959	2.5243456250879	1.83840171752109e-132	2.07758346674909e-130
INHBA	6.24268569015223	1.61993653844514	0.912333013889756	2.49012525864916	5.45569860472262e-128	6.10258858213973e-126
