"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071560","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","9/58","233/17913",5.58919501773944e-08,5.69676741610715e-05,3.56528069277141e-05,"9076/1906/9518/3248/3303/3309/3397/3725/678",9
"GO:0071248","BP","GO:0071248","cellular response to metal ion","8/58","167/17913",6.2207461278841e-08,5.69676741610715e-05,3.56528069277141e-05,"9076/1906/3309/3398/3725/3726/4502/5743",8
"GO:0071559","BP","GO:0071559","response to transforming growth factor beta","9/58","239/17913",6.95010258166794e-08,5.69676741610715e-05,3.56528069277141e-05,"9076/1906/9518/3248/3303/3309/3397/3725/678",9
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","8/58","194/17913",1.97568810423488e-07,0.000121455426207839,7.60120002208263e-05,"9076/1906/3309/3398/3725/3726/4502/5743",8
"GO:0046677","BP","GO:0046677","response to antibiotic","9/58","328/17913",1.00332494335527e-06,0.000493435207142123,0.00030881285624956,"374/9076/1365/1906/3248/3309/3397/3725/7356",9
"GO:0050679","BP","GO:0050679","positive regulation of epithelial cell proliferation","7/58","199/17913",3.49803079351867e-06,0.0014336096202104,0.000897214214056895,"374/2683/1499/2152/3397/3725/4609",7
"GO:0051384","BP","GO:0051384","response to glucocorticoid","6/58","139/17913",5.69154905872378e-06,0.00160941274100033,0.00100723932593159,"374/9076/1906/5743/7356/678",6
"GO:0044706","BP","GO:0044706","multi-multicellular organism process","7/58","225/17913",7.84002427715616e-06,0.00160941274100033,0.00100723932593159,"2683/1906/3248/3726/5743/7356/7076",7
"GO:0007568","BP","GO:0007568","aging","8/58","318/17913",8.00345673399886e-06,0.00160941274100033,0.00100723932593159,"9076/22943/1906/3398/3725/10769/5743/7076",8
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","9/58","425/17913",8.32404234904653e-06,0.00160941274100033,0.00100723932593159,"374/2683/1499/2152/3280/3397/3398/3725/4609",9
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","8/58","323/17913",8.96721501754737e-06,0.00160941274100033,0.00100723932593159,"22943/9518/3280/3248/3303/3309/3397/3725",8
"GO:0048715","BP","GO:0048715","negative regulation of oligodendrocyte differentiation","3/58","13/17913",9.00358523264831e-06,0.00160941274100033,0.00100723932593159,"1499/3280/3398",3
"GO:0006692","BP","GO:0006692","prostanoid metabolic process","4/58","41/17913",9.16298429199049e-06,0.00160941274100033,0.00100723932593159,"1646/1906/3248/5743",4
