"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030055","CC","GO:0030055","cell-substrate junction","56/1168","404/18678",1.67331951041871e-08,9.95625108699131e-06,8.27852810417677e-06,"9590/1499/55827/667/2274/3303/3304/3309/3315/3691/143903/4739/5328/5329/5500/388/390/6385/3371/1012/4478/10979/23022/8394/11135/3685/3611/823/23164/8021/23092/1308/87/55740/5058/2886/7052/5576/11078/23011/5747/2195/51495/3688/4323/3716/2316/4008/7414/11252/11261/8826/3675/4026/26136/1465",56
"GO:0005925","CC","GO:0005925","focal adhesion","54/1168","397/18678",5.73615279217719e-08,1.34761752932551e-05,1.12053116104907e-05,"9590/1499/55827/667/2274/3303/3304/3309/3315/143903/4739/5328/5329/5500/388/390/6385/3371/1012/4478/10979/23022/8394/11135/3685/3611/823/23164/8021/23092/87/55740/5058/2886/7052/5576/11078/23011/5747/2195/51495/3688/4323/3716/2316/4008/7414/11252/11261/8826/3675/4026/26136/1465",54
"GO:0005924","CC","GO:0005924","cell-substrate adherens junction","54/1168","399/18678",6.79471023189331e-08,1.34761752932551e-05,1.12053116104907e-05,"9590/1499/55827/667/2274/3303/3304/3309/3315/143903/4739/5328/5329/5500/388/390/6385/3371/1012/4478/10979/23022/8394/11135/3685/3611/823/23164/8021/23092/87/55740/5058/2886/7052/5576/11078/23011/5747/2195/51495/3688/4323/3716/2316/4008/7414/11252/11261/8826/3675/4026/26136/1465",54
"GO:0016607","CC","GO:0016607","nuclear speck","52/1168","386/18678",1.37857086085188e-07,1.66888369463627e-05,1.38766092256355e-05,"10212/1647/57459/3303/3304/4929/29890/6446/6428/80145/9589/23137/1452/80271/9263/55234/51503/2908/81669/6239/8394/10421/57703/5511/7994/254225/580/27339/10929/5546/57018/988/64318/10409/11052/27332/8405/54890/26993/84271/9410/204851/11252/8930/55421/5930/91603/79677/8204/5356/24148/6015",52
"GO:0005912","CC","GO:0005912","adherens junction","62/1168","496/18678",1.40242327280359e-07,1.66888369463627e-05,1.38766092256355e-05,"9590/1499/55827/667/2274/3303/3304/3309/3315/143903/4739/5328/5329/5500/388/390/6385/3371/1012/4478/10979/23022/64398/10397/8394/11135/3685/3611/823/23164/8021/23092/87/5818/55740/5058/2886/57619/7052/5576/9267/11078/23011/5747/2195/51495/3688/4323/3716/2316/4008/7414/11252/1946/1824/11261/8826/3675/54800/4026/26136/1465",62
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","34/1146","175/17913",4.92126559471157e-09,2.02094843623139e-05,1.76709931827287e-05,"10551/467/1191/10488/3576/1649/3337/55033/2931/9709/3303/3309/3315/7057/23753/4189/10018/64224/23645/468/58477/64061/26353/2081/5611/10106/1965/4690/84919/26608/6745/3320/9217/7873",34
"GO:0006986","BP","GO:0006986","response to unfolded protein","32/1146","161/17913",7.77736554254912e-09,2.02094843623139e-05,1.76709931827287e-05,"10551/467/10488/3576/1649/3337/55033/2931/9709/3303/3309/3315/7057/4189/10018/64224/23645/468/58477/64061/26353/2081/5611/10106/1965/4690/84919/26608/6745/3320/9217/7873",32
"GO:0036499","BP","GO:0036499","PERK-mediated unfolded protein response","11/1146","21/17913",1.36291616039719e-08,2.36102509519473e-05,2.06445932085427e-05,"10551/467/3576/1649/9709/3309/23645/468/1965/4690/84919",11
"GO:0042326","BP","GO:0042326","negative regulation of phosphorylation","61/1146","455/17913",3.08382818578202e-08,4.00666377037729e-05,3.50339112579499e-05,"467/203228/836/1029/22943/1843/1849/54206/2192/1647/4616/3315/3486/3725/91862/4609/26471/113791/8000/6317/6690/7078/10105/10221/1030/84313/10048/4908/51527/4763/3611/55333/25998/25937/5525/84335/91663/80824/200734/7453/9021/5611/1846/5576/10106/79893/10114/57447/84152/4690/9052/84919/2810/56937/11261/1942/2633/8692/54431/11072/79705",61
"GO:0001933","BP","GO:0001933","negative regulation of protein phosphorylation","57/1146","416/17913",4.08975791044342e-08,4.25089437211489e-05,3.71694418934405e-05,"467/203228/836/1029/22943/1843/1849/54206/2192/1647/4616/3315/3486/3725/91862/4609/8000/6317/6690/7078/10221/1030/84313/10048/4908/51527/4763/3611/55333/25998/25937/84335/91663/80824/200734/7453/9021/5611/1846/5576/10106/79893/10114/57447/84152/4690/9052/84919/2810/56937/11261/1942/2633/8692/54431/11072/79705",57
"GO:0034620","BP","GO:0034620","cellular response to unfolded protein","26/1146","123/17913",5.27699879949605e-08,4.5707604601635e-05,3.99663224867096e-05,"10551/467/10488/3576/1649/55033/2931/9709/3303/3309/4189/10018/23645/468/58477/64061/26353/2081/5611/10106/1965/4690/84919/26608/6745/9217",26
"GO:0035967","BP","GO:0035967","cellular response to topologically incorrect protein","27/1146","135/17913",9.90848087794827e-08,7.35633930324245e-05,6.43231758648161e-05,"10551/467/10488/3576/1649/55033/2931/9709/3303/3309/23753/4189/10018/23645/468/58477/64061/26353/2081/5611/10106/1965/4690/84919/26608/6745/9217",27
"GO:0030968","BP","GO:0030968","endoplasmic reticulum unfolded protein response","24/1146","112/17913",1.29971008040025e-07,8.44324160980015e-05,7.38269528564197e-05,"10551/467/10488/3576/1649/55033/2931/9709/3309/4189/10018/23645/468/58477/64061/2081/5611/10106/1965/4690/84919/26608/6745/9217",24
"GO:0016049","BP","GO:0016049","cell growth","60/1146","466/17913",1.69977926401189e-07,9.81528092785533e-05,8.58239424881793e-05,"53335/694/203228/1029/55602/1382/1410/1499/1906/2931/1839/3303/3304/3486/3487/3490/8425/55384/92304/6446/23677/51193/23394/6662/56994/84298/2539/118813/23327/54617/3611/136319/4722/5058/8835/9037/64061/9175/80736/10276/84162/8877/3872/91/8548/50618/23011/2810/3688/4323/54512/7414/1946/3320/1457/8826/8692/11007/51083/51330",60
"GO:0048545","BP","GO:0048545","response to steroid hormone","51/1146","375/17913",2.67148751471479e-07,0.000138837206139728,0.000121398016852882,"8644/374/836/9076/1364/1499/1843/1906/1978/54206/114907/2274/2353/2354/8061/3490/4824/4929/5743/7356/7057/10628/7538/677/678/9125/8837/5176/10018/2908/1022/2649/65992/79039/5058/9575/218/11057/3485/29966/142/23558/2309/9975/81606/476/56937/687/5978/8204/57658",51
"GO:1901654","BP","GO:1901654","response to ketone","32/1146","191/17913",4.96748354489305e-07,0.000216115684734738,0.00018896963045479,"231/1646/8644/9076/1364/1843/1906/1978/54206/114907/2353/2354/8061/3490/4824/7057/3371/10628/8837/5176/4507/4478/196/2908/988/11057/142/23558/2309/1946/23367/687",32
"GO:0031960","BP","GO:0031960","response to corticosteroid","28/1146","155/17913",5.31483679457167e-07,0.000216115684734738,0.00018896963045479,"8644/374/836/9076/1843/1906/1978/54206/114907/2353/2354/8061/3490/5743/7356/7538/677/678/8837/5176/10018/2908/218/3485/142/2309/687/5978",28
