"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","CC","GO:0031012","extracellular matrix","32/179","468/18678",1.69299037807204e-18,5.19748046068117e-16,4.31267022624667e-16,"9510/1191/1311/1634/1805/2202/2006/2192/2335/3490/4060/4239/8076/4240/4312/4314/5118/10631/6281/6275/6383/5054/5270/6423/6649/23213/7980/7052/7057/7076/7078/4982",32
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","28/179","399/18678",1.4820059105909e-16,2.27487907275704e-14,1.88760752822631e-14,"9510/1191/1311/1634/1805/2202/2006/2192/2335/3490/4060/4239/8076/4240/5118/10631/6281/6275/6383/5054/5270/6423/6649/23213/7052/7057/7076/7078",28
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent","16/174","158/16969",6.93428603397898e-12,2.53794868843631e-09,2.08758505865051e-09,"1311/1634/1805/2202/2006/2192/2335/3490/4060/4239/8076/4240/5118/10631/7980/7057",16
"GO:0030198","BP","GO:0030198","extracellular matrix organization","18/176","334/17913",5.44543284989354e-09,8.94717400724838e-06,6.83231097827943e-06,"1311/1545/1634/2006/2192/2335/3037/4060/4239/8076/4312/4314/5054/6423/23213/7057/7076/4982",18
"GO:0010038","BP","GO:0010038","response to metal ion","18/176","335/17913",5.70610587196963e-09,8.94717400724838e-06,6.83231097827943e-06,"8644/27101/891/595/1396/2353/3398/3485/3725/3778/4493/4501/4502/1728/5179/6649/7057/4982",18
"GO:0001822","BP","GO:0001822","kidney development","16/176","276/17913",1.44544533495496e-08,1.30765908740035e-05,9.98564857624798e-06,"59/9510/1063/9244/1634/1958/3037/3280/3398/3399/4609/4953/116039/5228/6659/23213",16
"GO:0007568","BP","GO:0007568","aging","17/176","318/17913",1.66793250943922e-08,1.30765908740035e-05,9.98564857624798e-06,"347/27101/1026/1311/1410/1634/22943/2353/3398/3485/3488/3725/1728/5179/10769/5054/7076",17
"GO:0001655","BP","GO:0001655","urogenital system development","17/176","324/17913",2.19601897209522e-08,1.37734309929812e-05,1.05177750768771e-05,"59/9510/1063/1396/9244/1634/1958/3037/3280/3398/3399/4609/4953/116039/5228/6659/23213",17
"GO:0072001","BP","GO:0072001","renal system development","16/176","291/17913",3.03753931210419e-08,1.58762054712645e-05,1.21235121667316e-05,"59/9510/1063/9244/1634/1958/3037/3280/3398/3399/4609/4953/116039/5228/6659/23213",16
"GO:0043062","BP","GO:0043062","extracellular structure organization","18/176","387/17913",5.25425403811762e-08,2.3539058090767e-05,1.79750796040866e-05,"1311/1545/1634/2006/2192/2335/3037/4060/4239/8076/4312/4314/5054/6423/23213/7057/7076/4982",18
"GO:0044706","BP","GO:0044706","multi-multicellular organism process","13/176","225/17913",3.57794880648633e-07,0.000140255593214264,0.000107103072825742,"2192/2353/3021/3485/3488/3490/4012/23764/5228/5672/5673/5270/7076",13
"GO:0008544","BP","GO:0008544","epidermis development","18/176","452/17913",5.2495164936078e-07,0.000182916485821712,0.000139680117227576,"8644/1382/22943/2171/2252/10468/51083/3280/3488/3880/3885/3855/3887/83895/730755/9368/6615/7538",18
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding","12/174","199/16969",1.00865207170021e-06,0.000184583329121139,0.000151828680266453,"9510/57214/1311/1634/2252/2335/5118/5228/10631/5270/6649/7057",12
"GO:0051082","MF","GO:0051082","unfolded protein binding","8/174","83/16969",2.13285172529765e-06,0.000221346791923572,0.000182068399453959,"10575/1410/3337/3303/3306/5202/6447/10383",8
"GO:0008201","MF","GO:0008201","heparin binding","10/174","148/16969",2.9870886014311e-06,0.000221346791923572,0.000182068399453959,"9510/1311/2252/2335/5118/5228/10631/5270/6649/7057",10
"GO:1901681","MF","GO:1901681","sulfur compound binding","12/174","221/16969",3.02386327764443e-06,0.000221346791923572,0.000182068399453959,"9510/1311/2252/2335/10468/4257/5118/5228/10631/5270/6649/7057",12
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","15/176","323/17913",7.30946620424667e-07,0.000229224860165176,0.000175042480154328,"25805/10370/1311/22943/1958/2353/10468/3280/3303/3725/4012/6423/23213/7057/7316",15
"GO:0045926","BP","GO:0045926","negative regulation of growth","13/176","244/17913",8.98224322310426e-07,0.000256075588615045,0.000195546443373801,"1026/1410/2273/51083/3303/3488/4493/4501/4502/221476/5270/6423/8835",13
"GO:0005719","CC","GO:0005719","nuclear euchromatin","5/179","24/18678",2.80276437613992e-06,0.000286816221158318,0.00023798911544767,"9070/3005/3015/3006/3725",5
"GO:0061134","MF","GO:0061134","peptidase regulator activity","11/174","192/16969",4.72803569509913e-06,0.000288410177401047,0.000237231264701465,"332/2192/2335/5118/221476/9232/5054/5270/6423/7076/7078",11
"GO:0001558","BP","GO:0001558","regulation of cell growth","16/176","396/17913",1.92659511405812e-06,0.000496046028793543,0.00037879454736349,"1026/1382/1410/2273/2335/51083/3021/3303/3486/3488/3490/221476/5270/6423/6446/8835",16
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","16/176","398/17913",2.05631325711609e-06,0.000496046028793543,0.00037879454736349,"332/1410/2192/2335/2537/4609/5118/221476/5366/9232/5054/6423/7980/7057/7076/7078",16
"GO:0043588","BP","GO:0043588","skin development","16/176","412/17913",3.2075507256546e-06,0.00066712591998522,0.000509435911642849,"8644/1311/22943/2252/10468/51083/3488/3880/3885/3855/3887/83895/730755/6615/3925/7538",16
"GO:0007565","BP","GO:0007565","female pregnancy","11/176","193/17913",3.33183157929568e-06,0.00066712591998522,0.000509435911642849,"2192/2353/3021/3485/3488/3490/4012/5228/5672/5673/7076",11
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","11/176","194/17913",3.50234973321046e-06,0.00066712591998522,0.000509435911642849,"8644/27101/891/2353/3398/3725/4314/4493/4501/4502/1728",11
"GO:0016049","BP","GO:0016049","cell growth","17/176","466/17913",3.6164351529811e-06,0.00066712591998522,0.000509435911642849,"1026/1382/1410/2273/2335/51083/3021/3303/3486/3488/3490/221476/10631/5270/6423/6446/8835",17
"GO:0097201","BP","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","4/176","12/17913",4.192296619557e-06,0.00073039123327393,0.000557747064882583,"10370/3337/3303/3725",4
"GO:0061448","BP","GO:0061448","connective tissue development","12/176","243/17913",5.23217095265092e-06,0.000863583584605963,0.00065945644971085,"59/1311/1396/2202/1958/3398/4060/116039/6423/6615/23213/7076",12
"GO:0071248","BP","GO:0071248","cellular response to metal ion","10/176","167/17913",6.07418545011098e-06,0.000952432278577401,0.000727303784158025,"8644/27101/891/2353/3398/3725/4493/4501/4502/1728",10
"GO:0000791","CC","GO:0000791","euchromatin","5/179","32/18678",1.24793363090161e-05,0.000957789061716989,0.000794736680732081,"9070/3005/3015/3006/3725",5
"GO:0003007","BP","GO:0003007","heart morphogenesis","12/176","249/17913",6.70872674023703e-06,0.00100183652654206,0.000765030242307731,"70/9510/10370/22943/2006/3037/3280/3398/3725/6423/6615/6659",12
"GO:0043627","BP","GO:0043627","response to estrogen","7/176","73/17913",7.40364020929162e-06,0.00105535525892448,0.000805898635221934,"9070/595/10370/51083/3485/3880/4982",7
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","10/176","172/17913",7.88576134973595e-06,0.00107520641707704,0.000821057531837496,"9510/347/1026/2006/3398/3486/3488/3725/7052/7057",10
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","10/176","174/17913",8.73150252399271e-06,0.00114091632980171,0.000871235449214185,"9510/347/1026/2006/3398/3486/3488/3725/7052/7057",10
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","10/176","175/17913",9.18298820884e-06,0.00115191404091689,0.000879633607373094,"595/1191/1311/3337/3303/3315/8988/27129/23645/7057",10
"GO:0010466","BP","GO:0010466","negative regulation of peptidase activity","11/176","223/17913",1.31812763734477e-05,0.00158986471950507,0.00121406492913334,"332/1410/2537/221476/9232/5054/6423/7980/7057/7076/7078",11
"GO:0071276","BP","GO:0071276","cellular response to cadmium ion","5/176","32/17913",1.4048456007996e-05,0.00160762022679253,0.00122762352844824,"8644/2353/3725/4493/4501",5
"GO:0070293","BP","GO:0070293","renal absorption","4/176","16/17913",1.49470345816353e-05,0.00160762022679253,0.00122762352844824,"8644/3037/6446/9368",4
"GO:0090083","BP","GO:0090083","regulation of inclusion body assembly","4/176","16/17913",1.49470345816353e-05,0.00160762022679253,0.00122762352844824,"1191/3337/3303/3306",4
"GO:0051271","BP","GO:0051271","negative regulation of cellular component movement","14/176","365/17913",1.55379829115919e-05,0.00160762022679253,0.00122762352844824,"347/928/10370/1545/1634/2192/3486/3488/5054/6423/9368/23213/7057/7076",14
"GO:0001933","BP","GO:0001933","negative regulation of protein phosphorylation","15/176","416/17913",1.58916540276048e-05,0.00160762022679253,0.00122762352844824,"891/1026/26973/22943/2192/1647/4616/3315/3486/3725/4609/6423/9368/7078/7345",15
"GO:0031091","CC","GO:0031091","platelet alpha granule","7/179","91/18678",2.71366241872556e-05,0.00166618872509749,0.00138253959017176,"928/1191/2335/5054/5270/7057/7076",7
"GO:0007050","BP","GO:0007050","cell cycle arrest","11/176","231/17913",1.83145633030448e-05,0.00179482720369839,0.0013705799840272,"891/595/1026/1033/1647/3398/4609/10769/23645/6659/7057",11
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","12/176","277/17913",1.95399717498834e-05,0.00185688943659498,0.00141797243161036,"1026/1191/1396/1545/3303/3315/2537/5366/23645/6423/9368/6615",12
"GO:0048608","BP","GO:0048608","reproductive structure development","15/176","426/17913",2.09704064174453e-05,0.00193421160367966,0.00147701778946403,"9510/8644/595/10370/1396/1634/3021/3280/3880/4257/7262/5270/6423/6615/23213",15
"GO:0005518","MF","GO:0005518","collagen binding","6/174","61/16969",3.71098713690692e-05,0.00194031613158276,0.00159600349045922,"1311/1634/2335/4060/5118/7057",6
"GO:0070527","BP","GO:0070527","platelet aggregation","6/176","58/17913",2.18926102452798e-05,0.00196157787797707,0.00149791543783493,"928/1311/3315/10627/10398/5270",6
"GO:0061458","BP","GO:0061458","reproductive system development","15/176","429/17913",2.2751295953049e-05,0.00198189066968782,0.00151342685067797,"9510/8644/595/10370/1396/1634/3021/3280/3880/4257/7262/5270/6423/6615/23213",15
"GO:0009408","BP","GO:0009408","response to heat","9/176","158/17913",2.66199107465421e-05,0.00225621730003124,0.0017229102972513,"1026/26973/1410/3337/3303/3306/3490/81929/7057",9
"GO:0033002","BP","GO:0033002","muscle cell proliferation","11/176","243/17913",2.92387029144431e-05,0.00238760599132064,0.001823242357094,"9510/347/891/1026/2006/3398/3486/3488/3725/7052/7057",11
"GO:0062012","BP","GO:0062012","regulation of small molecule metabolic process","15/176","439/17913",2.96928041012452e-05,0.00238760599132064,0.001823242357094,"8644/891/1958/2171/3037/3486/3488/10296/1728/4953/7262/5366/5718/81929/6615",15
"GO:0006986","BP","GO:0006986","response to unfolded protein","9/176","161/17913",3.08836542398561e-05,0.00240123775327806,0.00183365194975416,"595/1311/3337/3303/3315/8988/27129/23645/7057",9
"GO:0070482","BP","GO:0070482","response to oxygen levels","14/176","389/17913",3.13937333815053e-05,0.00240123775327806,0.00183365194975416,"891/1026/10370/1410/1958/3778/4609/5179/5366/10631/5718/6649/7057/7316",14
"GO:0009991","BP","GO:0009991","response to extracellular stimulus","16/176","498/17913",3.37364722400033e-05,0.00240585291273925,0.00183717621391038,"8644/595/1026/2353/3485/3725/81631/1728/5179/5366/10631/81929/6423/6427/4982/7538",16
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","16/176","499/17913",3.45587130220228e-05,0.00240585291273925,0.00183717621391038,"595/928/1311/2192/3021/3037/3315/23764/10627/10398/5054/5270/8835/3925/7980/7057",16
"GO:0051592","BP","GO:0051592","response to calcium ion","8/176","126/17913",3.47252737279443e-05,0.00240585291273925,0.00183717621391038,"8644/27101/595/2353/3725/3778/5179/7057",8
"GO:0031571","BP","GO:0031571","mitotic G1 DNA damage checkpoint","6/176","63/17913",3.5289934306762e-05,0.00240585291273925,0.00183717621391038,"891/595/1026/1647/10769/6659",6
"GO:0044819","BP","GO:0044819","mitotic G1/S transition checkpoint","6/176","63/17913",3.5289934306762e-05,0.00240585291273925,0.00183717621391038,"891/595/1026/1647/10769/6659",6
"GO:0045637","BP","GO:0045637","regulation of myeloid cell differentiation","11/176","250/17913",3.7912345928684e-05,0.00248824386139894,0.00190009223438594,"9070/2353/3021/8364/3303/3398/3725/4609/10398/7057/7538",11
"GO:0044783","BP","GO:0044783","G1 DNA damage checkpoint","6/176","64/17913",3.86261081866241e-05,0.00248824386139894,0.00190009223438594,"891/595/1026/1647/10769/6659",6
"GO:0032355","BP","GO:0032355","response to estradiol","8/176","128/17913",3.88788103343584e-05,0.00248824386139894,0.00190009223438594,"595/1410/3015/3485/1728/5179/10631/8835",8
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","13/176","347/17913",4.01975615784223e-05,0.00252119106219864,0.00192525163349286,"347/10370/1545/1634/2192/3486/3488/5054/6423/9368/23213/7057/7076",13
"GO:0000979","MF","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","4/174","21/16969",5.57734014318752e-05,0.00255163311550829,0.00209884115914688,"2353/1647/3015/3021",4
"GO:1901988","BP","GO:1901988","negative regulation of cell cycle phase transition","11/176","254/17913",4.3801251902278e-05,0.00264597150956356,0.00202053745443646,"22809/891/595/991/1026/1063/2273/1647/10769/5718/6659",11
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","10/176","210/17913",4.4266559903669e-05,0.00264597150956356,0.00202053745443646,"332/1410/2537/9232/5054/6423/7980/7057/7076/7078",10
"GO:0042326","BP","GO:0042326","negative regulation of phosphorylation","15/176","455/17913",4.47182684970882e-05,0.00264597150956356,0.00202053745443646,"891/1026/26973/22943/2192/1647/4616/3315/3486/3725/4609/6423/9368/7078/7345",15
"GO:0007517","BP","GO:0007517","muscle organ development","14/176","403/17913",4.61062210987071e-05,0.00267757609936195,0.00204467159843194,"70/891/1063/1410/1634/22943/1958/2006/2273/2353/3399/23764/221476/6876",14
"GO:0001047","MF","GO:0001047","core promoter binding","5/174","42/16969",6.69598763486003e-05,0.00272303497150975,0.00223982744277189,"2353/1647/3015/3021/4609",5
"GO:0001666","BP","GO:0001666","response to hypoxia","13/176","354/17913",4.9332981293411e-05,0.00281287689702067,0.00214799105153129,"891/10370/1410/1958/3778/4609/5179/5366/10631/5718/6649/7057/7316",13
"GO:0060485","BP","GO:0060485","mesenchyme development","11/176","258/17913",5.04615588048357e-05,0.0028258472930708,0.00215789560678574,"59/70/25805/10370/2335/3037/3280/4609/6275/6423/6615",11
"GO:0090092","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","10/176","215/17913",5.39798470519877e-05,0.0029309950244658,0.00223818933964141,"25805/10370/22943/10468/3280/3303/6423/23213/7057/7316",10
"GO:0071478","BP","GO:0071478","cellular response to radiation","9/176","173/17913",5.420845389637e-05,0.0029309950244658,0.00223818933964141,"10974/1026/1396/1410/1958/1647/4239/4609/6423",9
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","15/176","464/17913",5.58245062498973e-05,0.00296721443389284,0.00226584748828753,"9510/22809/891/595/991/1026/1063/2273/1647/3306/3398/10769/5718/6659/10383",15
"GO:0042692","BP","GO:0042692","muscle cell differentiation","13/176","359/17913",5.69195138686561e-05,0.00297499325820176,0.00227178761493321,"70/27101/891/928/1311/22943/3021/3280/3488/3880/93145/221476/7345",13
"GO:0031667","BP","GO:0031667","response to nutrient levels","15/176","466/17913",5.85985806368218e-05,0.00301254342421432,0.00230046196632907,"8644/595/1026/3485/3725/81631/1728/5179/5366/10631/81929/6423/6427/4982/7538",15
"GO:0006457","BP","GO:0006457","protein folding","9/176","176/17913",6.19382434653223e-05,0.00313287631463307,0.00239235150905956,"10575/26973/1191/1410/3337/3303/3306/3315/5202",9
"GO:0009266","BP","GO:0009266","response to temperature stimulus","10/176","219/17913",6.30068868894524e-05,0.00313634281405274,0.00239499862445287,"1026/26973/1410/3337/2353/3303/3306/3490/81929/7057",10
"GO:2000045","BP","GO:2000045","regulation of G1/S transition of mitotic cell cycle","9/176","177/17913",6.47127868294901e-05,0.00317092655464501,0.00242140773087319,"9510/891/595/1026/2273/1647/3398/10769/6659",9
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","13/176","365/17913",6.73470445119225e-05,0.00322570504315011,0.00246323810860852,"891/10370/1410/1958/3778/4609/5179/5366/10631/5718/6649/7057/7316",13
"GO:0032459","BP","GO:0032459","regulation of protein oligomerization","5/176","44/17913",6.8876927701598e-05,0.00322570504315011,0.00246323810860852,"1191/1410/4312/4314/5366",5
"GO:0070841","BP","GO:0070841","inclusion body assembly","4/176","23/17913",6.89165299397504e-05,0.00322570504315011,0.00246323810860852,"1191/3337/3303/3306",4
"GO:0000082","BP","GO:0000082","G1/S transition of mitotic cell cycle","11/176","269/17913",7.34468959404301e-05,0.00333810819810418,0.00254907228473651,"9510/891/595/1026/1033/2273/1647/3398/4609/10769/6659",11
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","11/176","269/17913",7.34468959404301e-05,0.00333810819810418,0.00254907228473651,"8644/1026/1191/1410/1545/1647/2537/4314/1728/5366/7057",11
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","14/176","425/17913",8.14586377609827e-05,0.00364934697169203,0.00278674287077046,"595/2252/3037/3280/3398/3486/3488/3725/4609/116039/6423/23213/7057/7538",14
"GO:0030330","BP","GO:0030330","DNA damage response, signal transduction by p53 class mediator","7/176","106/17913",8.43995320739441e-05,0.00372784412089984,0.00284668547766083,"891/1026/1647/10769/5366/6615/6659",7
