"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","CC","GO:0031012","extracellular matrix","36/231","468/18678",1.27969873144412e-18,4.58132145856996e-16,3.74480260359438e-16,"9510/1191/1311/1634/1805/2202/2006/2192/2335/3490/4060/4239/8076/4240/4312/4314/5118/10631/6281/6275/6383/5054/5270/6423/6649/23213/7980/7052/7057/7076/7078/4982/1277/302/26585/3371",36
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","32/231","399/18678",3.73159966110679e-17,6.67956339338115e-15,5.45991950414572e-15,"9510/1191/1311/1634/1805/2202/2006/2192/2335/3490/4060/4239/8076/4240/5118/10631/6281/6275/6383/5054/5270/6423/6649/23213/7052/7057/7076/7078/1277/302/26585/3371",32
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent","18/224","158/16969",3.1422121841306e-12,1.33544017825551e-09,1.1113508356504e-09,"1311/1634/1805/2202/2006/2192/2335/3490/4060/4239/8076/4240/5118/10631/7980/7057/1277/3371",18
"GO:0044706","BP","GO:0044706","multi-multicellular organism process","21/226","225/17913",1.00130605582268e-12,3.48754899243041e-09,2.65082603199374e-09,"2192/2353/3021/3485/3488/3490/4012/23764/5228/5672/5673/5270/7076/8614/2354/23780/7056/2683/3673/3726/5021",21
"GO:0030198","BP","GO:0030198","extracellular matrix organization","23/226","334/17913",4.3384870462116e-11,7.5554751909775e-08,5.74278680064324e-08,"1311/1545/1634/2006/2192/2335/3037/4060/4239/8076/4312/4314/5054/6423/23213/7057/7076/4982/1277/2683/3673/26585/3371",23
"GO:0010038","BP","GO:0010038","response to metal ion","22/226","335/17913",2.90986551184967e-10,3.37835385925746e-07,2.56782868852699e-07,"8644/27101/891/595/1396/2353/3398/3485/3725/3778/4493/4501/4502/1728/5179/6649/7057/4982/1841/2354/3726/5515",22
"GO:0007565","BP","GO:0007565","female pregnancy","17/226","193/17913",3.89637155439254e-10,3.3927655309873e-07,2.57878275244664e-07,"2192/2353/3021/3485/3488/3490/4012/5228/5672/5673/7076/8614/2354/23780/7056/3673/3726",17
"GO:0043062","BP","GO:0043062","extracellular structure organization","23/226","387/17913",7.96549967455468e-10,5.54876707329479e-07,4.21752245926421e-07,"1311/1545/1634/2006/2192/2335/3037/4060/4239/8076/4312/4314/5054/6423/23213/7057/7076/4982/1277/2683/3673/26585/3371",23
"GO:0001655","BP","GO:0001655","urogenital system development","19/226","324/17913",3.14016911475867e-08,1.82286817111741e-05,1.38553075852949e-05,"59/9510/1063/1396/9244/1634/1958/3037/3280/3398/3399/4609/4953/116039/5228/6659/23213/26585/3371",19
"GO:0061448","BP","GO:0061448","connective tissue development","16/226","243/17913",8.23718915167089e-08,3.37375673938877e-05,2.56433449674744e-05,"59/1311/1396/2202/1958/3398/4060/116039/6423/6615/23213/7076/57561/1277/7314/26585",16
"GO:0001822","BP","GO:0001822","kidney development","17/226","276/17913",8.46139464944707e-08,3.37375673938877e-05,2.56433449674744e-05,"59/9510/1063/9244/1634/1958/3037/3280/3398/3399/4609/4953/116039/5228/6659/23213/26585",17
"GO:0045926","BP","GO:0045926","negative regulation of growth","16/226","244/17913",8.71771767283921e-08,3.37375673938877e-05,2.56433449674744e-05,"1026/1410/2273/51083/3303/3488/4493/4501/4502/221476/5270/6423/8835/8614/26585/5515",16
"GO:0007568","BP","GO:0007568","aging","18/226","318/17913",1.24908784337686e-07,4.35057295848161e-05,3.30679571167664e-05,"347/27101/1026/1311/1410/1634/22943/2353/3398/3485/3488/3725/1728/5179/10769/5054/7076/3014",18
"GO:0072001","BP","GO:0072001","renal system development","17/226","291/17913",1.80785857762569e-07,5.72433765988207e-05,4.35097064375943e-05,"59/9510/1063/9244/1634/1958/3037/3280/3398/3399/4609/4953/116039/5228/6659/23213/26585",17
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding","14/224","199/16969",4.13813756233147e-07,8.79354231995438e-05,7.3179695839125e-05,"9510/57214/1311/1634/2252/2335/5118/5228/10631/5270/6649/7057/7130/6372",14
"GO:0050878","BP","GO:0050878","regulation of body fluid levels","22/226","499/17913",3.83211419612225e-07,0.000111227114542448,8.4541817572346e-05,"595/928/1311/2192/3021/3037/3315/23764/10627/10398/5054/5270/8835/3925/7980/7057/1277/7056/302/3673/5021/2149",22
"GO:0048608","BP","GO:0048608","reproductive structure development","20/226","426/17913",5.00190027587554e-07,0.000121570486380492,9.24036366855361e-05,"9510/8644/595/10370/1396/1634/3021/3280/3880/4257/7262/5270/6423/6615/23213/8614/3726/7314/91603/3371",20
"GO:0016049","BP","GO:0016049","cell growth","21/226","466/17913",5.00791771400755e-07,0.000121570486380492,9.24036366855361e-05,"1026/1382/1410/2273/2335/51083/3021/3303/3486/3488/3490/221476/10631/5270/6423/6446/8835/3320/26585/5515/6832",21
"GO:0070482","BP","GO:0070482","response to oxygen levels","19/226","389/17913",5.38705211097777e-07,0.000121570486380492,9.24036366855361e-05,"891/1026/10370/1410/1958/3778/4609/5179/5366/10631/5718/6649/7057/7316/8614/1277/3673/5021/7314",19
"GO:0061458","BP","GO:0061458","reproductive system development","20/226","429/17913",5.5846333106169e-07,0.000121570486380492,9.24036366855361e-05,"9510/8644/595/10370/1396/1634/3021/3280/3880/4257/7262/5270/6423/6615/23213/8614/3726/7314/91603/3371",20
"GO:0032355","BP","GO:0032355","response to estradiol","11/226","128/17913",6.74634487935287e-07,0.000136413122417661,0.000103685269166151,"595/1410/3015/3485/1728/5179/10631/8835/1277/3673/5021",11
"GO:0001558","BP","GO:0001558","regulation of cell growth","19/226","396/17913",7.04977376835459e-07,0.000136413122417661,0.000103685269166151,"1026/1382/1410/2273/2335/51083/3021/3303/3486/3488/3490/221476/5270/6423/6446/8835/26585/5515/6832",19
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","17/226","323/17913",7.82789928584732e-07,0.000143497753750559,0.000109070175644909,"25805/10370/1311/22943/1958/2353/10468/3280/3303/3725/4012/6423/23213/7057/7316/7314/26585",17
"GO:1901681","MF","GO:1901681","sulfur compound binding","14/224","221/16969",1.45896134148292e-06,0.000155176730164356,0.000129137786588789,"9510/1311/2252/2335/10468/4257/5118/5228/10631/5270/6649/7057/3673/6372",14
"GO:0051082","MF","GO:0051082","unfolded protein binding","9/224","83/16969",1.46048687213511e-06,0.000155176730164356,0.000129137786588789,"10575/1410/3337/3303/3306/5202/6447/10383/126393",9
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","13/226","194/17913",1.1415129668421e-06,0.000198794483175552,0.000151100269031994,"8644/27101/891/2353/3398/3725/4314/4493/4501/4502/1728/2354/3726",13
"GO:0044420","CC","GO:0044420","extracellular matrix component","7/231","47/18678",1.66847500631879e-06,0.000199104684087375,0.000162749491844429,"2006/2192/4060/4239/8076/1277/3371",7
"GO:0043588","BP","GO:0043588","skin development","19/226","412/17913",1.27409088515604e-06,0.000211317073952309,0.000160618474995862,"8644/1311/22943/2252/10468/51083/3488/3880/3885/3855/3887/83895/730755/6615/3925/7538/57561/1277/3673",19
"GO:0071248","BP","GO:0071248","cellular response to metal ion","12/226","167/17913",1.42759054893329e-06,0.000213364450507481,0.000162174650717413,"8644/27101/891/2353/3398/3725/4493/4501/4502/1728/2354/3726",12
"GO:0009991","BP","GO:0009991","response to extracellular stimulus","21/226","498/17913",1.45808919563254e-06,0.000213364450507481,0.000162174650717413,"8644/595/1026/2353/3485/3725/81631/1728/5179/5366/10631/81929/6423/6427/4982/7538/8614/1277/3673/11133/3371",21
"GO:0001933","BP","GO:0001933","negative regulation of protein phosphorylation","19/226","416/17913",1.47021154527118e-06,0.000213364450507481,0.000162174650717413,"891/1026/26973/22943/2192/1647/4616/3315/3486/3725/4609/6423/9368/7078/7345/4908/6879/26585/5515",19
"GO:0009612","BP","GO:0009612","response to mechanical stimulus","13/226","200/17913",1.60709493839076e-06,0.000223900466816601,0.000170182895581169,"891/1634/2353/1647/3485/3725/10631/5270/7057/1277/2354/3673/3371",13
"GO:0031667","BP","GO:0031667","response to nutrient levels","20/226","466/17913",2.0069020614343e-06,0.000268847687691372,0.000204346505445638,"8644/595/1026/3485/3725/81631/1728/5179/5366/10631/81929/6423/6427/4982/7538/8614/1277/3673/11133/3371",20
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","12/226","175/17913",2.33492394517387e-06,0.000301205188927429,0.000228940885852331,"595/1191/1311/3337/3303/3315/8988/27129/23645/7057/8614/3320",12
"GO:0008201","MF","GO:0008201","heparin binding","11/224","148/16969",4.35036511976226e-06,0.000369781035179792,0.000307731090576867,"9510/1311/2252/2335/5118/5228/10631/5270/6649/7057/6372",11
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","20/226","479/17913",3.04530014641894e-06,0.000378813586070613,0.000287929694294873,"891/595/1026/1033/57214/26973/22943/1647/4616/3315/6423/7057/7316/7345/9077/4908/7164/7314/2149/5515",20
"GO:0007584","BP","GO:0007584","response to nutrient","13/226","215/17913",3.58500908820929e-06,0.00043057195359424,0.000327270339631447,"8644/595/3485/1728/5179/10631/6423/6427/4982/8614/1277/3673/3371",13
"GO:0043627","BP","GO:0043627","response to estrogen","8/226","73/17913",3.76697886750469e-06,0.000437346246517294,0.000332419363220151,"9070/595/10370/51083/3485/3880/4982/1841",8
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","17/226","365/17913",4.12044442437891e-06,0.000462951868713282,0.000351881756445262,"891/10370/1410/1958/3778/4609/5179/5366/10631/5718/6649/7057/7316/8614/3673/5021/7314",17
"GO:0051592","BP","GO:0051592","response to calcium ion","10/226","126/17913",4.5028994763737e-06,0.00049011246488155,0.000372526058653943,"8644/27101/595/2353/3725/3778/5179/7057/2354/3726",10
"GO:0043394","MF","GO:0043394","proteoglycan binding","6/224","36/16969",6.92194547554002e-06,0.000490304471184085,0.000408030470137096,"1311/2335/10468/7057/3673/3371",6
"GO:0007596","BP","GO:0007596","blood coagulation","16/226","331/17913",4.98228630972977e-06,0.00052161148681195,0.000396467923699187,"928/1311/2192/3021/3315/23764/10627/10398/5054/5270/7980/7057/1277/7056/3673/2149",16
"GO:0001649","BP","GO:0001649","osteoblast differentiation","13/226","222/17913",5.09181468607704e-06,0.00052161148681195,0.000396467923699187,"1052/3021/3398/3399/3486/3488/5179/6423/6615/1277/3726/26585/3371",13
"GO:0060485","BP","GO:0060485","mesenchyme development","14/226","258/17913",5.31937837479377e-06,0.000524435829967241,0.000398614658376055,"59/70/25805/10370/2335/3037/3280/4609/6275/6423/6615/1277/26585/5515",14
"GO:0042326","BP","GO:0042326","negative regulation of phosphorylation","19/226","455/17913",5.42052537433841e-06,0.000524435829967241,0.000398614658376055,"891/1026/26973/22943/2192/1647/4616/3315/3486/3725/4609/6423/9368/7078/7345/4908/6879/26585/5515",19
"GO:0007599","BP","GO:0007599","hemostasis","16/226","336/17913",6.0239095010478e-06,0.000567061534922959,0.000431013723901428,"928/1311/2192/3021/3315/23764/10627/10398/5054/5270/7980/7057/1277/7056/3673/2149",16
"GO:0050817","BP","GO:0050817","coagulation","16/226","337/17913",6.25422661389374e-06,0.000572895502455513,0.000435448022326674,"928/1311/2192/3021/3315/23764/10627/10398/5054/5270/7980/7057/1277/7056/3673/2149",16
"GO:0006986","BP","GO:0006986","response to unfolded protein","11/226","161/17913",6.41485058735717e-06,0.000572895502455513,0.000435448022326674,"595/1311/3337/3303/3315/8988/27129/23645/7057/8614/3320",11
"GO:0005719","CC","GO:0005719","nuclear euchromatin","5/231","24/18678",9.72048471966949e-06,0.000869983382410419,0.000711130197912663,"9070/3005/3015/3006/3725",5
"GO:0005518","MF","GO:0005518","collagen binding","7/224","61/16969",1.51447672367065e-05,0.000919503725085752,0.000765209291959908,"1311/1634/2335/4060/5118/7057/3673",7
"GO:0097201","BP","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","4/226","12/17913",1.12808066332899e-05,0.000958318280579237,0.000728401249877384,"10370/3337/3303/3725",4
"GO:1902947","BP","GO:1902947","regulation of tau-protein kinase activity","4/226","12/17913",1.12808066332899e-05,0.000958318280579237,0.000728401249877384,"1191/22943/1958/3320",4
"GO:0001666","BP","GO:0001666","response to hypoxia","16/226","354/17913",1.15798998916058e-05,0.000960304555296739,0.000729910983142572,"891/10370/1410/1958/3778/4609/5179/5366/10631/5718/6649/7057/7316/8614/3673/7314",16
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","11/226","172/17913",1.2029472135574e-05,0.000974387242981495,0.000740614991945377,"9510/347/1026/2006/3398/3486/3488/3725/7052/7057/3673",11
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","17/226","398/17913",1.28327294594634e-05,0.00101582719789343,0.000772112789247619,"332/1410/2192/2335/2537/4609/5118/221476/5366/9232/5054/6423/7980/7057/7076/7078/2149",17
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","11/226","174/17913",1.34147704309468e-05,0.00103830323135528,0.000789196435879093,"9510/347/1026/2006/3398/3486/3488/3725/7052/7057/3673",11
"GO:0071496","BP","GO:0071496","cellular response to external stimulus","15/226","320/17913",1.4253107131853e-05,0.00107920809000531,0.000820287515711908,"8644/1026/2353/1647/3725/81631/5179/5366/10631/81929/6423/1277/3673/11133/3371",15
"GO:0006457","BP","GO:0006457","protein folding","11/226","176/17913",1.49365776516752e-05,0.00110689574384649,0.000841332425396712,"10575/26973/1191/1410/3337/3303/3306/3315/5202/3320/126393",11
"GO:0008544","BP","GO:0008544","epidermis development","18/226","452/17913",1.82659448781343e-05,0.00132542262521962,0.00100743095106377,"8644/1382/22943/2171/2252/10468/51083/3280/3488/3880/3885/3855/3887/83895/730755/9368/6615/7538",18
"GO:0031668","BP","GO:0031668","cellular response to extracellular stimulus","13/226","251/17913",1.90060777464295e-05,0.00133025686499097,0.00101110537360481,"8644/1026/2353/3725/81631/5179/5366/10631/81929/6423/1277/11133/3371",13
"GO:0090092","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","12/226","215/17913",1.90964235571486e-05,0.00133025686499097,0.00101110537360481,"25805/10370/22943/10468/3280/3303/6423/23213/7057/7316/7314/26585",12
"GO:0030199","BP","GO:0030199","collagen fibril organization","6/226","45/17913",2.03771232721736e-05,0.00139163765405844,0.00105775985613037,"1311/1545/4060/6423/1277/26585",6
"GO:0051087","MF","GO:0051087","chaperone binding","8/224","91/16969",2.69892429511935e-05,0.00143380353178215,0.00119320863573698,"332/1191/3337/2335/3280/3306/10598/126393",8
"GO:0033273","BP","GO:0033273","response to vitamin","8/226","95/17913",2.68586241472795e-05,0.0017990113058649,0.00136739756539287,"595/5179/10631/6427/8614/1277/3673/3371",8
"GO:0031960","BP","GO:0031960","response to corticosteroid","10/226","155/17913",2.78980712156379e-05,0.00183337701969938,0.00139351835367089,"8644/595/1026/114907/2353/3485/3490/7538/1277/2354",10
"GO:0090288","BP","GO:0090288","negative regulation of cellular response to growth factor stimulus","10/226","156/17913",2.94845203273499e-05,0.00190175156111407,0.00144548866712057,"25805/1634/22943/3303/6423/23213/7057/7316/7314/26585",10
