"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","22/147","399/18678",7.12680391012753e-13,1.64629170323946e-10,1.52288546711146e-10,"9510/9507/54829/633/151887/8483/1191/1303/1277/1293/1805/2152/4053/8076/4653/6281/5054/6423/8406/7057/7076/1462",22
"GO:0031012","CC","GO:0031012","extracellular matrix","22/147","468/18678",1.65791663750635e-11,1.91489371631984e-09,1.77135303901994e-09,"9510/9507/54829/633/151887/8483/1191/1303/1277/1293/1805/2152/4053/8076/4653/6281/5054/6423/8406/7057/7076/1462",22
"GO:0043062","BP","GO:0043062","extracellular structure organization","20/149","387/17913",7.4299468802962e-11,2.22452609596068e-07,1.61581792154652e-07,"19/9507/2683/633/151887/1303/1277/1293/1545/3036/3037/3791/8076/5320/6385/5054/6423/7057/7076/1462",20
"GO:1904018","BP","GO:1904018","positive regulation of vasculature development","15/149","232/17913",9.680458156138e-10,1.44916458597386e-06,1.05262245003058e-06,"51129/694/3576/1545/2152/3082/3315/3791/9314/5743/5054/6423/6648/7057/55273",15
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","19/149","425/17913",2.57853559525541e-09,2.05023963725067e-06,1.48922233609672e-06,"374/2683/54206/2152/2252/3037/3280/3082/3397/3398/3479/3487/3488/3791/4609/3164/116039/6423/7057",19
"GO:0030198","BP","GO:0030198","extracellular matrix organization","17/149","334/17913",2.73913111189135e-09,2.05023963725067e-06,1.48922233609672e-06,"9507/2683/633/151887/1303/1277/1293/1545/3036/3037/3791/8076/5054/6423/7057/7076/1462",17
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent","12/142","158/16969",8.56376775020316e-09,2.67189553806339e-06,2.30771004637054e-06,"54829/633/8483/1303/1277/1293/1805/4053/8076/8406/7057/1462",12
"GO:0045766","BP","GO:0045766","positive regulation of angiogenesis","13/149","203/17913",1.49948739809597e-08,8.97893053979865e-06,6.52198097782372e-06,"51129/694/3576/1545/2152/3082/3315/3791/9314/5743/5054/6423/7057",13
"GO:1901342","BP","GO:1901342","regulation of vasculature development","17/149","425/17913",9.47284990255553e-08,4.72695210137521e-05,3.43349261380346e-05,"51129/694/3576/1545/2152/3082/3315/3397/3791/9314/5743/5054/6423/6648/7057/55273/51330",17
"GO:0045926","BP","GO:0045926","negative regulation of growth","13/149","244/17913",1.31016681259882e-07,5.60377062417266e-05,4.07038290951753e-05,"694/1410/2203/2487/3488/55384/4489/4493/4499/4501/4502/5997/6423",13
"GO:0019838","MF","GO:0019838","growth factor binding","9/142","121/16969",7.96346761021006e-07,9.52002945097612e-05,8.22242759598477e-05,"1277/1843/94031/3485/3488/3643/3791/4053/7057",9
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding","11/142","199/16969",9.15387447209242e-07,9.52002945097612e-05,8.22242759598477e-05,"9510/633/151887/2252/4053/56925/26577/5228/7057/7130/1462",11
"GO:0001968","MF","GO:0001968","fibronectin binding","5/142","24/16969",1.42983643682112e-06,0.000111527242072048,9.63258231121599e-05,"151887/4653/6385/6423/7057",5
"GO:0045444","BP","GO:0045444","fat cell differentiation","12/149","222/17913",3.48166040274551e-07,0.000130301140572751,9.46461893693712e-05,"168455/2487/3280/3398/9314/84935/3164/4929/5743/5997/6423/79689",12
"GO:0071294","BP","GO:0071294","cellular response to zinc ion","5/149","19/17913",3.9405014952693e-07,0.000131087349742625,9.52172642014781e-05,"4489/4493/4499/4501/4502",5
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","15/149","369/17913",4.60171544775819e-07,0.00013777536050588,0.000100075201211246,"374/2683/54206/2152/2252/3037/3280/3397/3479/3791/4609/3164/116039/6423/7057",15
"GO:0051893","BP","GO:0051893","regulation of focal adhesion assembly","7/149","61/17913",7.16555429540756e-07,0.00016955723420727,0.00012316044224316,"347/2042/3791/4653/6281/6385/7057",7
"GO:0090109","BP","GO:0090109","regulation of cell-substrate junction assembly","7/149","61/17913",7.16555429540756e-07,0.00016955723420727,0.00012316044224316,"347/2042/3791/4653/6281/6385/7057",7
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","15/149","383/17913",7.36220455809788e-07,0.00016955723420727,0.00012316044224316,"51129/694/3576/1545/2152/3082/3315/3397/3791/9314/5743/5054/6423/7057/51330",15
"GO:0050679","BP","GO:0050679","positive regulation of epithelial cell proliferation","11/149","199/17913",8.75909718717951e-07,0.000187319549845825,0.000136062366832428,"374/2683/2152/2252/3037/3397/3479/3791/4609/3164/116039",11
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","11/149","201/17913",9.66751977868127e-07,0.000192963694782478,0.000140162076229863,"347/151887/1277/2042/3037/3791/4653/6281/6385/5054/7057",11
"GO:1903391","BP","GO:1903391","regulation of adherens junction organization","7/149","67/17913",1.37012597161864e-06,0.000245309202389496,0.000178184021424146,"347/2042/3791/4653/6281/6385/7057",7
"GO:0043567","BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","5/149","24/17913",1.39287122265245e-06,0.000245309202389496,0.000178184021424146,"8483/3479/3485/3487/3488",5
"GO:0060485","BP","GO:0060485","mesenchyme development","12/149","258/17913",1.70868233299856e-06,0.000284210828055427,0.00020644080116813,"25805/10370/1277/2042/2487/3037/3280/3082/4609/157506/6423/55273",12
"GO:0043491","BP","GO:0043491","protein kinase B signaling","12/149","268/17913",2.53686594083424e-06,0.000382184414033824,0.000277605385997919,"374/2152/2252/3082/3479/3488/3643/3791/9314/4653/7057/55273",12
"GO:0001649","BP","GO:0001649","osteoblast differentiation","11/149","222/17913",2.55300209775434e-06,0.000382184414033824,0.000277605385997919,"374/1277/3082/3397/3398/3399/3479/3488/4653/6423/1462",11
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","13/149","322/17913",3.00301685405069e-06,0.000428144402906084,0.000310989113807956,"347/151887/1277/2042/3037/3397/3791/4653/6281/6385/5054/7057/51330",13
"GO:0005996","BP","GO:0005996","monosaccharide metabolic process","12/149","277/17913",3.56681405990259e-06,0.00048541096797038,0.000352585542954964,"347/467/2683/2203/3479/3487/3488/3643/3953/5166/7262/6515",12
"GO:0001503","BP","GO:0001503","ossification","14/149","388/17913",4.54964307098487e-06,0.000520977499521291,0.000378419827026329,"374/54829/1277/3082/3397/3398/3399/3479/3488/4653/116039/5743/6423/1462",14
"GO:0010038","BP","GO:0010038","response to metal ion","13/149","335/17913",4.62501694998286e-06,0.000520977499521291,0.000378419827026329,"1843/2203/2354/3398/3485/4489/4493/4499/4501/4502/5743/7057/10628",13
"GO:0010906","BP","GO:0010906","regulation of glucose metabolic process","8/149","113/17913",4.64746344013429e-06,0.000520977499521291,0.000378419827026329,"2203/3479/3487/3488/3643/3953/5166/7262",8
"GO:2001236","BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","9/149","151/17913",4.83928546523437e-06,0.000520977499521291,0.000378419827026329,"467/50486/3082/3479/5054/6423/8406/7057/51330",9
"GO:0007045","BP","GO:0007045","cell-substrate adherens junction assembly","7/149","81/17913",4.97164230590297e-06,0.000520977499521291,0.000378419827026329,"347/2042/3791/4653/6281/6385/7057",7
"GO:0048041","BP","GO:0048041","focal adhesion assembly","7/149","81/17913",4.97164230590297e-06,0.000520977499521291,0.000378419827026329,"347/2042/3791/4653/6281/6385/7057",7
"GO:0019318","BP","GO:0019318","hexose metabolic process","11/149","239/17913",5.18968229593084e-06,0.000520977499521291,0.000378419827026329,"347/467/2683/2203/3479/3487/3488/3643/3953/5166/7262",11
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","10/149","194/17913",5.22021542606504e-06,0.000520977499521291,0.000378419827026329,"9775/2203/2354/3398/4489/4493/4499/4501/4502/5743",10
"GO:2001233","BP","GO:2001233","regulation of apoptotic signaling pathway","14/149","397/17913",5.91564424417855e-06,0.000552340667248977,0.000401200934689163,"467/1191/50486/3082/3315/3479/4929/5743/5054/6423/6648/8406/7057/51330",14
"GO:0001952","BP","GO:0001952","regulation of cell-matrix adhesion","8/149","117/17913",6.02251315770034e-06,0.000552340667248977,0.000401200934689163,"347/2042/3791/4653/6281/6385/5054/7057",8
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","14/149","398/17913",6.08792318611097e-06,0.000552340667248977,0.000401200934689163,"330/1293/1410/2152/3082/9314/56925/4609/26577/5743/5054/6423/7057/7076",14
"GO:0048762","BP","GO:0048762","mesenchymal cell differentiation","10/149","199/17913",6.53852927127659e-06,0.000575775195241239,0.000418222955865555,"25805/1277/2042/2487/3037/3280/3082/157506/6423/55273",10
"GO:0031091","CC","GO:0031091","platelet alpha granule","7/147","91/18678",7.55191234225594e-06,0.000581497250353707,0.000537908142272967,"928/1191/3082/3479/5054/7057/7076",7
"GO:0003007","BP","GO:0003007","heart morphogenesis","11/149","249/17913",7.66180001890027e-06,0.000655412264473926,0.00047606853651272,"9510/10370/1363/3037/3280/3398/3643/5292/6423/6659/55273",11
"GO:0006006","BP","GO:0006006","glucose metabolic process","10/149","204/17913",8.1358073775629e-06,0.000676627980233981,0.000491478890118273,"347/467/2203/3479/3487/3488/3643/3953/5166/7262",10
"GO:0044262","BP","GO:0044262","cellular carbohydrate metabolic process","11/149","256/17913",9.95284392266633e-06,0.000770518797372415,0.000559677894515842,"2683/2203/3036/3037/3479/3487/3488/3643/3953/5166/7262",11
"GO:0034333","BP","GO:0034333","adherens junction assembly","7/149","90/17913",1.00368180018451e-05,0.000770518797372415,0.000559677894515842,"347/2042/3791/4653/6281/6385/7057",7
"GO:1901888","BP","GO:1901888","regulation of cell junction assembly","7/149","90/17913",1.00368180018451e-05,0.000770518797372415,0.000559677894515842,"347/2042/3791/4653/6281/6385/7057",7
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","10/149","210/17913",1.04885456786142e-05,0.000785067644044274,0.000570245667684657,"1293/1410/3082/9314/56925/5743/5054/6423/7057/7076",10
"GO:0071248","BP","GO:0071248","cellular response to metal ion","9/149","167/17913",1.09612026505132e-05,0.000795608102575477,0.000577901887958702,"2203/2354/3398/4489/4493/4499/4501/4502/5743",9
"GO:0048009","BP","GO:0048009","insulin-like growth factor receptor signaling pathway","5/149","36/17913",1.13999182154429e-05,0.000795608102575477,0.000577901887958702,"8483/3479/3485/3487/3488",5
"GO:0032355","BP","GO:0032355","response to estradiol","8/149","128/17913",1.1692303444663e-05,0.000795608102575477,0.000577901887958702,"374/1277/1410/1843/3485/4131/5743/10628",8
"GO:0045667","BP","GO:0045667","regulation of osteoblast differentiation","8/149","128/17913",1.1692303444663e-05,0.000795608102575477,0.000577901887958702,"374/3082/3397/3398/3399/3479/3488/6423",8
"GO:0031093","CC","GO:0031093","platelet alpha granule lumen","6/147","67/18678",1.44196122883622e-05,0.000832732609652918,0.00077031086698356,"1191/3082/3479/5054/7057/7076",6
"GO:0034405","BP","GO:0034405","response to fluid shear stress","5/149","37/17913",1.30932391300286e-05,0.000866417525779661,0.000629335375403713,"19/10370/3037/9314/5743",5
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","13/149","370/17913",1.3428115967106e-05,0.000866417525779661,0.000629335375403713,"330/1293/1410/2152/3082/9314/56925/4609/5743/5054/6423/7057/7076",13
"GO:0045600","BP","GO:0045600","positive regulation of fat cell differentiation","6/149","63/17913",1.37660372557702e-05,0.000866417525779661,0.000629335375403713,"168455/2487/3398/84935/5743/6423",6
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","9/149","172/17913",1.38904613351449e-05,0.000866417525779661,0.000629335375403713,"9510/347/3398/3479/3488/9314/5743/6648/7057",9
"GO:1901652","BP","GO:1901652","response to peptide","15/149","491/17913",1.5101935332227e-05,0.00090174912090545,0.000654999009876124,"374/7832/1277/54206/3397/3479/3488/3643/9314/4131/3164/4929/5166/5743/7076",15
