"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","101/2275","399/18678",2.85731336727952e-13,1.92297189617912e-10,1.6241570719273e-10,"9510/9507/11096/54829/633/151887/8483/1191/1303/1277/1282/1295/115908/1805/2006/2152/2200/2254/2335/9518/2719/3490/3912/4053/4060/4653/5054/6422/6423/64094/8406/7052/7057/7076/1462/8076/10418/2255/1278/9508/2662/7373/7472/5270/4147/1293/5118/183/6649/81621/7869/5345/284018/7078/4016/4256/6275/7058/84034/1284/8404/23213/4239/255743/83872/7059/2331/3910/667/1012/5265/10085/11095/7184/439921/6281/79875/170689/81578/1289/2239/59277/4052/871/7482/89797/27286/11117/1955/7148/25890/1311/4969/80760/2817/7146/2199/7837/1307/2202/3909",101
"GO:0031012","CC","GO:0031012","extracellular matrix","111/2275","468/18678",1.87157741695914e-12,6.29785800806752e-10,5.31922002714704e-10,"9510/9507/11096/54829/633/151887/8483/1191/1303/1277/1282/1295/115908/1805/2006/2152/2200/2254/2335/9518/2719/3490/3912/4053/4060/4653/5054/6422/6423/64094/8406/7980/7052/7057/7076/1462/57124/8076/10418/2255/1278/9508/2662/7373/7472/5270/4147/1293/5118/183/6649/81621/7869/5345/284018/7078/4016/4256/6275/7058/84034/1284/8404/23213/4239/255743/147372/83872/7059/2331/3910/83716/667/1012/5265/10085/11095/7184/439921/6281/79875/9719/170689/81578/1289/2239/59277/2734/4052/871/7482/79625/89797/27286/51144/11117/1955/7148/25890/1311/4969/80760/2817/7146/2199/4015/7837/4327/1307/2202/3909",111
"GO:0030198","BP","GO:0030198","extracellular matrix organization","90/2205","334/17913",2.23491650347783e-13,1.29848648852062e-09,1.03041413528767e-09,"9507/11096/2683/633/151887/1303/1277/1282/1295/1513/1545/2006/2200/2335/3036/3037/3791/3912/4060/10266/5054/6423/64094/7057/7076/7412/1462/8076/90102/1278/9508/7373/1293/10653/183/2296/81621/5345/23122/4016/5768/1284/2022/3672/23213/4239/255743/22801/2331/2824/3910/83716/8516/58494/55790/2264/6662/323/79875/9719/102/1289/5154/5156/23187/79625/4241/3673/51144/5925/9644/11117/7148/55959/23332/25890/1311/5747/3696/55151/4643/1999/4763/7146/2199/4015/7837/4327/1307/3909",90
"GO:0001501","BP","GO:0001501","skeletal system development","115/2205","479/17913",6.12222947594248e-13,1.77850766276129e-09,1.41133500550674e-09,"9507/84159/1277/1513/2114/2200/2254/3037/3202/3479/4060/4653/116039/6422/6423/6424/6659/7076/25976/25946/9775/130497/10234/8817/1278/9249/2662/6591/338773/157506/5950/2296/4211/3638/5744/79705/4487/9770/4256/1009/651/133308/2022/5305/23213/9104/8313/6926/5125/7480/7059/56603/6259/9060/2487/1499/56243/5310/4664/2131/55790/6662/3215/64399/79633/653/652/7227/3203/4090/2734/5156/2697/871/92/7482/6660/3373/55294/5251/4188/1028/8646/55959/3213/22856/3091/83452/171023/1311/3636/4094/6615/658/3696/55151/57599/79648/9451/3216/3200/6399/6495/5364/57728/399979/11091/4015/25902/2767/2202/3199/51715/9759/4920",115
"GO:0043062","BP","GO:0043062","extracellular structure organization","98/2205","387/17913",1.15930184354321e-12,2.24518123699536e-09,1.78166388586641e-09,"9507/11096/2683/633/151887/1303/1277/1282/1295/1513/1545/2006/2200/2335/3036/3037/3791/3912/4060/5320/10266/5054/6423/64094/7057/7076/7412/1462/19/8076/90102/1278/9508/7373/6385/1293/10653/183/2296/81621/5345/23122/4016/5768/1284/185/2022/3672/23213/4239/255743/29801/341/22801/2331/2824/3910/83716/8516/58494/55790/2264/6662/323/79875/9719/102/1289/5154/5156/23187/4023/79625/4241/3673/51144/5925/3373/9644/11117/7148/55959/23332/25890/1311/5747/3696/55151/4643/1999/4763/7146/2199/4015/7837/4327/1307/3909",98
"GO:0001503","BP","GO:0001503","ossification","97/2205","388/17913",3.40010447707521e-12,4.93865175295175e-09,3.91906779199722e-09,"54829/91851/1277/115908/1513/2254/2719/3082/3397/3398/3399/3400/3479/3488/4653/116039/5743/6422/6423/1462/130497/8817/10140/3486/1278/9249/1051/2662/6591/338773/1052/2296/81621/5744/9260/285313/9770/4256/1009/651/8313/255743/7480/7059/22801/1021/1499/5727/3376/6272/2824/4664/2131/5552/55790/374/6662/79633/653/8321/652/7071/56998/4090/2697/7171/92/6096/4077/5251/51430/27044/3295/8646/54880/22856/3091/27316/1311/5747/3636/1836/6615/10272/658/55151/10457/9451/5364/4763/9902/4015/865/3199/5978/9759/4920",97
"GO:0001822","BP","GO:0001822","kidney development","76/2205","276/17913",5.19246856794327e-12,6.03364847595008e-09,4.78800259528243e-09,"9510/84159/2200/2719/3037/3280/3398/3399/4609/8829/116039/5228/6422/6659/25976/130497/10252/2255/9244/1958/4311/157506/6385/80184/10409/183/4070/2296/80310/842/8854/27031/9353/185/23213/9104/51196/255743/5125/9788/56603/1499/5727/2028/79902/5310/8516/6662/59/79633/6092/54806/652/7466/445/3764/5154/56998/4090/5156/7482/9500/1028/55959/64412/84662/10272/5471/57122/4643/6495/4763/23371/100133941/55746/4953",76
"GO:0072001","BP","GO:0072001","renal system development","78/2205","291/17913",1.19001327480569e-11,1.15232952110351e-08,9.14431253271742e-09,"9510/84159/1282/2200/2719/3037/3280/3398/3399/4609/8829/116039/5228/6422/6659/25976/130497/10252/2255/9244/1958/4311/157506/6385/80184/10409/183/4070/5950/2296/80310/842/8854/27031/9353/185/23213/9104/51196/255743/5125/9788/56603/1499/5727/2028/79902/5310/8516/6662/59/79633/6092/54806/652/7466/445/3764/5154/56998/4090/5156/7482/9500/1028/55959/64412/84662/10272/5471/57122/4643/6495/4763/23371/100133941/55746/4953",78
"GO:0034329","BP","GO:0034329","cell junction assembly","63/2205","214/17913",1.5581213965851e-11,1.29324075916563e-08,1.02625138602146e-08,"59272/347/11170/2335/3791/22998/4653/8829/10266/6422/7057/928/2042/90102/6591/2017/6385/183/23122/54751/87/23499/6714/1499/9475/5339/324/2824/2316/395/79834/81671/7414/7145/3987/6281/829/2697/3728/3673/204851/6801/4301/7082/23332/861/54828/5747/6615/10580/10207/8394/5578/56288/8443/8874/57669/57493/865/1307/80139/23136/3909",63
"GO:0034333","BP","GO:0034333","adherens junction assembly","36/2205","90/17913",2.72883101292024e-11,1.98181352313332e-08,1.5726683995514e-08,"347/11170/3791/22998/4653/8829/10266/6422/7057/2042/90102/2017/6385/23122/87/23499/6714/1499/9475/2824/395/79834/7414/3987/6281/3673/204851/23332/54828/5747/10580/8394/8874/57669/1307/80139",36
