"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042113","BP","GO:0042113","B cell activation","10/95","215/17913",2.09139871263545e-07,0.000163106078593184,0.000131082612582482,"1026/1880/3398/9452/1316/4332/931/64092/677/678",10
"GO:0071248","BP","GO:0071248","cellular response to metal ion","9/95","167/17913",2.53623588967837e-07,0.000163106078593184,0.000131082612582482,"241/3162/3309/3398/3725/3726/5641/4502/10235",9
"GO:0002521","BP","GO:0002521","leukocyte differentiation","14/95","485/17913",2.59521336254375e-07,0.000163106078593184,0.000131082612582482,"6348/1880/3398/3659/3662/9452/3725/3726/1316/931/4609/8651/677/678",14
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","14/95","492/17913",3.08620773118608e-07,0.000163106078593184,0.000131082612582482,"6348/1026/10148/1880/3109/3162/3398/3659/3662/4332/64092/8651/677/678",14
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","13/95","451/17913",7.34633166074259e-07,0.000266917382390452,0.000214512102364283,"6348/257144/3162/3398/3659/3662/4332/4609/4792/64092/8651/7538/677",13
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","9/95","194/17913",8.96559434864158e-07,0.000266917382390452,0.000214512102364283,"241/3162/3309/3398/3725/3726/5641/4502/10235",9
"GO:0042108","BP","GO:0042108","positive regulation of cytokine biosynthetic process","6/95","63/17913",1.01009416231013e-06,0.000266917382390452,0.000214512102364283,"10148/3162/3315/3659/3662/4050",6
"GO:0071277","BP","GO:0071277","cellular response to calcium ion","6/95","63/17913",1.01009416231013e-06,0.000266917382390452,0.000214512102364283,"241/3309/3725/3726/5641/10235",6
"GO:1900153","BP","GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","4/95","16/17913",1.28662590507616e-06,0.000279659176416165,0.000224752233598411,"7832/7538/677/678",4
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","12/95","401/17913",1.37658263693129e-06,0.000279659176416165,0.000224752233598411,"1026/10148/1880/3109/3398/3659/3662/4332/64092/8651/677/678",12
"GO:1903707","BP","GO:1903707","negative regulation of hemopoiesis","8/95","152/17913",1.45518019894882e-06,0.000279659176416165,0.000224752233598411,"6348/3398/3659/4609/4792/8651/7538/677",8
"GO:0010038","BP","GO:0010038","response to metal ion","11/95","335/17913",1.59986272657665e-06,0.000281842483665254,0.000226506880762695,"241/1396/3162/3309/3398/3725/3726/5641/4502/10235/10628",11
"GO:0042035","BP","GO:0042035","regulation of cytokine biosynthetic process","7/95","110/17913",1.9243581110187e-06,0.000290578074763823,0.000233527367758209,"10148/3162/3315/3659/3662/4050/7538",7
"GO:0050864","BP","GO:0050864","regulation of B cell activation","7/95","110/17913",1.9243581110187e-06,0.000290578074763823,0.000233527367758209,"1026/1880/3398/4332/64092/677/678",7
"GO:1900151","BP","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","4/95","18/17913",2.14570418204547e-06,0.000302401242722941,0.000243029231566413,"7832/7538/677/678",4
"GO:0030183","BP","GO:0030183","B cell differentiation","7/95","113/17913",2.30555315060858e-06,0.000304621210024159,0.000244813341123832,"1880/3398/9452/1316/931/677/678",7
"GO:0045444","BP","GO:0045444","fat cell differentiation","9/95","222/17913",2.73700469704817e-06,0.000340354584091755,0.000273530995729768,"22809/1649/3398/3638/51316/8651/7538/677/678",9
"GO:0042089","BP","GO:0042089","cytokine biosynthetic process","7/95","120/17913",3.44601230991884e-06,0.000404715001287135,0.000325255196971287,"10148/3162/3315/3659/3662/4050/7538",7
"GO:0042107","BP","GO:0042107","cytokine metabolic process","7/95","121/17913",3.64192128183291e-06,0.000405211662620778,0.000325654346198245,"10148/3162/3315/3659/3662/4050/7538",7
"GO:0051592","BP","GO:0051592","response to calcium ion","7/95","126/17913",4.76643732904785e-06,0.000503812425680358,0.000404896307846486,"241/3309/3725/3726/5641/10235/10628",7
"GO:0050900","BP","GO:0050900","leukocyte migration","12/95","467/17913",6.59251702003698e-06,0.00066364671335039,0.000533349497260135,"2683/6348/6351/2833/257144/1880/3162/3507/3514/28778/5641/6402",12
"GO:0032897","BP","GO:0032897","negative regulation of viral transcription","4/95","24/17913",7.27153597472532e-06,0.000698728502298605,0.000561543495847209,"6348/6351/3725/7538",4
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","10/95","325/17913",8.69327465088574e-06,0.00074379420388724,0.000597761213500974,"1880/3398/3659/3662/9452/1316/931/8651/677/678",10
"GO:0060337","BP","GO:0060337","type I interferon signaling pathway","6/95","91/17913",8.79605255306575e-06,0.00074379420388724,0.000597761213500974,"3434/3437/3659/3662/3394/54739",6
"GO:0071357","BP","GO:0071357","cellular response to type I interferon","6/95","91/17913",8.79605255306575e-06,0.00074379420388724,0.000597761213500974,"3434/3437/3659/3662/3394/54739",6
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","11/95","411/17913",1.12495277807899e-05,0.000870531974866884,0.000699615897741947,"6348/1880/3398/3662/3394/3725/3726/4609/4792/7538/677",11
"GO:0034340","BP","GO:0034340","response to type I interferon","6/95","95/17913",1.12753939563058e-05,0.000870531974866884,0.000699615897741947,"3434/3437/3659/3662/3394/54739",6
"GO:0002573","BP","GO:0002573","myeloid leukocyte differentiation","8/95","201/17913",1.1530224832674e-05,0.000870531974866884,0.000699615897741947,"6348/1880/3398/3662/3725/3726/4609/677",8
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation","9/95","267/17913",1.2193752239e-05,0.000888882490801586,0.000714363561297495,"6348/3398/3659/3662/3725/4609/8651/677/678",9
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","8/95","206/17913",1.37825583074687e-05,0.000971210942066293,0.000780528038886121,"6348/1649/3309/3394/4792/10628/7431/7538",8
"GO:0071346","BP","GO:0071346","cellular response to interferon-gamma","7/95","153/17913",1.70314529064688e-05,0.00116143520787984,0.000933404583736522,"6348/3659/3662/3394/4502/8651/7431",7
"GO:0043922","BP","GO:0043922","negative regulation by host of viral transcription","3/95","12/17913",3.07079090548368e-05,0.00201147503882671,0.00161655166691546,"6348/6351/3725",3
"GO:0007050","BP","GO:0007050","cell cycle arrest","8/95","231/17913",3.13995630469638e-05,0.00201147503882671,0.00161655166691546,"274/7832/1026/1031/1649/3398/3659/4609",8
