"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","138/1578","492/17913",2.1730080174026e-36,1.25121801642042e-32,9.47660233273576e-33,"101/6348/942/1026/10148/1880/3109/3162/3398/3659/3662/3956/4332/64092/8651/677/678/6352/1236/933/1075/11221/84807/639/26228/10673/7494/301/151888/857/1051/2268/3115/30009/7128/100/4345/9308/3111/3479/3566/6095/472/10666/100133941/939/958/970/941/160365/9402/3146/3586/3932/3958/1326/51237/55795/5359/5788/7124/115650/7133/8740/10385/11314/952/1604/2534/84868/3559/54900/8379/5724/27240/8784/29126/916/975/1269/3280/27040/80380/861/201633/7293/7292/80149/196/199/351/388552/652/1499/2207/2625/2896/2934/3113/3572/3902/7940/4690/55824/4860/26191/7037/8600/1178/2213/3149/2648/9258/4773/64332/10039/29108/5914/864/7189/207/283234/972/8832/634/1540/2319/2852/3133/3134/23308/3635/3689/10859/11006/57162/11035/6654",138
"GO:0042110","BP","GO:0042110","T cell activation","128/1578","443/17913",3.17813382517092e-35,9.14984728266709e-32,6.93000444088586e-32,"101/942/10148/1880/3109/3659/3662/3956/8651/677/678/10538/6352/1236/11221/84807/639/6659/10673/7494/301/151888/857/1051/3115/30009/100/9308/3111/3479/3566/5530/6095/1235/100133941/939/960/970/941/160365/9402/3146/3383/3586/3932/3958/1326/5788/115650/7133/8740/10385/11314/1604/2534/84868/3559/54900/4063/8379/5971/27240/114836/6932/8784/29126/916/975/3280/8809/27040/80380/861/201633/7293/7292/80149/199/652/11119/896/1499/2625/2934/3113/3572/3683/3902/4690/55824/4860/26191/6794/7037/8600/7248/1021/1178/1958/2213/2648/4773/64332/29108/5914/399/864/7189/207/283234/972/634/1540/2319/2841/3133/23308/120425/10859/11006/2475/23385/57162/5293/5532/5873/11035/6654",128
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","119/1578","401/17913",5.18292035978358e-34,9.94775181054462e-31,7.53432949143277e-31,"101/942/1026/10148/1880/3109/3398/3659/3662/3956/4332/64092/8651/677/678/6352/1236/933/11221/84807/639/10673/7494/301/151888/857/1051/3115/30009/7128/100/9308/3111/3479/3566/472/100133941/939/958/970/941/160365/9402/3146/3586/3932/3958/1326/51237/55795/5788/115650/7133/8740/10385/11314/952/1604/2534/84868/3559/54900/8379/27240/8784/29126/916/975/3280/27040/80380/861/201633/7293/7292/80149/196/199/388552/652/1499/2625/2934/3113/3572/3902/7940/4690/55824/4860/26191/7037/8600/1178/2213/3149/2648/4773/64332/10039/29108/5914/864/7189/207/283234/972/634/1540/2319/3133/3134/23308/3635/10859/11006/57162/11035/6654",119
"GO:0050863","BP","GO:0050863","regulation of T cell activation","97/1578","307/17913",2.83562770277312e-30,4.0818860781419e-27,3.09158041383922e-27,"101/942/10148/3109/3659/3662/3956/8651/6352/1236/11221/84807/639/10673/7494/301/151888/857/1051/3115/30009/100/9308/3111/3479/3566/100133941/939/970/941/160365/9402/3146/3586/3932/3958/1326/5788/115650/7133/8740/10385/11314/1604/2534/84868/3559/54900/8379/27240/8784/29126/916/975/3280/27040/80380/861/201633/7292/80149/199/652/1499/2625/2934/3113/3572/3902/4690/55824/4860/26191/7037/8600/1178/2213/2648/4773/64332/29108/5914/864/7189/207/283234/972/634/1540/2319/3133/23308/10859/11006/57162/11035/6654",97
"GO:0002521","BP","GO:0002521","leukocyte differentiation","123/1578","485/17913",5.71731941882389e-28,6.5840650427176e-25,4.98670617940787e-25,"101/6348/942/1880/3398/3659/3662/9452/3725/3726/1316/3956/931/4609/8651/10221/677/678/57379/10538/1236/973/4189/11221/3087/4066/84807/639/6659/7494/301/1051/30009/100/9308/3111/3566/3676/6095/472/1230/1235/939/941/112616/2124/2194/3146/3586/3932/55795/5788/54997/7124/302/55509/10385/3559/4063/5971/114836/6932/8784/10766/916/975/1380/1435/10272/8809/3688/7071/861/7292/80149/351/652/1499/2207/2625/3902/4830/4860/26191/6794/7037/8600/7248/10537/1021/1958/2213/3149/359948/2648/79705/4763/4773/64332/2185/5914/399/6237/864/7189/972/634/1540/55619/96459/2841/3428/10320/3635/3665/10859/11006/2475/5293/5532/11035/6654/171392",123
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","97/1578","328/17913",9.59689926065844e-28,9.20982432381188e-25,6.97543046261542e-25,"101/942/10148/3109/3659/3956/6402/8651/6352/1236/11221/84807/10673/7494/301/151888/857/1051/3115/30009/100/6370/9308/3479/3566/3676/4907/100133941/939/960/970/941/160365/9402/3146/3383/3586/3932/3958/1326/5788/7124/115650/8740/10385/11314/1604/2534/84868/3559/54900/8379/5724/10507/29126/916/975/3280/3688/80380/861/201633/7292/80149/199/652/2625/3113/3572/3683/3902/4690/4860/26191/7037/8600/2213/64332/29108/5914/864/7189/207/283234/972/634/1540/2113/7430/2319/2650/3133/23308/3689/10859/11006/57162",97
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","90/1578","295/17913",6.58858172015819e-27,5.41957907781012e-24,4.10473594986698e-24,"101/942/10148/3109/3659/3956/8651/6352/1236/11221/84807/10673/7494/301/151888/857/1051/3115/30009/100/6370/9308/3479/3566/3676/100133941/939/960/970/941/160365/9402/3146/3383/3586/3932/3958/1326/5788/7124/115650/8740/10385/11314/1604/2534/84868/3559/54900/8379/5724/29126/916/975/3280/80380/861/201633/7292/80149/199/652/2625/3113/3572/3902/4690/4860/26191/7037/8600/2213/64332/29108/5914/864/7189/207/283234/972/634/1540/2113/2319/3133/23308/3689/10859/11006/57162",90
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","73/1578","214/17913",2.39962985824795e-25,1.72713359047396e-22,1.30811401351595e-22,"101/942/10148/3109/3956/8651/6352/1236/11221/84807/10673/7494/301/151888/857/3115/100/9308/3479/3566/3676/100133941/939/960/970/941/160365/9402/3146/3383/3932/1326/5788/7124/115650/8740/10385/1604/2534/84868/3559/5724/29126/916/975/3280/80380/861/7292/199/2625/3113/3572/4690/4860/7037/8600/64332/29108/5914/864/7189/207/283234/972/1540/2113/2319/3133/23308/3689/10859/11006",73
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","88/1578","305/17913",1.96143490473424e-24,1.25488246460664e-21,9.50435650329117e-22,"101/6348/942/1026/10148/1880/3109/3956/8651/6352/1236/1075/11221/84807/26228/10673/7494/301/151888/857/2268/3115/30009/100/9308/3479/3566/10666/100133941/939/958/970/941/160365/9402/3146/3586/3932/1326/55795/5788/115650/8740/10385/952/1604/2534/84868/3559/5724/29126/916/975/3280/80380/861/7293/7292/199/351/388552/2207/2625/3113/3572/4690/4860/7037/8600/4773/64332/29108/5914/864/7189/207/283234/972/1540/2319/3133/3134/23308/3635/3689/10859/11006/57162",88
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","90/1578","325/17913",1.41183924926921e-23,7.43937675155121e-21,5.63451086482453e-21,"101/942/1880/3398/3659/3662/9452/1316/3956/931/8651/677/678/57379/10538/1236/973/4189/11221/3087/4066/84807/639/6659/7494/301/30009/100/9308/3111/3566/3676/6095/472/1235/939/941/112616/3146/3586/3932/55795/5788/10385/3559/4063/5971/114836/6932/8784/916/1380/8809/3688/861/7292/80149/652/1499/2625/3902/4860/26191/6794/7248/1021/1958/2213/3149/359948/2648/4773/64332/2185/5914/399/864/972/1540/55619/96459/2841/10320/3635/11006/2475/5293/5532/11035/6654",90
