"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","BP","GO:0008544","epidermis development","12/73","452/17913",2.62736489349527e-07,0.000587741526674891,0.000443609819912253,"51806/1499/79977/3488/3643/3861/3872/3887/5048/5154/5266/6431",12
"GO:0043588","BP","GO:0043588","skin development","10/73","412/17913",6.33835793304686e-06,0.00708945334811292,0.00535090848663535,"57561/1499/79977/3488/3861/3872/3887/5154/5266/6431",10
"GO:0043470","BP","GO:0043470","regulation of carbohydrate catabolic process","5/73","84/17913",2.35114505005023e-05,0.0121182599130117,0.00914650208242751,"3643/9631/26471/5500/7157",5
"GO:0048145","BP","GO:0048145","regulation of fibroblast proliferation","5/73","86/17913",2.6355969818885e-05,0.0121182599130117,0.00914650208242751,"1499/3725/26471/5154/7157",5
"GO:0048144","BP","GO:0048144","fibroblast proliferation","5/73","87/17913",2.78748864539095e-05,0.0121182599130117,0.00914650208242751,"1499/3725/26471/5154/7157",5
"GO:0003007","BP","GO:0003007","heart morphogenesis","7/73","249/17913",6.87826629396644e-05,0.0121182599130117,0.00914650208242751,"1499/79977/3643/3725/4194/6659/7157",7
"GO:0030330","BP","GO:0030330","DNA damage response, signal transduction by p53 class mediator","5/73","106/17913",7.20018093507767e-05,0.0121182599130117,0.00914650208242751,"9125/4194/10397/6659/7157",5
"GO:0006977","BP","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","4/73","56/17913",7.94196651576044e-05,0.0121182599130117,0.00914650208242751,"9125/4194/6659/7157",4
"GO:0009913","BP","GO:0009913","epidermal cell differentiation","8/73","346/17913",8.05444700830644e-05,0.0121182599130117,0.00914650208242751,"1499/79977/3861/3872/3887/5048/5266/6431",8
"GO:2000144","BP","GO:2000144","positive regulation of DNA-templated transcription, initiation","3/73","21/17913",8.19245687132191e-05,0.0121182599130117,0.00914650208242751,"1499/3725/7157",3
"GO:0042303","BP","GO:0042303","molting cycle","5/73","109/17913",8.22237280392916e-05,0.0121182599130117,0.00914650208242751,"1499/3488/3861/3872/5154",5
"GO:0042633","BP","GO:0042633","hair cycle","5/73","109/17913",8.22237280392916e-05,0.0121182599130117,0.00914650208242751,"1499/3488/3861/3872/5154",5
"GO:0043525","BP","GO:0043525","positive regulation of neuron apoptotic process","4/73","57/17913",8.51515026048767e-05,0.0121182599130117,0.00914650208242751,"1499/3725/26471/7157",4
"GO:0072431","BP","GO:0072431","signal transduction involved in mitotic G1 DNA damage checkpoint","4/73","57/17913",8.51515026048767e-05,0.0121182599130117,0.00914650208242751,"9125/4194/6659/7157",4
"GO:1902400","BP","GO:1902400","intracellular signal transduction involved in G1 DNA damage checkpoint","4/73","57/17913",8.51515026048767e-05,0.0121182599130117,0.00914650208242751,"9125/4194/6659/7157",4
"GO:0072413","BP","GO:0072413","signal transduction involved in mitotic cell cycle checkpoint","4/73","59/17913",9.75094673376e-05,0.0121182599130117,0.00914650208242751,"9125/4194/6659/7157",4
"GO:1902402","BP","GO:1902402","signal transduction involved in mitotic DNA damage checkpoint","4/73","59/17913",9.75094673376e-05,0.0121182599130117,0.00914650208242751,"9125/4194/6659/7157",4
"GO:1902403","BP","GO:1902403","signal transduction involved in mitotic DNA integrity checkpoint","4/73","59/17913",9.75094673376e-05,0.0121182599130117,0.00914650208242751,"9125/4194/6659/7157",4
"GO:0031069","BP","GO:0031069","hair follicle morphogenesis","3/73","24/17913",0.000123583182870608,0.0130380743683,0.00984075067018946,"1499/3488/3872",3
"GO:0031571","BP","GO:0031571","mitotic G1 DNA damage checkpoint","4/73","63/17913",0.000126060919728774,0.0130380743683,0.00984075067018946,"9125/4194/6659/7157",4
"GO:0044819","BP","GO:0044819","mitotic G1/S transition checkpoint","4/73","63/17913",0.000126060919728774,0.0130380743683,0.00984075067018946,"9125/4194/6659/7157",4
"GO:0001838","BP","GO:0001838","embryonic epithelial tube formation","5/73","120/17913",0.000129556483078407,0.0130380743683,0.00984075067018946,"1499/79977/79191/6385/6659",5
"GO:0044783","BP","GO:0044783","G1 DNA damage checkpoint","4/73","64/17913",0.000134052619790299,0.0130380743683,0.00984075067018946,"9125/4194/6659/7157",4
"GO:0006109","BP","GO:0006109","regulation of carbohydrate metabolic process","6/73","198/17913",0.000155553295995321,0.0144988634642306,0.0109433108235305,"3488/3643/9631/26471/5500/7157",6
"GO:0072175","BP","GO:0072175","epithelial tube formation","5/73","128/17913",0.000175376589982186,0.015692697271606,0.0118443810665864,"1499/79977/79191/6385/6659",5
"GO:0042770","BP","GO:0042770","signal transduction in response to DNA damage","5/73","131/17913",0.00019541995310682,0.0163799614367753,0.0123631076133862,"9125/4194/10397/6659/7157",5
"GO:0048730","BP","GO:0048730","epidermis morphogenesis","3/73","28/17913",0.000197701814391119,0.0163799614367753,0.0123631076133862,"1499/3488/3872",3
"GO:0072401","BP","GO:0072401","signal transduction involved in DNA integrity checkpoint","4/73","73/17913",0.00022338057256339,0.0168773649453482,0.0127385329846545,"9125/4194/6659/7157",4
"GO:0072422","BP","GO:0072422","signal transduction involved in DNA damage checkpoint","4/73","73/17913",0.00022338057256339,0.0168773649453482,0.0127385329846545,"9125/4194/6659/7157",4
"GO:0072395","BP","GO:0072395","signal transduction involved in cell cycle checkpoint","4/73","74/17913",0.000235421646620626,0.0168773649453482,0.0127385329846545,"9125/4194/6659/7157",4
"GO:2000142","BP","GO:2000142","regulation of DNA-templated transcription, initiation","3/73","30/17913",0.000243586341204114,0.0168773649453482,0.0127385329846545,"1499/3725/7157",3
"GO:0006110","BP","GO:0006110","regulation of glycolytic process","4/73","75/17913",0.000247922956508826,0.0168773649453482,0.0127385329846545,"3643/9631/26471/7157",4
"GO:0010675","BP","GO:0010675","regulation of cellular carbohydrate metabolic process","5/73","138/17913",0.000248973197673889,0.0168773649453482,0.0127385329846545,"3488/3643/26471/5500/7157",5
"GO:0030811","BP","GO:0030811","regulation of nucleotide catabolic process","4/73","77/17913",0.000274347455388939,0.0180504487560311,0.0136239417474879,"3643/9631/26471/7157",4
"GO:0035148","BP","GO:0035148","tube formation","5/73","144/17913",0.000303183026886749,0.0188394564207127,0.0142194612610042,"1499/79977/79191/6385/6659",5
"GO:0043467","BP","GO:0043467","regulation of generation of precursor metabolites and energy","5/73","144/17913",0.000303183026886749,0.0188394564207127,0.0142194612610042,"3643/9631/26471/5500/7157",5
"GO:0016331","BP","GO:0016331","morphogenesis of embryonic epithelium","5/73","146/17913",0.000323105476046677,0.0191018462239917,0.0144175052788193,"1499/79977/79191/6385/6659",5
"GO:0016242","BP","GO:0016242","negative regulation of macroautophagy","3/73","33/17913",0.000324483753469685,0.0191018462239917,0.0144175052788193,"26471/9554/7157",3
"GO:0045682","BP","GO:0045682","regulation of epidermis development","4/73","81/17913",0.000333174889661156,0.0191105699531283,0.0144240896900538,"1499/79977/3872/6431",4
"GO:0071158","BP","GO:0071158","positive regulation of cell cycle arrest","4/73","82/17913",0.00034918839283583,0.0195283608693438,0.014739425844965,"9125/4194/6659/7157",4
"GO:0042058","BP","GO:0042058","regulation of epidermal growth factor receptor signaling pathway","4/73","84/17913",0.000382857395314759,0.0208291316412727,0.0157212089276528,"374/9125/9052/2537",4
"GO:0001942","BP","GO:0001942","hair follicle development","4/73","85/17913",0.000400534197306524,0.0208291316412727,0.0157212089276528,"1499/3488/3872/5154",4
"GO:0051402","BP","GO:0051402","neuron apoptotic process","6/73","238/17913",0.000418271348942022,0.0208291316412727,0.0157212089276528,"1499/3309/3725/26471/6418/7157",6
"GO:0044773","BP","GO:0044773","mitotic DNA damage checkpoint","4/73","86/17913",0.000418786793769336,0.0208291316412727,0.0157212089276528,"9125/4194/6659/7157",4
"GO:0022404","BP","GO:0022404","molting cycle process","4/73","87/17913",0.00043762592183273,0.0208291316412727,0.0157212089276528,"1499/3488/3872/5154",4
"GO:0022405","BP","GO:0022405","hair cycle process","4/73","87/17913",0.00043762592183273,0.0208291316412727,0.0157212089276528,"1499/3488/3872/5154",4
"GO:0098773","BP","GO:0098773","skin epidermis development","4/73","87/17913",0.00043762592183273,0.0208291316412727,0.0157212089276528,"1499/3488/3872/5154",4
"GO:0044774","BP","GO:0044774","mitotic DNA integrity checkpoint","4/73","90/17913",0.000497770327755681,0.0222702444637892,0.0168089180151603,"9125/4194/6659/7157",4
"GO:0051196","BP","GO:0051196","regulation of coenzyme metabolic process","4/73","90/17913",0.000497770327755681,0.0222702444637892,0.0168089180151603,"3643/9631/26471/7157",4
"GO:2001169","BP","GO:2001169","regulation of ATP biosynthetic process","4/73","90/17913",0.000497770327755681,0.0222702444637892,0.0168089180151603,"3643/9631/26471/7157",4
"GO:1901184","BP","GO:1901184","regulation of ERBB signaling pathway","4/73","91/17913",0.000519063556790478,0.0227675524811823,0.0171842713125269,"374/9125/9052/2537",4
"GO:0006611","BP","GO:0006611","protein export from nucleus","5/73","163/17913",0.000535122209154103,0.0230205458053409,0.0173752231474328,"1984/9631/6431/7157/7531",5
"GO:1901216","BP","GO:1901216","positive regulation of neuron death","4/73","93/17913",0.000563582883910424,0.0234317367487866,0.0176855778392366,"1499/3725/26471/7157",4
