"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","BP","GO:0008380","RNA splicing","171/2707","440/17913",7.31563680504082e-35,4.20502803553746e-31,3.53768794551132e-31,"3187/3191/6431/29896/9589/3303/1195/11168/10250/6936/1477/55110/55234/6627/51319/80145/6633/51362/2962/285672/27336/9584/6636/339487/2332/6651/51747/9967/3550/53938/6427/10286/6428/5936/7536/1665/84081/6634/9939/96764/8899/51690/23091/23658/23064/3189/55131/7737/6629/54845/23524/5978/6635/22827/1655/1994/8449/5440/79622/3185/11193/4686/5356/10421/5434/4809/10147/10291/1207/25804/79760/79042/11017/10625/57187/9541/11325/3192/10658/84991/8233/10946/284695/153527/9360/54883/3181/4116/22794/116461/83707/10914/51503/10262/84321/10189/4236/9444/23020/22916/3183/57461/6632/9775/51493/79833/9410/5431/83443/2963/10285/8996/85437/5437/10283/6631/91746/23435/6628/6432/58517/5411/10992/55660/22826/151987/10657/988/10465/25949/9092/6434/10569/56259/10181/5432/2521/10907/22985/51593/4928/6100/10921/3190/27332/6637/79066/55339/27238/57819/5438/9406/5441/220988/8570/6429/51428/51585/79171/11066/9169/6625/10150/5515/10922/3178/8896/10891/9416/11171/7009",171
"GO:0006397","BP","GO:0006397","mRNA processing","177/2707","499/17913",3.08525523199638e-30,8.86702353675759e-27,7.45982238725861e-27,"3187/3191/6431/29896/9589/550643/11168/55149/255967/10250/6936/1477/55110/55234/6627/51319/80145/6633/51362/2962/285672/27336/9584/6636/2332/6651/9967/3550/53938/6427/10286/6428/5936/7536/54623/1665/84081/2926/6634/9939/96764/8899/51690/23091/23658/23064/3189/55131/7737/6629/54845/23524/5978/6635/22827/1655/1994/8449/5440/79622/3185/11193/4686/5356/10421/2965/5434/4809/10147/10291/1207/25804/79760/22944/79042/11017/57187/9541/11325/3192/10658/84991/8233/1022/10946/54890/284695/153527/26097/54883/3181/4116/22794/116461/10914/51503/10262/84321/10189/4236/9444/23020/22916/9238/4331/3183/57461/6632/9775/6829/79833/9410/5431/83443/2963/10285/8996/85437/5437/10283/6631/91746/23435/6628/64062/6432/58517/404672/5411/7936/10992/55660/22826/151987/10657/988/10465/25949/9092/6434/10569/56259/10181/5432/2521/10907/22985/51593/4928/10921/3190/6637/79066/55339/27238/246175/57819/5438/9406/5441/220988/8570/6429/51428/51585/79171/8731/11066/9169/6625/10150/22803/3178/8896/10891/9416/11171",177
"GO:0005681","CC","GO:0005681","spliceosomal complex","85/2814","160/18678",2.36725364350646e-29,1.64050677494997e-26,1.06401821660764e-26,"3187/10250/6936/55234/6627/6633/51362/6636/3550/53938/6427/10286/7536/1665/6634/9939/8899/51690/23658/3189/55131/7737/6629/23524/6635/1655/8449/79622/3185/11193/5356/4809/10291/25804/10625/51322/3192/84991/8233/10946/153527/54883/3181/4116/22794/51503/10262/10189/4236/23020/3183/6009/57461/6632/9775/9410/83443/10285/85437/10283/6631/6628/5411/10992/988/10465/25949/9092/6434/10569/56259/10181/10907/3190/6637/27238/57819/220988/51428/11066/6625/3178/8896/9416/8539",85
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","137/2707","344/17913",2.26972484887133e-29,2.7243114742313e-26,2.29196185631956e-26,"3187/3191/6431/29896/9589/11168/10250/6936/1477/55110/55234/6627/51319/6633/51362/2962/27336/6636/2332/6651/9967/3550/53938/6427/10286/6428/5936/7536/1665/84081/6634/9939/96764/8899/51690/23658/23064/3189/7737/6629/23524/5978/6635/22827/1655/1994/8449/5440/79622/3185/11193/4686/5356/10421/5434/4809/10291/1207/25804/79760/11017/11325/3192/10658/84991/8233/10946/153527/54883/3181/4116/22794/10914/51503/10262/10189/4236/23020/22916/3183/57461/6632/9775/79833/9410/5431/83443/2963/10285/8996/85437/5437/10283/6631/91746/6628/6432/58517/5411/10992/55660/22826/10657/988/10465/25949/9092/6434/10569/56259/10181/5432/2521/10907/51593/4928/10921/3190/6637/79066/55339/27238/57819/5438/5441/220988/6429/51428/51585/79171/11066/9169/6625/3178/8896/9416/11171",137
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","137/2707","344/17913",2.26972484887133e-29,2.7243114742313e-26,2.29196185631956e-26,"3187/3191/6431/29896/9589/11168/10250/6936/1477/55110/55234/6627/51319/6633/51362/2962/27336/6636/2332/6651/9967/3550/53938/6427/10286/6428/5936/7536/1665/84081/6634/9939/96764/8899/51690/23658/23064/3189/7737/6629/23524/5978/6635/22827/1655/1994/8449/5440/79622/3185/11193/4686/5356/10421/5434/4809/10291/1207/25804/79760/11017/11325/3192/10658/84991/8233/10946/153527/54883/3181/4116/22794/10914/51503/10262/10189/4236/23020/22916/3183/57461/6632/9775/79833/9410/5431/83443/2963/10285/8996/85437/5437/10283/6631/91746/6628/6432/58517/5411/10992/55660/22826/10657/988/10465/25949/9092/6434/10569/56259/10181/5432/2521/10907/51593/4928/10921/3190/6637/79066/55339/27238/57819/5438/5441/220988/6429/51428/51585/79171/11066/9169/6625/3178/8896/9416/11171",137
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","138/2707","348/17913",2.36979077438353e-29,2.7243114742313e-26,2.29196185631956e-26,"3187/3191/6431/29896/9589/11168/10250/6936/1477/55110/55234/6627/51319/6633/51362/2962/27336/6636/2332/6651/9967/3550/53938/6427/10286/6428/5936/7536/1665/84081/6634/9939/96764/8899/51690/23658/23064/3189/7737/6629/23524/5978/6635/22827/1655/1994/8449/5440/79622/3185/11193/4686/5356/10421/5434/4809/10291/1207/25804/79760/11017/11325/3192/10658/84991/8233/10946/153527/54883/3181/4116/22794/10914/51503/10262/10189/4236/23020/22916/3183/57461/6632/9775/79833/9410/5431/83443/2963/10285/8996/85437/5437/10283/6631/91746/6628/6432/58517/5411/10992/55660/22826/10657/988/10465/25949/9092/6434/10569/56259/10181/5432/2521/10907/51593/4928/10921/3190/6637/79066/55339/27238/57819/5438/5441/220988/8570/6429/51428/51585/79171/11066/9169/6625/3178/8896/9416/11171",138
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","157/2814","445/18678",9.74599978509413e-27,3.37698892553512e-24,2.19028521486063e-24,"2537/3954/90580/1337/118487/291/1678/4725/90871/4717/54968/55967/84545/9553/4731/139322/4694/65005/51629/4707/6182/64965/1349/54948/55173/64969/92609/51312/4700/51264/79135/6834/1345/54927/51649/92259/6576/28958/10105/598/441024/51253/4708/51650/4718/79133/4720/622/54675/126328/80219/25994/51117/6687/84275/51069/4698/79590/26521/51073/84311/54998/107075310/79568/4709/54539/64968/84769/219927/54460/6392/11331/8834/1267/1537/100287932/4702/29078/131118/4716/116541/10245/2806/128308/400916/4695/137682/78988/10240/83985/10440/6391/3032/81034/23530/51300/253512/10989/192286/11222/57129/122704/55186/8760/91689/55101/9377/4710/51021/63933/28998/23787/26164/4712/4719/27069/54148/84273/1329/91942/64949/84303/4726/29074/64981/5018/6390/51805/26517/64960/3030/54534/4696/54977/221154/55037/84233/54902/64432/51023/4697/28973/65003/740/55744/54205/25915/84277/64983/4711/10730/5832/3052/51373/4723/1347/4715",157
"GO:0019866","CC","GO:0019866","organelle inner membrane","165/2814","489/18678",1.39517112381854e-25,3.22284529602082e-23,2.09030901708953e-23,"2537/3954/90580/1337/118487/291/1678/4725/90871/4717/54968/55967/84545/9553/4731/139322/3429/4694/65005/51629/4707/6182/64965/1349/54948/55173/64969/92609/51312/4700/51264/79135/10269/6834/23200/1345/54927/51649/92259/6576/28958/10105/598/441024/51253/4708/51650/4718/79133/2010/4720/622/54675/126328/80219/25994/51117/6687/84275/51069/4698/79590/26521/51073/84311/54998/107075310/79568/4709/54539/23353/64968/84769/219927/54460/6392/11331/10204/8834/1267/1537/100287932/4702/29078/131118/4716/116541/10245/2806/128308/400916/4695/137682/78988/10240/83985/10440/6391/3032/81034/23530/51300/253512/10989/192286/11222/57129/11335/122704/55186/8760/91689/55101/9377/4710/51021/63933/28998/23787/26164/4712/4719/6434/27069/54148/84273/1329/91942/64949/84303/4726/29074/64981/5018/6390/51805/26517/64960/3030/54534/4696/54977/221154/55037/84233/54902/64432/51023/4697/28973/65003/740/55744/54205/25915/84277/64983/4711/10730/5832/3052/51373/4723/1347/4715",165
"GO:0098798","CC","GO:0098798","mitochondrial protein complex","101/2814","233/18678",1.96581632364926e-25,3.40577678072235e-23,2.20895676367957e-23,"90580/1337/118487/4725/90871/4717/55967/55669/84545/9553/4731/139322/4694/65005/4707/6182/64965/54948/55173/64969/92609/4700/10295/51264/79135/54927/92259/25813/10105/7416/51253/4708/51650/4718/4720/126328/6687/51069/4698/79590/26521/51073/84311/4709/54539/64968/84769/219927/10651/54460/6392/100287932/4702/3028/4716/116541/10245/128308/400916/4695/78988/10440/6391/115416/10989/11222/57129/5163/122704/91689/55101/9377/4710/51021/28998/26164/4712/4719/54148/64949/84303/4726/29074/64981/6390/26517/64960/54534/4696/56922/221154/51023/4697/28973/65003/740/64983/4711/51373/4723/4715",101
"GO:0006457","BP","GO:0006457","protein folding","83/2707","176/17913",4.96729669230586e-24,4.75867023122901e-21,4.00346684288651e-21,"11328/3309/3315/3303/3337/10694/3320/2782/23184/267/9761/10961/10728/3304/10574/53938/10576/811/1410/5202/908/1459/26973/9403/131474/9530/5204/2783/7266/27000/573/79139/9049/23640/6903/10575/64374/5589/2923/22926/5887/1676/5201/6902/22948/1460/51182/10808/5203/8425/8877/3301/131118/1047/79031/5903/3300/7203/2773/821/59345/10283/10294/1861/80331/9141/8195/9601/1457/10465/7265/10049/23071/3998/51726/6449/4802/10491/2288/6625/30001/7184/10471",83
