"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","BP","GO:0007264","small GTPase mediated signal transduction","117/2319","465/17913",4.01562342702021e-13,2.32103034081768e-09,2.03232815127507e-09,"56882/1026/1029/8727/2247/3725/10276/10769/171177/3925/54453/57493/8660/3084/4254/388/8878/57522/19/7077/54509/57216/23221/9922/9411/10630/64283/10395/2149/1278/9353/10156/9928/4804/9771/55701/1902/9289/1122/54869/6478/7204/81704/9322/50649/7074/9901/26037/80005/57826/5296/6236/9639/5881/50650/9693/50861/54922/8412/23682/9267/1012/8859/221472/22808/51195/10045/57568/2203/2059/440107/8567/3675/54848/5900/10672/3688/1894/10160/389337/57480/6016/201163/5912/64411/23189/23380/23348/23092/3633/221002/397/7157/26269/51196/85360/23094/23179/57514/9448/25780/79658/2245/5337/5922/29984/27/57221/394/55160/27237/9855/2305/57584/8829/84033/6239",117
"GO:0034330","BP","GO:0034330","cell junction organization","77/2319","277/17913",2.76864805401875e-11,8.0013928761142e-08,7.00613675985378e-08,"1499/2335/2706/79977/3861/3852/3909/3918/22998/6385/6591/7057/54361/57493/9076/9253/29841/3655/3673/60/347/84612/9922/5339/3914/6281/92359/3691/10395/2149/84962/928/5796/261734/10979/3911/5578/2697/90102/1308/11228/2316/57662/1002/1946/9693/80139/2017/861/1012/91862/9231/143098/79834/1009/6904/1894/7145/201163/8861/1006/10052/57555/3551/1500/1832/79983/4323/1000/9448/29984/1969/56288/5584/1307/2039/8829",77
"GO:0034329","BP","GO:0034329","cell junction assembly","64/2319","214/17913",4.53008655360862e-11,8.72796675995262e-08,7.64233549114044e-08,"1499/2335/2706/79977/3861/3852/3909/3918/22998/6385/6591/7057/54361/57493/9076/3655/3673/60/347/84612/5339/3914/6281/92359/3691/10395/84962/928/5796/261734/10979/3911/5578/2697/90102/1308/2316/57662/1946/9693/80139/2017/861/91862/9231/143098/79834/6904/1894/7145/201163/8861/10052/3551/79983/4323/9448/29984/1969/56288/5584/1307/2039/8829",64
"GO:0005912","CC","GO:0005912","adherens junction","113/2383","496/18678",3.16478028466892e-10,1.78723244249065e-07,1.50797737335149e-07,"9590/1499/667/55612/3303/3315/143903/4008/10397/91624/5328/5329/6278/6385/7052/3371/84951/4739/8613/388/23767/3309/3694/3655/3673/2273/60/1948/2274/390/6282/4082/6840/83604/5500/7171/7184/5339/10395/84962/1824/928/5796/7739/9124/55691/9902/30011/1601/10979/3875/27289/2697/90102/7106/23164/2261/9351/3304/3672/2316/5605/57662/60312/64759/1946/2017/9267/2886/1012/54800/9231/171024/5797/8470/2195/3675/143098/726/79834/3159/6904/10672/3688/7145/2196/2037/29843/9414/4026/4810/6386/23092/3685/85458/1500/1832/9815/79983/1266/4323/8754/23224/57514/1000/9448/23022/1466/1969/10544/23150/8829/81848",113
"GO:0005911","CC","GO:0005911","cell-cell junction","98/2383","414/18678",5.58510138278329e-10,1.78723244249065e-07,1.50797737335149e-07,"231/401138/360/481/2683/79827/1499/1830/83481/2706/79977/10397/10791/1364/57493/9076/127534/5493/3856/5010/23767/5530/595/3655/10806/57216/6282/10804/4072/83604/84612/5317/91663/92359/84962/1824/5796/1366/9124/55691/261734/30011/3875/117583/2697/1308/120/51294/5295/7074/57530/57826/2316/5605/57662/27134/23037/9693/3759/54922/288/9267/54800/2707/91862/1825/9231/5797/9071/2195/7533/143098/6904/317762/3688/1894/2196/2125/201163/200576/5912/8189/9414/5420/10052/23254/4810/8777/1500/1832/79983/1266/23094/1000/1969/56288/5584/23150",98
"GO:0001655","BP","GO:0001655","urogenital system development","84/2319","324/17913",1.72856292457694e-10,2.39262557850327e-07,2.09501798970019e-07,"9510/231/650/760/100133941/1499/1958/2247/3280/3398/3399/4318/4824/4953/5228/50484/6382/6385/5268/8710/6659/6662/3371/54361/7477/4854/4609/9788/3400/247/10272/3655/4070/1948/5154/57216/4072/5017/153572/157506/5125/3691/3570/9353/10252/8626/4774/1282/3911/4086/51301/3169/59/64220/445/2296/139285/2650/6256/56603/9231/3675/25937/2263/3913/201163/10409/5176/5420/4326/7020/1027/3248/23279/51196/2737/5916/5471/51804/55959/2043/80184/84159/8829",84
"GO:0008544","BP","GO:0008544","epidermis development","107/2319","452/17913",2.06974531012394e-10,2.39262557850327e-07,2.09501798970019e-07,"360/1382/1474/1475/1499/22943/1830/1999/54206/2171/55612/10468/51083/79977/3280/3624/3643/9314/8609/3861/3872/25984/3852/3854/3909/3918/5266/5744/6278/80736/6662/6699/6703/7051/7538/8796/8644/5275/3866/2810/5493/677/79152/3856/29841/247/5154/2012/3855/3880/57216/5317/1294/3914/730755/64919/1514/1824/8626/4644/144501/3911/3875/3714/6304/26154/1308/10626/91/286887/3860/92344/26160/6700/2296/412/9368/861/1825/56603/79755/55283/6705/23086/5652/3858/2263/60401/3713/2355/80326/2146/2125/427/8861/23254/340481/7421/1832/57822/8754/5467/6704/23022/27152/1969/7357",107
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction","82/2319","316/17913",2.71527156669843e-10,2.61571160925282e-07,2.29035538468176e-07,"56882/10276/171177/3925/57493/8660/3084/4254/388/8878/57522/19/7077/54509/23221/9922/9411/64283/10395/2149/9353/10156/9928/55701/1902/9289/54869/7204/9322/50649/7074/9901/26037/5296/9639/5881/50650/50861/54922/9267/8859/221472/57568/2203/440107/8567/3675/54848/10672/3688/1894/10160/389337/57480/201163/64411/23189/23380/23092/3633/221002/397/26269/51196/85360/23094/57514/9448/79658/2245/5922/29984/27/57221/394/55160/27237/9855/2305/57584/8829/84033",82
"GO:0031252","CC","GO:0031252","cell leading edge","91/2383","384/18678",2.16917577105841e-09,4.62757497825793e-07,3.90451638790513e-07,"468/490/1499/667/50506/405753/55612/3643/143903/6277/7168/4739/4254/9788/9026/6282/8572/91663/3691/10630/10395/84962/5796/5753/8910/4644/54869/10979/54997/81704/90102/50649/117145/7074/59/5881/4534/30817/23710/5141/55607/9368/1021/2017/348110/51330/84168/221472/5064/2059/5797/8470/10347/3983/2195/133746/378/3688/23242/8976/64411/23189/3636/65059/5420/23380/6792/8861/4810/3685/54434/22902/130271/1500/2054/23224/323/1000/54822/23286/55704/4628/23022/5783/2245/1969/5584/10519/23150/24138/81848",91
"GO:0007265","BP","GO:0007265","Ras protein signal transduction","82/2319","324/17913",9.96298408701798e-10,8.22657828899485e-07,7.20331240456879e-07,"56882/1026/1029/8727/2247/3725/10276/10769/3925/57493/8660/3084/4254/388/8878/19/7077/57216/9922/9411/10630/64283/10395/2149/1278/10156/9928/4804/55701/1902/9289/54869/7204/50649/7074/57826/9639/50650/9693/50861/54922/9267/1012/8859/221472/22808/2203/2059/440107/8567/3675/54848/5900/3688/1894/10160/389337/57480/6016/201163/5912/23189/221002/397/7157/26269/51196/9448/25780/2245/5337/5922/27/57221/394/55160/27237/9855/2305/8829/84033/6239",82
"GO:0030055","CC","GO:0030055","cell-substrate junction","93/2383","404/18678",6.84996000053437e-09,1.0959936000855e-06,9.2474460007214e-07,"9590/1499/667/83481/55612/3303/3315/143903/4008/91624/5328/5329/6278/6385/7052/3371/84951/4739/388/23767/3309/3694/3655/3673/2273/60/1948/2274/390/4082/6840/5500/7171/7184/5339/3691/10395/84962/928/7739/9124/9902/30011/1601/10979/2697/90102/7106/1308/23164/2261/9351/3304/3672/2316/5605/60312/64759/2017/2886/1012/171024/8470/2195/3675/726/79834/3159/10672/3688/7145/2037/29843/4026/4810/6386/23092/3685/85458/9815/1266/4323/8754/23224/57514/1000/9448/23022/1466/1969/10544/8829/81848",93
