Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)_Homo sapiens_R-HSA-381426	3/21	6.965767594826836E-6	0.010657624420085058	0	0	79.36507936507937	942.4208531241159	IGFBP5;IGFBP3;IGFBP2
Extracellular matrix organization_Homo sapiens_R-HSA-1474244	6/283	1.0376427528287614E-5	0.007937967059140025	0	0	11.778563015312134	135.17048184010144	MFAP5;ADAMTS1;LUM;SERPINE1;TIMP1;THBS1
Response to metal ions_Homo sapiens_R-HSA-5660526	2/11	1.714937660463913E-4	0.08746182068365956	0	0	101.01010101010101	875.8549132931986	MT2A;MT1X
Metallothioneins bind metals_Homo sapiens_R-HSA-5661231	2/11	1.714937660463913E-4	0.06559636551274467	0	0	101.01010101010101	875.8549132931986	MT2A;MT1X
Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834	3/73	3.0547785732446545E-4	0.09347622434128643	0	0	22.831050228310502	184.78614753643265	BAMBI;MYC;SERPINE1
Diseases of glycosylation_Homo sapiens_R-HSA-3781865	3/88	5.290877366947582E-4	0.13491737285716335	0	0	18.939393939393938	142.88553571956209	ADAMTS1;LUM;THBS1
Platelet degranulation_Homo sapiens_R-HSA-114608	3/105	8.850807175312614E-4	0.19345335683183285	0	0	15.873015873015873	111.58463033119634	SERPINE1;TIMP1;THBS1
Response to elevated platelet cytosolic Ca2+_Homo sapiens_R-HSA-76005	3/110	0.0010127203059600895	0.1936827585148671	0	0	15.15151515151515	104.47144237149375	SERPINE1;TIMP1;THBS1
Keratan sulfate biosynthesis_Homo sapiens_R-HSA-2022854	2/27	0.00107481003215652	0.18271770546660837	0	0	41.15226337448559	281.30087848935483	B4GALT1;LUM
Glycosaminoglycan metabolism_Homo sapiens_R-HSA-1630316	3/121	0.0013331349627752635	0.2039696493046153	0	0	13.774104683195594	91.18763079225126	B4GALT1;LUM;HAS2
Keratan sulfate/keratin metabolism_Homo sapiens_R-HSA-1638074	2/32	0.0015102593349625713	0.21006334386297584	0	0	34.72222222222222	225.53728812130083	B4GALT1;LUM
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription_Homo sapiens_R-HSA-2173796	2/32	0.0015102593349625713	0.19255806520772786	0	0	34.72222222222222	225.53728812130083	MYC;SERPINE1
Defective B3GALTL causes Peters-plus syndrome (PpS)_Homo sapiens_R-HSA-5083635	2/37	0.0020164639791465286	0.23732229908416835	0	0	30.030030030030034	186.37867287888642	ADAMTS1;THBS1
O-glycosylation of TSR domain-containing proteins_Homo sapiens_R-HSA-5173214	2/38	0.002126086756898041	0.23235090986100018	0	0	29.239766081871345	179.9260874948246	ADAMTS1;THBS1
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer_Homo sapiens_R-HSA-2173793	2/44	0.0028416743909962	0.28985078788161245	0	0	25.252525252525253	148.06469258195023	MYC;SERPINE1
Generic Transcription Pathway_Homo sapiens_R-HSA-212436	6/812	0.0030192960557425094	0.28872018533037747	0	0	4.105090311986864	23.820737146514833	MYC;PLK2;IGFBP3;SERPINE1;SGK1;CTGF
Arachidonic acid metabolism_Homo sapiens_R-HSA-2142753	2/53	0.004097528707664783	0.3687775836898305	0	0	20.964360587002098	115.24887298174708	CYP1B1;PTGDS
ECM proteoglycans_Homo sapiens_R-HSA-3000178	2/55	0.004405748557315177	0.37448862737179	0	0	20.2020202020202	109.59283031262301	LUM;SERPINE1
TCF dependent signaling in response to WNT_Homo sapiens_R-HSA-201681	3/199	0.005441202395338237	0.4381599823614475	0	0	8.375209380234505	43.66629157439426	SFRP2;MYC;SOX4
Diseases associated with O-glycosylation of proteins_Homo sapiens_R-HSA-3906995	2/62	0.005566189950907013	0.4258135312443865	0	0	17.921146953405017	93.02947113720892	ADAMTS1;THBS1
Integrin cell surface interactions_Homo sapiens_R-HSA-216083	2/67	0.006471561675431314	0.47149949349571	0	0	16.58374792703151	83.58769200352465	LUM;THBS1
Hyaluronan biosynthesis and export_Homo sapiens_R-HSA-2142850	1/5	0.008968455482759895	0.6237153131192108	0	0	111.11111111111111	523.7824227467336	HAS2
Disease_Homo sapiens_R-HSA-1643685	5/725	0.009172891319471809	0.6101966834257334	0	0	3.8314176245210727	17.975106285044536	FGF7;ADAMTS1;LUM;MYC;THBS1
Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002	3/253	0.010499398721822959	0.6693366685162135	0	0	6.587615283267457	30.016055915985692	SERPINE1;TIMP1;THBS1
Metabolism of proteins_Homo sapiens_R-HSA-392499	6/1074	0.011547504119908123	0.7067072521383772	0	0	3.103662321539417	13.846325136189792	B4GALT1;IGFBP5;ADAMTS1;IGFBP3;IGFBP2;THBS1
Binding of TCF/LEF:CTNNB1 to target gene promoters_Homo sapiens_R-HSA-4411364	1/7	0.012533916617468993	0.7375727855664446	0	0	79.36507936507937	347.56483965947945	MYC
Defective CHST6 causes MCDC1_Homo sapiens_R-HSA-3656225	1/7	0.012533916617468993	0.7102552749899096	0	0	79.36507936507937	347.56483965947945	LUM
Defective ST3GAL3 causes MCT12 and EIEE15_Homo sapiens_R-HSA-3656243	1/7	0.012533916617468993	0.6848890151688414	0	0	79.36507936507937	347.56483965947945	LUM
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)_Homo sapiens_R-HSA-3656244	1/7	0.012533916617468993	0.6612721525768124	0	0	79.36507936507937	347.56483965947945	LUM
Metabolism of carbohydrates_Homo sapiens_R-HSA-71387	3/282	0.014050167121324876	0.7165585231875687	0	0	5.91016548463357	25.207570854118824	B4GALT1;LUM;HAS2
VEGF ligand-receptor interactions_Homo sapiens_R-HSA-194313	1/8	0.014311968554805366	0.706364899640394	0	0	69.44444444444444	294.9068840207677	PGF
VEGF binds to VEGFR leading to receptor dimerization_Homo sapiens_R-HSA-195399	1/8	0.014311968554805366	0.6842909965266316	0	0	69.44444444444444	294.9068840207677	PGF
Transport of fatty acids_Homo sapiens_R-HSA-804914	1/8	0.014311968554805366	0.6635549057227943	0	0	69.44444444444444	294.9068840207677	APOD
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA_Homo sapiens_R-HSA-428359	1/8	0.014311968554805366	0.6440385849662416	0	0	69.44444444444444	294.9068840207677	MYC
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)_Homo sapiens_R-HSA-2142670	1/8	0.014311968554805366	0.6256374825386346	0	0	69.44444444444444	294.9068840207677	CYP1B1
Degradation of the extracellular matrix_Homo sapiens_R-HSA-1474228	2/106	0.01559016412360425	0.6625819752531806	0	0	10.482180293501049	43.61755836976531	ADAMTS1;TIMP1
Signaling by Wnt_Homo sapiens_R-HSA-195721	3/295	0.01583829961737031	0.6549350922858533	0	0	5.649717514124293	23.4199109929166	SFRP2;MYC;SOX4
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)_Homo sapiens_R-HSA-2142816	1/9	0.016086908285246115	0.6477097283270146	0	0	61.72839506172839	254.92280788655637	CYP1B1
O-linked glycosylation_Homo sapiens_R-HSA-5173105	2/110	0.016719642961665903	0.6559244546499701	0	0	10.1010101010101	41.324959853746776	ADAMTS1;THBS1
Interaction With The Zona Pellucida_Homo sapiens_R-HSA-1300644	1/10	0.017858741011932532	0.6830968437064193	0	0	55.55555555555556	223.62567767063973	B4GALT1
