"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","9/33","399/18678",2.07435129728247e-08,1.90840319349987e-06,1.52846937694498e-06,"1805/3490/6423/5054/7076/8076/4060/7057/9510",9
"GO:0031012","CC","GO:0031012","extracellular matrix","9/33","468/18678",8.14628567785569e-08,3.74729141181362e-06,3.00126314447315e-06,"1805/3490/6423/5054/7076/8076/4060/7057/9510",9
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","10/35","425/17913",5.49438446712159e-09,5.66229841495372e-06,3.31040671485088e-06,"3398/3488/6423/3486/116039/3037/4609/2683/7057/2252",10
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","9/35","332/17913",1.07001070283702e-08,5.66229841495372e-06,3.31040671485088e-06,"1545/3488/347/6423/10370/3486/5054/7076/7057",9
"GO:0030198","BP","GO:0030198","extracellular matrix organization","9/35","334/17913",1.12719941903525e-08,5.66229841495372e-06,3.31040671485088e-06,"1545/6423/5054/7076/3037/2683/8076/4060/7057",9
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","9/35","347/17913",1.5687589107997e-08,5.91029919643787e-06,3.4553979166825e-06,"1545/3488/347/6423/10370/3486/5054/7076/7057",9
"GO:0051271","BP","GO:0051271","negative regulation of cellular component movement","9/35","365/17913",2.42732951995509e-08,7.31597117314463e-06,4.27721012253139e-06,"1545/3488/347/6423/10370/3486/5054/7076/7057",9
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","9/35","377/17913",3.20657915262423e-08,8.05385797167452e-06,4.70860833464295e-06,"1545/3488/347/6423/10370/3486/5054/7076/7057",9
"GO:0043062","BP","GO:0043062","extracellular structure organization","9/35","387/17913",4.0151103003021e-08,8.64395888936465e-06,5.05360499451557e-06,"1545/6423/5054/7076/3037/2683/8076/4060/7057",9
"GO:0001822","BP","GO:0001822","kidney development","8/35","276/17913",4.71045399672517e-08,8.87331771633104e-06,5.18769736218286e-06,"3399/3398/6659/116039/3037/4609/5228/9510",8
"GO:0072001","BP","GO:0072001","renal system development","8/35","291/17913",7.08645056500666e-08,1.18658677794056e-05,6.93726213205916e-06,"3399/3398/6659/116039/3037/4609/5228/9510",8
"GO:0007568","BP","GO:0007568","aging","8/35","318/17913",1.40096589253879e-07,2.11125560005595e-05,1.23432468637365e-05,"3398/3485/3488/347/10769/5054/7076/1410",8
"GO:0001655","BP","GO:0001655","urogenital system development","8/35","324/17913",1.61643747311405e-07,2.21451933816624e-05,1.29469680860905e-05,"3399/3398/6659/116039/3037/4609/5228/9510",8
"GO:0005520","MF","GO:0005520","insulin-like growth factor binding","4/35","26/16969",2.19485152939553e-07,2.65577035056859e-05,1.98691822661069e-05,"3485/3488/3490/3486",4
"GO:0031994","MF","GO:0031994","insulin-like growth factor I binding","3/35","10/16969",9.55096596990878e-07,5.77833441179481e-05,4.32306880743239e-05,"3485/3488/3486",3
"GO:0014910","BP","GO:0014910","regulation of smooth muscle cell migration","5/35","85/17913",6.19892331364965e-07,7.78481452805836e-05,4.55131474870593e-05,"3488/3486/5054/3037/9510",5
"GO:0014909","BP","GO:0014909","smooth muscle cell migration","5/35","91/17913",8.71514254432555e-07,9.94670082646284e-05,5.81524017165467e-05,"3488/3486/5054/3037/9510",5
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","6/35","172/17913",9.25332541428423e-07,9.94670082646284e-05,5.81524017165467e-05,"3398/3488/347/3486/7057/9510",6
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","6/35","174/17913",9.90049850012891e-07,9.94670082646284e-05,5.81524017165467e-05,"3398/3488/347/3486/7057/9510",6
"GO:0014812","BP","GO:0014812","muscle cell migration","5/35","103/17913",1.61327108883393e-06,0.000151949970679546,8.88360461417107e-05,"3488/3486/5054/3037/9510",5
"GO:0019838","MF","GO:0019838","growth factor binding","5/35","121/16969",4.64106159641555e-06,0.000187189484388761,0.000140046069225171,"3485/3488/3490/3486/7057",5
"GO:0045766","BP","GO:0045766","positive regulation of angiogenesis","6/35","203/17913",2.42794017196845e-06,0.000215229755244497,0.00012583194575465,"1545/6423/10769/3315/5054/7057",6
"GO:0010466","BP","GO:0010466","negative regulation of peptidase activity","6/35","223/17913",4.17741191064229e-06,0.000348807175733029,0.000203926662304715,"6423/221476/5054/7076/1410/7057",6
"GO:0044706","BP","GO:0044706","multi-multicellular organism process","6/35","225/17913",4.39770161839918e-06,0.000348807175733029,0.000203926662304715,"3485/3488/3490/7076/2683/5228",6
"GO:0003206","BP","GO:0003206","cardiac chamber morphogenesis","5/35","129/17913",4.89114713842043e-06,0.00036854793687998,0.000215467902887258,"3398/6423/6659/10370/9510",5
"GO:1904018","BP","GO:1904018","positive regulation of vasculature development","6/35","232/17913",5.24452237957761e-06,0.000376356915524926,0.000220033344947692,"1545/6423/10769/3315/5054/7057",6
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","7/35","369/17913",6.08138815312159e-06,0.000416575088488829,0.000243546501634583,"6423/116039/3037/4609/2683/7057/2252",7
"GO:0033002","BP","GO:0033002","muscle cell proliferation","6/35","243/17913",6.8397793584171e-06,0.000439694499212643,0.000257063036245578,"3398/3488/347/3486/7057/9510",6
"GO:0045926","BP","GO:0045926","negative regulation of growth","6/35","244/17913",7.00243396224514e-06,0.000439694499212643,0.000257063036245578,"3488/6423/221476/1410/4502/4501",6
"GO:0003007","BP","GO:0003007","heart morphogenesis","6/35","249/17913",7.86358371747331e-06,0.000474016826489291,0.000277129245116849,"3398/6423/6659/10370/3037/9510",6
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent","5/35","158/16969",1.70156599592809e-05,0.000514723713768247,0.000385091251710041,"1805/3490/8076/4060/7057",5
"GO:0001558","BP","GO:0001558","regulation of cell growth","7/35","396/17913",9.64213651084832e-06,0.000556100617550034,0.000325118720978856,"3488/3490/6423/221476/6446/3486/1410",7
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","7/35","398/17913",9.96331564290041e-06,0.000556100617550034,0.000325118720978856,"6423/221476/5054/7076/4609/1410/7057",7
"GO:0043567","BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","3/35","24/17913",1.34466820845087e-05,0.000723719639334092,0.000423115522734352,"3485/3488/3486",3
"GO:0003205","BP","GO:0003205","cardiac chamber development","5/35","170/17913",1.87110081413306e-05,0.000972327216171906,0.000568461481462568,"3398/6423/6659/10370/9510",5
"GO:0010634","BP","GO:0010634","positive regulation of epithelial cell migration","5/35","173/17913",2.03569126608695e-05,0.00101147120064907,0.000591346624484525,"10769/3315/3037/7057/2252",5
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","7/35","446/17913",2.08066404911222e-05,0.00101147120064907,0.000591346624484525,"1545/10769/3315/7076/3037/7057/2252",7
"GO:0016049","BP","GO:0016049","cell growth","7/35","466/17913",2.75684213011615e-05,0.00129830034065157,0.000759038441745794,"3488/3490/6423/221476/6446/3486/1410",7
"GO:0001656","BP","GO:0001656","metanephros development","4/35","91/17913",2.89265917211894e-05,0.00132098102193432,0.000772298477532235,"3399/3398/116039/4609",4
