"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","12/47","399/18678",2.03907532581363e-10,2.38571813120194e-08,2.03907532581363e-08,"9510/633/1191/1303/1277/1805/2152/4053/5054/6423/7057/7076",12
"GO:0031012","CC","GO:0031012","extracellular matrix","12/47","468/18678",1.2552216638818e-09,7.34304673370853e-08,6.276108319409e-08,"9510/633/1191/1303/1277/1805/2152/4053/5054/6423/7057/7076",12
"GO:0050673","BP","GO:0050673","epithelial cell proliferation","12/48","425/17913",8.77308996601347e-10,1.61424855374648e-06,1.04353596437844e-06,"2683/2152/2252/3037/3280/3397/3398/3488/4609/116039/6423/7057",12
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding","8/47","199/16969",6.60413343456187e-08,9.11370413969538e-06,7.090753792898e-06,"9510/633/2252/4053/26577/5228/7057/7130",8
"GO:0030198","BP","GO:0030198","extracellular matrix organization","10/48","334/17913",1.54925172004952e-08,1.42531158244556e-05,9.213970756084e-06,"2683/633/1303/1277/1545/3037/5054/6423/7057/7076",10
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","10/48","369/17913",3.97072688403727e-08,1.95952191306169e-05,1.26673899414171e-05,"2683/2152/2252/3037/3280/3397/4609/116039/6423/7057",10
"GO:0001822","BP","GO:0001822","kidney development","9/48","276/17913",4.25983024578628e-08,1.95952191306169e-05,1.26673899414171e-05,"9510/3037/3280/3398/3399/4609/116039/5228/6659",9
"GO:0043062","BP","GO:0043062","extracellular structure organization","10/48","387/17913",6.20771935994626e-08,2.05591295528858e-05,1.32905128116481e-05,"2683/633/1303/1277/1545/3037/5054/6423/7057/7076",10
"GO:0072001","BP","GO:0072001","renal system development","9/48","291/17913",6.70406398463668e-08,2.05591295528858e-05,1.32905128116481e-05,"9510/3037/3280/3398/3399/4609/116039/5228/6659",9
"GO:0001655","BP","GO:0001655","urogenital system development","9/48","324/17913",1.67265539978508e-07,4.39669419372077e-05,2.84225654399569e-05,"9510/3037/3280/3398/3399/4609/116039/5228/6659",9
"GO:0045926","BP","GO:0045926","negative regulation of growth","8/48","244/17913",2.49181738396577e-07,5.73117998312127e-05,3.704939005107e-05,"694/1410/3488/55384/4493/4501/4502/6423",8
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","9/48","377/17913",5.98193255830226e-07,0.000122297287858624,7.90594595424743e-05,"347/57561/10370/1545/3488/5054/6423/7057/7076",9
"GO:0050679","BP","GO:0050679","positive regulation of epithelial cell proliferation","7/48","199/17913",9.40839763143925e-07,0.000173114516418482,0.000111910413931856,"2683/2152/2252/3037/3397/4609/116039",7
"GO:0003206","BP","GO:0003206","cardiac chamber morphogenesis","6/48","129/17913",1.18855363340768e-06,0.000198812607770012,0.000128523024473749,"9510/10370/3280/3398/6423/6659",6
"GO:0008201","MF","GO:0008201","heparin binding","6/47","148/16969",3.1797269469082e-06,0.000213480867047614,0.000166094953767022,"9510/2252/4053/26577/5228/7057",6
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent","6/47","158/16969",4.64088841407857e-06,0.000213480867047614,0.000166094953767022,"633/1303/1277/1805/4053/7057",6
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","8/48","332/17913",2.53206572745457e-06,0.000370381142665538,0.000239434033874175,"347/10370/1545/3488/5054/6423/7057/7076",8
"GO:1904018","BP","GO:1904018","positive regulation of vasculature development","7/48","232/17913",2.61682329057174e-06,0.000370381142665538,0.000239434033874175,"694/1545/2152/5054/6423/6648/7057",7
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","8/48","347/17913",3.51206497746986e-06,0.000461585682753182,0.000298393490566988,"347/10370/1545/3488/5054/6423/7057/7076",8
"GO:0003007","BP","GO:0003007","heart morphogenesis","7/48","249/17913",4.17469965200181e-06,0.000501855512889928,0.000324426046662253,"9510/10370/3037/3280/3398/6423/6659",7
"GO:0001656","BP","GO:0001656","metanephros development","5/48","91/17913",4.36396098165155e-06,0.000501855512889928,0.000324426046662253,"3280/3398/3399/4609/116039",5
"GO:0051271","BP","GO:0051271","negative regulation of cellular component movement","8/48","365/17913",5.09748858994938e-06,0.000551728176794522,0.000356666384312248,"347/10370/1545/3488/5054/6423/7057/7076",8
"GO:0003205","BP","GO:0003205","cardiac chamber development","6/48","170/17913",5.89937988615768e-06,0.000552825426153444,0.000357375704549995,"9510/10370/3280/3398/6423/6659",6
"GO:0030199","BP","GO:0030199","collagen fibril organization","4/48","45/17913",6.23658084603693e-06,0.000552825426153444,0.000357375704549995,"1303/1277/1545/6423",4
"GO:0060412","BP","GO:0060412","ventricular septum morphogenesis","4/48","45/17913",6.23658084603693e-06,0.000552825426153444,0.000357375704549995,"10370/3280/3398/6659",4
"GO:0048660","BP","GO:0048660","regulation of smooth muscle cell proliferation","6/48","172/17913",6.30942062457735e-06,0.000552825426153444,0.000357375704549995,"9510/347/3398/3488/6648/7057",6
"GO:0048659","BP","GO:0048659","smooth muscle cell proliferation","6/48","174/17913",6.74232467075502e-06,0.000563903517917692,0.000364537171193931,"9510/347/3398/3488/6648/7057",6
"GO:0052547","BP","GO:0052547","regulation of peptidase activity","8/48","398/17913",9.59710101636778e-06,0.000767768081309423,0.000496326047986068,"1410/2152/4609/26577/5054/6423/7057/7076",8
"GO:0045668","BP","GO:0045668","negative regulation of osteoblast differentiation","4/48","51/17913",1.03376693466475e-05,0.000792554649909638,0.000512349401829457,"3397/3398/3399/3488",4
"GO:0031093","CC","GO:0031093","platelet alpha granule lumen","4/47","67/18678",2.40128344811426e-05,0.000936500544764563,0.000800427816038088,"1191/5054/7057/7076",4
"GO:0030278","BP","GO:0030278","regulation of ossification","6/48","199/17913",1.45064941907492e-05,0.00106767797243914,0.00069020372360196,"3397/3398/3399/3488/116039/6423",6
"GO:1901681","MF","GO:1901681","sulfur compound binding","6/47","221/16969",3.13472180000432e-05,0.00108147902100149,0.000841425325264318,"9510/2252/4053/26577/5228/7057",6
"GO:1901342","BP","GO:1901342","regulation of vasculature development","8/48","425/17913",1.54392096434532e-05,0.00109262099015207,0.000706328214457574,"694/1545/2152/3397/5054/6423/6648/7057",8
"GO:0045766","BP","GO:0045766","positive regulation of angiogenesis","6/48","203/17913",1.62397069579903e-05,0.00110670595565564,0.000715433483919262,"694/1545/2152/5054/6423/7057",6
"GO:0071294","BP","GO:0071294","cellular response to zinc ion","3/48","19/17913",1.69781291007793e-05,0.00111570562662264,0.000721251349018069,"4493/4501/4502",3
"GO:0007568","BP","GO:0007568","aging","7/48","318/17913",2.05085539154072e-05,0.00130123238635687,0.00084118569598585,"347/1410/3398/3488/5054/6648/7076",7
"GO:0045667","BP","GO:0045667","regulation of osteoblast differentiation","5/48","128/17913",2.30554103067004e-05,0.00141406516547762,0.000914126794616541,"3397/3398/3399/3488/6423",5
"GO:0003231","BP","GO:0003231","cardiac ventricle development","5/48","131/17913",2.57791774736525e-05,0.00153011892101679,0.000989150103403304,"10370/3280/3398/6423/6659",5
"GO:0001649","BP","GO:0001649","osteoblast differentiation","6/48","222/17913",2.69087534045754e-05,0.00154725332076308,0.00100022668905165,"1277/3397/3398/3399/3488/6423",6
"GO:0010812","BP","GO:0010812","negative regulation of cell-substrate adhesion","4/48","67/17913",3.07265394149745e-05,0.00171323734919858,0.00110752757699908,"347/1277/5054/7057",4
"GO:0030194","BP","GO:0030194","positive regulation of blood coagulation","3/48","25/17913",3.98461483528351e-05,0.00209476894197762,0.0013541698537956,"2152/5054/7057",3
"GO:1900048","BP","GO:1900048","positive regulation of hemostasis","3/48","25/17913",3.98461483528351e-05,0.00209476894197762,0.0013541698537956,"2152/5054/7057",3
"GO:0033002","BP","GO:0033002","muscle cell proliferation","6/48","243/17913",4.4629155482438e-05,0.00217694972491772,0.00140729587480379,"9510/347/3398/3488/6648/7057",6
"GO:0061448","BP","GO:0061448","connective tissue development","6/48","243/17913",4.4629155482438e-05,0.00217694972491772,0.00140729587480379,"57561/1277/3398/116039/6423/7076",6
"GO:0050820","BP","GO:0050820","positive regulation of coagulation","3/48","26/17913",4.49587443189528e-05,0.00217694972491772,0.00140729587480379,"2152/5054/7057",3
"GO:0031091","CC","GO:0031091","platelet alpha granule","4/47","91/18678",8.01158031189825e-05,0.00234338724123024,0.00200289507797456,"1191/5054/7057/7076",4
"GO:0003281","BP","GO:0003281","ventricular septum development","4/48","76/17913",5.05312715410933e-05,0.00235768792601591,0.00152413464324827,"10370/3280/3398/6659",4
"GO:0030279","BP","GO:0030279","negative regulation of ossification","4/48","77/17913",5.31956290102538e-05,0.00235768792601591,0.00152413464324827,"3397/3398/3399/3488",4
"GO:0060411","BP","GO:0060411","cardiac septum morphogenesis","4/48","77/17913",5.31956290102538e-05,0.00235768792601591,0.00152413464324827,"10370/3280/3398/6659",4
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","7/48","370/17913",5.38167896155806e-05,0.00235768792601591,0.00152413464324827,"1410/2152/4609/5054/6423/7057/7076",7
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","6/47","306/18678",0.000112338902671221,0.00262873032250657,0.00224677805342442,"1191/1303/1277/3488/7057/7076",6
"GO:0060485","BP","GO:0060485","mesenchyme development","6/48","258/17913",6.22527203414924e-05,0.00266383733554293,0.0017220458748075,"10370/1277/3037/3280/4609/6423",6
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","7/48","383/17913",6.68896068185745e-05,0.00279720173968584,0.00180825970586099,"694/1545/2152/3397/5054/6423/7057",7
"GO:0001503","BP","GO:0001503","ossification","7/48","388/17913",7.25638633480882e-05,0.00296705574578849,0.00191806235282666,"1277/3397/3398/3399/3488/116039/6423",7
"GO:0014910","BP","GO:0014910","regulation of smooth muscle cell migration","4/48","85/17913",7.83525020625268e-05,0.0030697101998868,0.00198442364180325,"9510/3037/3488/5054",4
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","6/48","269/17913",7.8411075757978e-05,0.0030697101998868,0.00198442364180325,"1191/1410/1545/1647/6648/7057",6
"GO:0071248","BP","GO:0071248","cellular response to metal ion","5/48","167/17913",8.21350639606633e-05,0.00309641527810576,0.00200168722211642,"2354/3398/4493/4501/4502",5
"GO:0001558","BP","GO:0001558","regulation of cell growth","7/48","396/17913",8.24588851234686e-05,0.00309641527810576,0.00200168722211642,"694/1410/3488/4131/55384/6423/6446",7
"GO:0060349","BP","GO:0060349","bone morphogenesis","4/48","90/17913",9.7912534872414e-05,0.00360318128330483,0.00232928767170164,"1277/3037/116039/6423",4
"GO:0014909","BP","GO:0014909","smooth muscle cell migration","4/48","91/17913",0.00010221361872946,0.00368770702867073,0.00238392960091414,"9510/3037/3488/5054",4
"GO:0060993","BP","GO:0060993","kidney morphogenesis","4/48","95/17913",0.000120800319011805,0.00427447282657157,0.00276324616363037,"3280/4609/5228/6659",4
"GO:0048661","BP","GO:0048661","positive regulation of smooth muscle cell proliferation","4/48","101/17913",0.000153115802683514,0.00531571843278614,0.0034363626024304,"9510/3398/3488/7057",4
"GO:0001823","BP","GO:0001823","mesonephros development","4/48","103/17913",0.000165155709822715,0.00535973213604834,0.00346481539687336,"3280/4609/116039/5228",4
"GO:0014812","BP","GO:0014812","muscle cell migration","4/48","103/17913",0.000165155709822715,0.00535973213604834,0.00346481539687336,"9510/3037/3488/5054",4
"GO:0071241","BP","GO:0071241","cellular response to inorganic substance","5/48","194/17913",0.000166035180301498,0.00535973213604834,0.00346481539687336,"2354/3398/4493/4501/4502",5
"GO:2000377","BP","GO:2000377","regulation of reactive oxygen species metabolic process","5/48","194/17913",0.000166035180301498,0.00535973213604834,0.00346481539687336,"1191/1410/1545/1647/7057",5
"GO:0043281","BP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","5/48","196/17913",0.000174167952188647,0.00552532813839845,0.00357186544415918,"1410/2152/4609/6423/7057",5
"GO:0009612","BP","GO:0009612","response to mechanical stimulus","5/48","200/17913",0.000191344881253579,0.00590711725522252,0.00381867419817017,"1277/2354/1647/4131/7057",5
"GO:0001953","BP","GO:0001953","negative regulation of cell-matrix adhesion","3/48","42/17913",0.000192623388757256,0.00590711725522252,0.00381867419817017,"347/5054/7057",3
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","5/48","201/17913",0.000195834461598663,0.00590713785805805,0.00381868751693684,"347/1277/3037/5054/7057",5
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","6/48","322/17913",0.000209250974324525,0.00621002891543751,0.00401449237668443,"347/1277/3037/3397/5054/7057",6
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","6/48","323/17913",0.000212782489697126,0.00621459969909065,0.00401744717389727,"10370/3280/3397/4053/6423/7057",6
"GO:0010043","BP","GO:0010043","response to zinc ion","3/48","44/17913",0.000221387618211824,0.00636489402358993,0.0041146054042658,"4493/4501/4502",3
"GO:0016049","BP","GO:0016049","cell growth","7/48","466/17913",0.000225542051234292,0.00638457498878612,0.0041273282250162,"694/1410/3488/4131/55384/6423/6446",7
"GO:0046677","BP","GO:0046677","response to antibiotic","6/48","328/17913",0.000231153495266335,0.00639889490739491,0.00413658538063859,"1191/1277/1410/1545/3397/3399",6
"GO:0003279","BP","GO:0003279","cardiac septum development","4/48","113/17913",0.000235850226414531,0.00639889490739491,0.00413658538063859,"10370/3280/3398/6659",4
"GO:0033628","BP","GO:0033628","regulation of cell adhesion mediated by integrin","3/48","45/17913",0.000236755549452237,0.00639889490739491,0.00413658538063859,"1545/5054/6423",3
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","5/48","210/17913",0.000239958559027309,0.00639889490739491,0.00413658538063859,"1410/5054/6423/7057/7076",5
"GO:0010038","BP","GO:0010038","response to metal ion","6/48","335/17913",0.000258953573749442,0.00680677965284249,0.00440026373438902,"2354/3398/4493/4501/4502/7057",6
"GO:0014911","BP","GO:0014911","positive regulation of smooth muscle cell migration","3/48","47/17913",0.000269526930241863,0.00698492326260603,0.00451542522124989,"9510/3037/3488",3
"GO:0060563","BP","GO:0060563","neuroepithelial cell differentiation","3/48","49/17913",0.000305096239083555,0.00766502503337923,0.00495507911196712,"3280/5054/6659",3
"GO:2000116","BP","GO:2000116","regulation of cysteine-type endopeptidase activity","5/48","222/17913",0.000310119000617984,0.00766502503337923,0.00495507911196712,"1410/2152/4609/6423/7057",5
"GO:0033629","BP","GO:0033629","negative regulation of cell adhesion mediated by integrin","2/48","10/17913",0.000312096588683137,0.00766502503337923,0.00495507911196712,"1545/5054",2
"GO:0010466","BP","GO:0010466","negative regulation of peptidase activity","5/48","223/17913",0.000316598860074359,0.00766502503337923,0.00495507911196712,"1410/5054/6423/7057/7076",5
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","5/48","223/17913",0.000316598860074359,0.00766502503337923,0.00495507911196712,"1191/5054/6423/6648/7057",5
"GO:0014009","BP","GO:0014009","glial cell proliferation","3/48","50/17913",0.000323961173371569,0.00774140985719073,0.00500445831729149,"1191/3280/6659",3
"GO:0044706","BP","GO:0044706","multi-multicellular organism process","5/48","225/17913",0.000329866593387725,0.00778146835683864,0.00503035425813939,"2683/2354/3488/5228/7076",5
"GO:0042476","BP","GO:0042476","odontogenesis","4/48","126/17913",0.000357415127527739,0.00824318225741109,0.00532883063551174,"1277/3399/116039/5054",4
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","5/48","230/17913",0.000364882916250291,0.00824318225741109,0.00532883063551174,"347/1277/1410/1545/6648",5
