"","GENE","FREQUENCY"
"1","AGR2",1
"2","AKAP12",1
"3","AKR1C1",1
"4","AKR1C2",1
"5","AREG",1
"6","ATP1B1",1
"7","B4GALT1",1
"8","BIRC3",1
"9","C15orf48",1
"10","CALD1",1
"11","CLDN1",1
"12","CLDN3",1
"13","CTNNB1",1
"14","CXCL6",1
"15","CYR61",1
"16","DHRS9",1
"17","DKK1",1
"18","DST",1
"19","EDN1",1
"20","F3",1
"21","G0S2",1
"22","GADD45A",1
"23","GAN",1
"24","GDF15",1
"25","HERPUD1",1
"26","HES1",1
"27","HNRNPH1",1
"28","HPGD",1
"29","HSPA1A",1
"30","HSPA5",1
"31","ID1",1
"32","ID2",1
"33","INSIG1",1
"34","INSR",1
"35","JUN",1
"36","JUNB",1
"37","KRT15",1
"38","KRT23",1
"39","KRT5",1
"40","KRTAP3-1",1
"41","LAYN",1
"42","MARCKSL1",1
"43","MPRIP-AS1",1
"44","MT2A",1
"45","MYC",1
"46","NCOA7",1
"47","PHLDA1",1
"48","PLAT",1
"49","PLK2",1
"50","PPP1CB",1
"51","PTGS2",1
"52","SCGB1A1",1
"53","SCGB3A1",1
"54","SDC4",1
"55","SERPINB3",1
"56","SOX4",1
"57","SPINK1",1
"58","TIMP1",1
"59","TPM2",1
"60","WTAP",1
"61","ZFP36L2",1
"62","HSPA1B",0.999
"63","TNFAIP2",0.999
"64","CSTB",0.998
"65","PMAIP1",0.998
"66","PSCA",0.998
"67","RNF144B",0.998
"68","SAA1",0.998
"69","ARID5B",0.997
"70","BTG1",0.997
"71","DUSP1",0.997
"72","FGFBP1",0.997
"73","MGP",0.997
"74","MDM4",0.996
"75","PLIN2",0.994
"76","WFDC21P",0.994
"77","IGFBP3",0.993
"78","CNOT9",0.992
"79","GADD45B",0.986
"80","CLDN4",0.985
"81","IER2",0.984
"82","TM4SF1",0.984
"83","HBEGF",0.98
"84","PRSS23",0.98
"85","RARRES1",0.98
"86","S100A4",0.98
"87","SPARCL1",0.979
"88","FBXO32",0.978
"89","HILPDA",0.976
"90","ZFP36L1",0.976
"91","SLC12A2",0.973
