"","GENE","FREQUENCY"
"1","AC020916.1",1
"2","AC023157.3",1
"3","AC116366.1",1
"4","ADAMTS9",1
"5","AGR2",1
"6","AGR3",1
"7","AKAP12",1
"8","AKR1B1",1
"9","AKR1C1",1
"10","AKR1C2",1
"11","AKR1C3",1
"12","APOBEC3A",1
"13","APOL2",1
"14","AREG",1
"15","ARFGAP3",1
"16","ARHGAP29",1
"17","ARID1B",1
"18","ARID5B",1
"19","ASXL1",1
"20","ATF3",1
"21","ATP1B1",1
"22","B3GNT7",1
"23","B4GALT1",1
"24","BARX2",1
"25","BBC3",1
"26","BCL11A",1
"27","BHLHE40",1
"28","BIRC3",1
"29","BRD3",1
"30","BTG1",1
"31","BTG2",1
"32","C12orf75",1
"33","C15orf48",1
"34","C2orf69",1
"35","C9orf72",1
"36","CALD1",1
"37","CARS",1
"38","CASP3",1
"39","CAVIN1",1
"40","CBWD5",1
"41","CBX6",1
"42","CCNH",1
"43","CCSER2",1
"44","CD2AP",1
"45","CDC42EP3",1
"46","CDKN2A",1
"47","CDKN2AIP",1
"48","CEACAM5",1
"49","CEACAM6",1
"50","CFL2",1
"51","CHD4",1
"52","CITED2",1
"53","CLDN1",1
"54","CLDN3",1
"55","CLDN4",1
"56","CLU",1
"57","CP",1
"58","CRABP2",1
"59","CREB3",1
"60","CREB5",1
"61","CRYAB",1
"62","CSTB",1
"63","CTBS",1
"64","CTNNB1",1
"65","CXCL6",1
"66","CXCL8",1
"67","CYP1B1",1
"68","CYR61",1
"69","DCAF6",1
"70","DDAH2",1
"71","DDIT3",1
"72","DDX39A",1
"73","DHRS9",1
"74","DKK1",1
"75","DNAJB1",1
"76","DST",1
"77","DUSP1",1
"78","DUSP2",1
"79","DUSP5",1
"80","DUSP7",1
"81","EDN1",1
"82","EEF1DP1",1
"83","EGR1",1
"84","EIF4EBP1",1
"85","EIF5",1
"86","ELL2",1
"87","EMP1",1
"88","EMP3",1
"89","ERRFI1",1
"90","ETS2",1
"91","F3",1
"92","FABP3",1
"93","FAM110C",1
"94","FAM46A",1
"95","FBLN1",1
"96","FBXO32",1
"97","FCGBP",1
"98","FGFBP1",1
"99","FHL2",1
"100","FKBP14",1
"101","FOS",1
"102","FOSB",1
"103","FOSL1",1
"104","FST",1
"105","G0S2",1
"106","GADD45A",1
"107","GADD45B",1
"108","GAN",1
"109","GATAD2B",1
"110","GDF15",1
"111","GLUL",1
"112","GPX3",1
"113","GSK3A",1
"114","H1F0",1
"115","H1FX",1
"116","HADH",1
"117","HAS2",1
"118","HBEGF",1
"119","HCAR2",1
"120","HERPUD1",1
"121","HES1",1
"122","HILPDA",1
"123","HIST1H1C",1
"124","HIST1H2AC",1
"125","HIST1H2AE",1
"126","HIST1H2BC",1
"127","HIST1H2BD",1
"128","HIST2H2BE",1
"129","HLA-DRA",1
"130","HNRNPH1",1
"131","HPGD",1
"132","HSPA1A",1
"133","HSPA1B",1
"134","HSPA5",1
"135","HSPB1",1
"136","ID1",1
"137","ID2",1
"138","ID3",1
"139","ID4",1
"140","IER2",1
"141","IGFBP3",1
"142","IGFBP4",1
"143","IGFBP6",1
"144","IGFBP7",1
"145","IL32",1
"146","ING5",1
"147","INSIG1",1
"148","INSR",1
"149","INTS6",1
"150","IP6K1",1
"151","ITGB4",1
"152","JUN",1
"153","JUNB",1
"154","KANK1",1
"155","KDM6B",1
"156","KDM7A",1
"157","KIF13A",1
"158","KISS1",1
"159","KLF6",1
"160","KRT14",1
"161","KRT15",1
"162","KRT23",1
"163","KRT5",1
"164","KRTAP3-1",1
"165","KYAT3",1
"166","LARP7",1
"167","LAYN",1
"168","LINC01589",1
"169","LTBP4",1
"170","LY6D",1
"171","LYPD3",1
"172","LYRM1",1
"173","MAP2K7",1
"174","MARCKSL1",1
"175","MARK2",1
"176","MARVELD3",1
"177","MEG3",1
"178","MGP",1
"179","MLXIP",1
"180","MMP1",1
"181","MMP10",1
"182","MPRIP-AS1",1
"183","MT2A",1
"184","MTO1",1
"185","MYC",1
"186","MYL9",1
"187","MYLIP",1
"188","NCOA7",1
"189","NEDD1",1
"190","NEDD9",1
"191","NKTR",1
"192","NKX3-1",1
"193","NMB",1
"194","NMD3",1
"195","NOL11",1
"196","NR4A2",1
"197","NRG1",1
"198","NUPR1",1
"199","OARD1",1
"200","ODC1",1
"201","OVOL2",1
"202","PCDH7",1
"203","PDS5B",1
"204","PDZK1IP1",1
"205","PGM3",1
"206","PHC3",1
"207","PHLDA1",1
"208","PI3",1
"209","PIK3IP1",1
"210","PITRM1",1
"211","PLAT",1
"212","PLAU",1
"213","PLAUR",1
"214","PLEKHA5",1
"215","PLIN2",1
"216","PLK2",1
"217","PMAIP1",1
"218","POLR1E",1
"219","PPP1CB",1
"220","PPP1R10",1
"221","PRKX",1
"222","PRSS23",1
"223","PSCA",1
"224","PTGS2",1
"225","RABGAP1L",1
"226","RARRES1",1
"227","RBM15B",1
"228","RBM6",1
"229","RBMS3",1
"230","RBSN",1
"231","RETREG1",1
"232","RGL2",1
"233","RHCG",1
"234","RHOB",1
"235","RHOV",1
"236","RIPOR1",1
"237","RIT1",1
"238","RND3",1
"239","RNF213",1
"240","RPS5P2",1
"241","S100A2",1
