"","GENE","FREQUENCY"
"1","ABCB7",1
"2","ACTA2",1
"3","ACTC1",1
"4","ADAMTS1",1
"5","ADIRF",1
"6","ADRA2A",1
"7","AHSA1",1
"8","AIMP1",1
"9","AK5",1
"10","AKR1C1",1
"11","AKR1C3",1
"12","ANGPTL2",1
"13","ANKRD10",1
"14","ANLN",1
"15","ANP32E",1
"16","ANXA2",1
"17","ANXA4",1
"18","ANXA5",1
"19","AP5B1",1
"20","APOD",1
"21","APOL2",1
"22","ARF4",1
"23","ARHGAP23",1
"24","ARL6IP1",1
"25","ARL6IP5",1
"26","ARL8B",1
"27","ARPC5L",1
"28","ARRDC3",1
"29","ASH2L",1
"30","ATF5",1
"31","ATG4B",1
"32","ATIC",1
"33","ATP6V0D1",1
"34","ATP6V0E1",1
"35","ATP6V1B2",1
"36","ATP6V1C1",1
"37","ATP6V1H",1
"38","AZIN1-AS1",1
"39","B4GALT1",1
"40","BAALC",1
"41","BCCIP",1
"42","BCL2L12",1
"43","BDKRB1",1
"44","BGN",1
"45","BIRC5",1
"46","BLOC1S5",1
"47","BRIX1",1
"48","BST1",1
"49","BTG1",1
"50","BZW1",1
"51","C10orf11",1
"52","C16orf91",1
"53","C1orf52",1
"54","C1R",1
"55","C5orf30",1
"56","CACYBP",1
"57","CALD1",1
"58","CALM2",1
"59","CAPZA1",1
"60","CBWD1",1
"61","CCBE1",1
"62","CCDC34",1
"63","CCNB1",1
"64","CCND1",1
"65","CCND3",1
"66","CCNL1",1
"67","CCT4",1
"68","CCT6A",1
"69","CD58",1
"70","CD9",1
"71","CDA",1
"72","CDC20",1
"73","CDCA3",1
"74","CDKN1A",1
"75","CDKN2C",1
"76","CDKN3",1
"77","CEBPD",1
"78","CEMIP",1
"79","CENPA",1
"80","CENPF",1
"81","CENPM",1
"82","CENPW",1
"83","CH25H",1
"84","CHMP1B",1
"85","CHMP2B",1
"86","CHN1",1
"87","CHORDC1",1
"88","CHTF8",1
"89","CITED2",1
"90","CKB",1
"91","CKS2",1
"92","CLDN11",1
"93","CLEC2B",1
"94","CLIC3",1
"95","CLK1",1
"96","CLU",1
"97","CNBD2",1
"98","CNN1",1
"99","COL12A1",1
"100","COL1A1",1
"101","COL8A1",1
"102","COMP",1
"103","COPS8",1
"104","COQ6",1
"105","CRABP2",1
"106","CRIP1",1
"107","CRIP2",1
"108","CRLF1",1
"109","CRYAB",1
"110","CSRP2",1
"111","CTA-29F11.1",1
"112","CTGF",1
"113","CTSL",1
"114","CYGB",1
"115","CYP1B1",1
"116","CYR61",1
"117","DAGLB",1
"118","DAZAP2",1
"119","DCAF13",1
"120","DCN",1
"121","DDIT3",1
"122","DDIT4",1
"123","DDX10",1
"124","DDX39A",1
"125","DDX59",1
"126","DHCR24",1
"127","DKK1",1
"128","DNAJA1",1
"129","DNAJB1",1
"130","DNAJB9",1
"131","DNTTIP2",1
"132","DOK5",1
"133","DPT",1
"134","DPYSL3",1
"135","DSP",1
"136","DSTN",1
"137","DTYMK",1
"138","EFEMP1",1
"139","EGR1",1
"140","EIF4A2",1
"141","ELN",1
"142","ENO1",1
"143","EPB41L4A-AS1",1
"144","EPC1",1
"145","ERICH1",1
"146","ETFDH",1
"147","ETNK1",1
"148","EXOC5",1
"149","EXOSC7",1
"150","F2R",1
"151","F3",1
"152","FABP5",1
"153","FAH",1
"154","FAM162A",1
"155","FAM167B",1
"156","FAM20C",1
"157","FAM32A",1
"158","FBLN1",1
"159","FBLN2",1
"160","FBXO32",1
"161","FGF2",1
