"","GENE","FREQUENCY"
"1","AC004520.1",1
"2","AC037198.2",1
"3","AC058791.1",1
"4","ACE2",1
"5","ACSM3",1
"6","ADAMTS1",1
"7","ADAMTS4",1
"8","ADAMTS5",1
"9","ADH1C",1
"10","AKAP12",1
"11","ALDH1A1",1
"12","ALKAL2",1
"13","ANGPTL4",1
"14","APOD",1
"15","ARID5B",1
"16","ARRDC3",1
"17","ASPN",1
"18","ATF3",1
"19","B4GALT1",1
"20","BAG3",1
"21","BAMBI",1
"22","BGN",1
"23","BHLHE40",1
"24","BIRC3",1
"25","BTG1",1
"26","BTG2",1
"27","C10orf10",1
"28","C11orf96",1
"29","C2orf40",1
"30","C7",1
"31","C8orf4",1
"32","CALCRL",1
"33","CAVIN2",1
"34","CCDC102B",1
"35","CCDC71L",1
"36","CCDC80",1
"37","CEP152",1
"38","CH25H",1
"39","CHI3L2",1
"40","CHRDL1",1
"41","CILP",1
"42","CITED2",1
"43","CLDN11",1
"44","CLU",1
"45","COL12A1",1
"46","COL1A1",1
"47","COL4A1",1
"48","COL8A1",1
"49","CRYAB",1
"50","CSRP2",1
"51","CTGF",1
"52","CTHRC1",1
"53","CTSK",1
"54","CXCL8",1
"55","CYP1B1",1
"56","CYP4B1",1
"57","CYR61",1
"58","DAAM1",1
"59","DKK3",1
"60","DNAJB1",1
"61","DNAJB4",1
"62","DPT",1
"63","DUSP1",1
"64","EBF2",1
"65","ELMSAN1",1
"66","ELN",1
"67","ERRFI1",1
"68","ETS2",1
"69","F3",1
"70","FAM107A",1
"71","FAM43A",1
"72","FAM46A",1
"73","FBN1",1
"74","FGF7",1
"75","FGF9",1
"76","FHL1",1
"77","FILIP1L",1
"78","FMO2",1
"79","FN1",1
"80","FOSB",1
"81","FST",1
"82","G0S2",1
"83","GADD45A",1
"84","GADD45B",1
"85","GDF15",1
"86","GEM",1
"87","GGT5",1
"88","GLRX",1
"89","GPC3",1
"90","GPRC5A",1
"91","HAS1",1
"92","HAS2",1
"93","HES1",1
"94","HES4",1
"95","HGF",1
"96","HILPDA",1
"97","HOXA5",1
"98","HP",1
"99","HSD11B1",1
"100","HSPA6",1
"101","HSPH1",1
"102","HTRA3",1
"103","ID1",1
"104","ID2",1
"105","ID3",1
"106","ID4",1
"107","IER2",1
"108","IER3",1
"109","IFI27",1
"110","IFI6",1
"111","IGF1",1
"112","IGFBP4",1
"113","IGFBP5",1
"114","IGFBP7",1
"115","IL32",1
"116","INMT",1
"117","INSR",1
"118","KCNE4",1
"119","KCNQ1OT1",1
"120","KDR",1
"121","KLF4",1
"122","KLF6",1
"123","LAMB1",1
"124","LBH",1
"125","LEPR",1
"126","LIMCH1",1
"127","LINC01088",1
"128","LMCD1",1
"129","LMOD1",1
"130","LTBP2",1
"131","LUM",1
"132","LXN",1
"133","MAFB",1
"134","MAFF",1
"135","MAP1B",1
"136","MARCKS",1
"137","MARCKSL1",1
"138","MEG3",1
"139","MEG8",1
"140","MEOX2",1
"141","MID1IP1",1
"142","MT1A",1
"143","MT1E",1
"144","MT1M",1
"145","MT1X",1
"146","MT2A",1
"147","MYC",1
"148","MYOC",1
"149","NDRG2",1
"150","NEDD9",1
"151","NPY1R",1
"152","NR4A1",1
"153","NR4A2",1
"154","NRP1",1
"155","OSR2",1
"156","OTUD1",1
"157","PCOLCE2",1
"158","PDK4",1
"159","PGAP1",1
"160","PGF",1
"161","PHLDA1",1
"162","PI16",1
"163","PIM1",1
"164","PLA2G2A",1
"165","PLAT",1
"166","PLAU",1
"167","PLIN2",1
"168","PLK2",1
"169","PNRC1",1
"170","PPP1CB",1
"171","PROCR",1
"172","PRPS2",1
"173","PRSS23",1
"174","PTGDS",1
"175","PTGS2",1
"176","RAMP2",1
"177","RARRES1",1
"178","RASD1",1
"179","RGS16",1
"180","RGS2",1
"181","RND3",1
"182","RRAD",1
"183","RSPO3",1
"184","SAT1",1
"185","SCN7A",1
"186","SEMA3C",1
"187","SEPHS2",1
"188","SERPINE1",1
"189","SFRP1",1
"190","SFRP2",1
"191","SFRP4",1
"192","SGK1",1
"193","SHISA3",1
"194","SLC2A3",1
"195","SMOC2",1
"196","SOCS3",1
"197","SOD2",1
"198","SOX4",1
"199","SRPX",1
"200","SRSF7",1
"201","STEAP4",1
"202","STK17B",1
"203","SVEP1",1
"204","SYNE2",1
"205","TFPI2",1
"206","TGM2",1
"207","THBD",1
"208","THBS1",1
"209","TIMP1",1
"210","TIPARP",1
"211","TM4SF1",1
"212","TMEM100",1
"213","TNFAIP6",1
"214","TNFRSF12A",1
"215","TPPP3",1
"216","TRAC",1
"217","TRIB1",1
"218","TSC22D1",1
"219","TSKU",1
"220","TSPAN8",1
"221","TUBA1A",1
"222","TXNIP",1
"223","VCAM1",1
"224","VCAN",1
"225","VEGFD",1
"226","WISP2",1
"227","WNK3",1
"228","ZFP36L1",1
"229","ZNF331",1
"230","ZNF385A",1
"231","FIBIN",0.999
"232","DNAJC27",0.998
"233","PTGIR",0.998
"234","AVPI1",0.997
"235","INTS6",0.997
"236","CHL1",0.996
"237","KLF2",0.996
"238","APOL2",0.993
"239","CD9",0.992
"240","ABCA1",0.989
"241","CD248",0.989
"242","DUSP6",0.989
"243","OR7E47P",0.987
"244","EIF4A3",0.974
"245","RETREG1",0.974
"246","TNFAIP2",0.974
"247","MT2P1",0.971
"248","SPSB1",0.971
"249","PALLD",0.97
"250","HSPB1",0.969
"251","GAS1",0.968
"252","MFAP5",0.968
"253","EGR3",0.967
"254","OSR1",0.967
"255","SPON1",0.966
"256","HNRNPH1",0.963
"257","LRRC17",0.963
"258","AHNAK2",0.961
"259","FMO3",0.96
"260","NQO1",0.96
"261","VGLL3",0.958
"262","FILIP1",0.957
"263","EFHD1",0.955
"264","ATF5",0.954
"265","HSPA1A",0.954
"266","EPHA3",0.953
"267","AC116366.1",0.951
"268","ARL4D",0.951
"269","FGF18",0.95
"270","NAMPT",0.948
"271","PHLDB2",0.948
"272","EIF1B",0.945
"273","TOB1",0.938
"274","ITGBL1",0.937
"275","SMPDL3A",0.936
"276","SPRY1",0.936
"277","IGFBP3",0.934
"278","SLC40A1",0.934
"279","BCHE",0.933
"280","HSPA1B",0.933
"281","NECAB1",0.933
"282","CREM",0.93
"283","SEMA3D",0.929
"284","FGF10",0.928
"285","FBXO32",0.927
"286","ANGPTL5",0.926
"287","MYLK",0.926
"288","PTGFR",0.926
"289","ELL2",0.924
"290","KRT19",0.924
"291","COL1A2",0.922
"292","PISD",0.921
"293","CRLF1",0.918
"294","DEPTOR",0.915
"295","EMP1",0.913
"296","ELL",0.912
"297","LSAMP",0.912
"298","DHRS3",0.906
"299","SNCG",0.904
"300","CEBPB",0.903
"301","ADAMTS3",0.897
"302","TMEM176B",0.893
"303","AL583785.1",0.892
"304","CYCS",0.892
"305","ABCA10",0.89
"306","PDZRN4",0.89
"307","ALDH1A3",0.889
"308","CDO1",0.889
"309","ANKRD28",0.888
"310","IFRD1",0.881
"311","TMEM47",0.873
"312","PHLDA2",0.871
"313","CPXM1",0.867
"314","MEGF6",0.867
"315","H19.1",0.866
"316","GDF10",0.865
"317","RCAN1",0.859
"318","TXNRD1",0.858
"319","MAP1LC3C",0.857
"320","SNAI2",0.857
"321","ENC1",0.855
"322","FAIM2",0.854
"323","SLITRK4",0.854
"324","AC008760.2",0.851
"325","EGR1",0.849
"326","CREB5",0.844
"327","TSC22D3",0.844
"328","LETM1",0.843
"329","MAMDC2",0.843
"330","MME",0.843
"331","RGMA",0.842
"332","COL14A1",0.836
"333","PCDH9",0.836
"334","TMEM119",0.836
"335","FAM161A",0.835
"336","AADACL2",0.834
"337","ISM1",0.832
"338","FAM107B",0.828
"339","KLF5",0.824
"340","CES1",0.821
"341","MT1G",0.819
"342","CDKN1A",0.817
"343","DIO2",0.814
"344","PPP1R14A",0.814
"345","TNNT3",0.814
"346","WNT2",0.813
"347","YPEL2",0.812
"348","ATOH8",0.811
"349","CTTN",0.811
"350","TJP2",0.809
"351","NIPSNAP3B",0.806
"352","TMEM38A",0.801
"353","ARL5B",0.8
"354","IGFBP2",0.796
"355","TMEM176A",0.792
"356","SERPINE2",0.79
"357","CEBPD",0.788
"358","MOXD1",0.788
"359","C1QTNF3",0.786
"360","H1F0",0.785
"361","TPM2",0.785
"362","EYA3",0.784
"363","TMEM71",0.783
"364","MATN2",0.782
"365","BICC1",0.78
"366","DCLK1",0.78
"367","SLC19A2",0.78
"368","RDH10",0.779
"369","SDC4",0.778
"370","CMYA5",0.776
"371","ING1",0.775
"372","AQP3",0.773
"373","TEX26-AS1",0.771
"374","CEP290",0.77
"375","COL6A3",0.77
"376","PLAUR",0.77
"377","VASN",0.767
"378","SPINT2",0.765
"379","CCDC3",0.761
"380","ACADL",0.758
"381","PCOLCE",0.756
"382","BASP1",0.755
"383","MAP1A",0.754
"384","NR2F1",0.753
"385","CTNNAL1",0.752
"386","EMP3",0.752
"387","FRMD4B",0.752
"388","INHBA",0.752
"389","SAMD11",0.752
"390","PDE4D",0.751
"391","AGT",0.75
"392","AP003119.3",0.75
"393","SEPT6",0.75
"394","SUSD6",0.75
"395","SLC7A8",0.749
"396","SOD3",0.748
"397","CDC25B",0.747
"398","FHL2",0.747
"399","HELLPAR",0.741
"400","RNF212",0.74
"401","SENP5",0.739
"402","KBTBD7",0.737
"403","CSRP1",0.736
"404","NUCB2",0.735
"405","TLE3",0.734
"406","CEP83",0.733
"407","TACSTD2",0.733
"408","RBP4",0.731
"409","NCALD",0.729
"410","RPS6KA5",0.727
"411","TUBB2B",0.727
"412","ARHGEF26",0.726
"413","EPS8",0.726
"414","IRS1",0.726
"415","PRKG1",0.724
"416","PCDH17",0.721
"417","MYH10",0.72
"418","HSPA5",0.717
"419","ZMAT3",0.714
"420","STEAP2",0.713
"421","RNF217",0.711
"422","FOXC1",0.71
"423","CLEC2B",0.707
"424","GLUL",0.706
"425","EOGT",0.702
"426","LIX1L",0.7
"427","MEIS1",0.7
"428","RBM10",0.698
"429","KAZALD1",0.697
"430","KCNE3",0.696
"431","SEMA3B",0.696
"432","GIGYF1",0.692
"433","LINC00473",0.69
"434","PDGFD",0.69
"435","CKB",0.689
"436","INSIG1",0.687
"437","PTHLH",0.687
"438","CTTNBP2",0.686
"439","NFYB",0.683
"440","SERPINF2",0.683
"441","LRRK1",0.682
"442","MAL",0.682
"443","PDLIM7",0.681
"444","HLA-DRB1",0.679
"445","IGSF10",0.679
"446","DHFR2",0.676
"447","CENPW",0.674
"448","C1QTNF7",0.673
"449","MIR4435-2HG",0.673
"450","ZBTB8A",0.672
"451","KIAA0907",0.671
"452","MSX1",0.671
"453","PRRG3",0.671
"454","LINC01354",0.67
"455","NEAT1",0.67
"456","PPP1R10",0.669
"457","CLASP2",0.667
"458","C17orf58",0.665
"459","RASSF9",0.665
"460","FABP3",0.664
"461","LIFR",0.664
"462","TIMP3",0.664
"463","AKR1C1",0.663
"464","PPP1R16A",0.663
"465","PHACTR2",0.661
"466","RASSF2",0.661
"467","TRIB2",0.661
"468","SLFN11",0.659
"469","CASP9",0.657
"470","LOXL1",0.657
