"","GENE","FREQUENCY"
"1","AC074289.1",1
"2","ADAM19",1
"3","ADAM8",1
"4","ALOX5AP",1
"5","ANKRD37",1
"6","ATF5",1
"7","B4GALT1",1
"8","BASP1",1
"9","BIN1",1
"10","BIRC3",1
"11","BIRC5",1
"12","BNIP3",1
"13","BTG2",1
"14","C16orf54",1
"15","C16orf74",1
"16","CCL3",1
"17","CCL4",1
"18","CD52",1
"19","CD86",1
"20","CDKN1A",1
"21","CDKN2C",1
"22","CEBPD",1
"23","CHI3L2",1
"24","CITED2",1
"25","COCH",1
"26","CRIP1",1
"27","CTA-384D8.34",1
"28","CXCR3",1
"29","DDIT3",1
"30","DDIT4",1
"31","DERL3",1
"32","DUSP2",1
"33","EBI3",1
"34","EVI2A",1
"35","FSCN1",1
"36","GADD45B",1
"37","GCSAM",1
"38","GIMAP7",1
"39","GPR183",1
"40","H1FX",1
"41","HERC5",1
"42","HERPUD1",1
"43","HIST1H1C",1
"44","HIST1H2AC",1
"45","HIST1H2BC",1
"46","HLA-DMB",1
"47","HLA-DQA1",1
"48","HLA-DQB1",1
"49","HMOX1",1
"50","HRASLS2",1
"51","HSPA5",1
"52","HSPB1",1
"53","ID2",1
"54","ID3",1
"55","IER2",1
"56","IFI44L",1
"57","IFIT1",1
"58","IFIT3",1
"59","IGHM",1
"60","IGKC",1
"61","IGLV6-57",1
"62","INSIG1",1
"63","IRF1",1
"64","IRF4",1
"65","IRF8",1
"66","ISG15",1
"67","ITM2A",1
"68","JUN",1
"69","JUNB",1
"70","KIAA0101",1
"71","KIAA0125",1
"72","KLF6",1
"73","LAMP5",1
"74","LDHA",1
"75","LGALS1",1
"76","LGALS14",1
"77","LGMN",1
"78","LINC00176",1
"79","LINC01480",1
"80","LRMP",1
"81","LTB",1
"82","MACROD2",1
"83","MARCKS",1
"84","MARCKSL1",1
"85","MGST1",1
"86","MIR155HG",1
"87","MKNK2",1
"88","MNDA",1
"89","MS4A1",1
"90","MT2A",1
"91","MX2",1
"92","MYC",1
"93","MYO1F",1
"94","NAPSA",1
"95","NFKB2",1
"96","NFKBIA",1
"97","NKG7",1
"98","P2RX5",1
"99","PHACTR1",1
"100","PHGDH",1
"101","PITPNC1",1
"102","PKM",1
"103","PLAC8",1
"104","PMAIP1",1
"105","PSAT1",1
"106","RARRES3",1
"107","RASGRP2",1
"108","REL",1
"109","RGCC",1
"110","RGS16",1
"111","RNASE6",1
"112","RNGTT",1
"113","RP11-138A9.2",1
"114","RP3-325F22.5",1
"115","RP5-1171I10.5",1
"116","RP5-887A10.1",1
"117","S100A11",1
"118","S100A4",1
"119","S100A6",1
"120","S1PR2",1
"121","S1PR4",1
"122","SAMSN1",1
"123","SAT1",1
"124","SCIMP",1
"125","SDF2L1",1
"126","SELL",1
"127","SELM",1
"128","SLC25A4",1
"129","SOCS1",1
"130","SPIB",1
"131","SULF2",1
"132","TCL1A",1
"133","TIFA",1
"134","TIMD4",1
"135","TNFSF10",1
"136","TRAC",1
"137","TRAF4",1
"138","TRBC2",1
"139","TRIB1",1
"140","TSC22D3",1
"141","TXNIP",1
"142","VIM",1
"143","WARS",1
"144","XAF1",1
"145","ZFP36",1
"146","ZFP36L1",1
"147","ZFP36L2",1
"148","ABLIM1",0.9
"149","AC245100.1",0.9
"150","AICDA",0.9
"151","AIM2",0.9
"152","ALDOC",0.9
"153","APOL1",0.9
"154","BATF",0.9
"155","BCL11A",0.9
"156","BCL7A",0.9
"157","BIK",0.9
"158","BMF",0.9
"159","CAPG",0.9
"160","CCL22",0.9
"161","CCL5",0.9
"162","CCR7",0.9
"163","CD180",0.9
"164","CD22",0.9
