"","GENE","FREQUENCY"
"1","AC058791.1",1
"2","AREG",1
"3","ARRDC3",1
"4","ATP1B1",1
"5","B4GALT1",1
"6","C6orf62",1
"7","CALML5",1
"8","CBX6",1
"9","CCS",1
"10","CNOT9",1
"11","CTNNB1",1
"12","DNAJC3",1
"13","DOCK5",1
"14","EIF5A",1
"15","FKBP9",1
"16","GAN",1
"17","GOLIM4",1
"18","GPRC5A",1
"19","GRHL2",1
"20","HNRNPH1",1
"21","HNRNPL",1
"22","HSPA5",1
"23","HSPB1",1
"24","IFI6",1
"25","IGFBP5",1
"26","IMMP1L",1
"27","INSR",1
"28","IRF2BPL",1
"29","IRX3",1
"30","JUN",1
"31","KRT14",1
"32","KRT17",1
"33","KRT81",1
"34","LEMD1",1
"35","LETM1",1
"36","LINC02095",1
"37","LYSMD1",1
"38","MDM4",1
"39","MGP",1
"40","MT1X",1
"41","MT2A",1
"42","NDRG1",1
"43","NEBL",1
"44","NUP155",1
"45","NUPR1",1
"46","PAFAH1B1",1
"47","PAQR7",1
"48","PCMTD1",1
"49","PDGFA",1
"50","PI3",1
"51","PPP1CB",1
"52","RASGEF1B",1
"53","RBM6",1
"54","S100A2",1
"55","S100A4",1
"56","SAA1",1
"57","SAT1",1
"58","SDC4",1
"59","SEC22B",1
"60","SET",1
"61","SETD5",1
"62","SKIL",1
"63","SOX4",1
"64","SOX9-AS1",1
"65","SRSF6",1
"66","STK17B",1
"67","TFAP2C",1
"68","TLK1",1
"69","TMED4",1
"70","TOB1",1
"71","TOR1AIP2",1
"72","TP53",1
"73","TRA2A",1
"74","WDR43",1
"75","WFDC21P",1
"76","WTAP",1
"77","YWHAE",1
"78","ZC3H4",1
"79","ZNF462",1
"80","ZNF557",1
"81","ARL2",0.999
"82","RNF144B",0.999
"83","RREB1",0.999
"84","EGR1",0.998
"85","GADD45B",0.997
"86","MXD1",0.997
"87","SIRT2",0.996
"88","AFMID",0.994
"89","AHSA1",0.993
"90","CAPZA1",0.993
"91","PADI2",0.993
"92","ETNK1",0.991
"93","MPRIP-AS1",0.991
"94","ID1",0.99
"95","MED21",0.989
"96","MGEA5",0.989
"97","HSPA1A",0.988
"98","TSPYL1",0.987
"99","NFIB",0.986
"100","PARD6B",0.986
"101","CSNK1A1",0.985
"102","FTL",0.983
"103","CHP1",0.982
"104","SLC26A2",0.982
"105","LPIN3",0.981
"106","PER2",0.981
"107","AC034213.1",0.979
"108","MT1G",0.979
"109","PDS5B",0.977
"110","EMC10",0.975
"111","ENAH",0.974
"112","TMEM159",0.974
"113","DNAJB1",0.97
"114","BLCAP",0.961
"115","NCK1",0.96
"116","RAP2B",0.96
"117","ANKRD10",0.958
"118","R3HDM2",0.956
"119","EIF2S3",0.954
"120","CTTN",0.953
"121","DDX18",0.953
"122","RAB13",0.951
"123","SCRG1",0.946
"124","ZNF428",0.946
"125","AC020916.1",0.941
"126","ARPC4",0.941
"127","ZFP36L2",0.941
"128","AEBP2",0.94
"129","RPL22L1",0.94
"130","SRPRB",0.94
"131","CNN3",0.939
"132","CCT8",0.938
"133","EGLN3",0.938
"134","LURAP1L",0.937
"135","SAR1A",0.933
"136","PSMC3",0.931
"137","HSP90AA1",0.929
"138","HILPDA",0.926
"139","AC004520.1",0.925
"140","LARP4B",0.925
"141","C19orf12",0.921
"142","CFAP36",0.918
"143","GAPDHP40",0.918
"144","MAL2",0.918
"145","MED28",0.915
"146","GNG5",0.911
"147","STT3A",0.911
"148","BNIP3",0.909
"149","FLCN",0.908
"150","FOS",0.908
"151","AKAP13",0.907
"152","TPD52L1",0.907
"153","MT-RNR1",0.905
"154","RAP1GDS1",0.905
"155","FBXO32",0.904
"156","EXOSC4",0.902
"157","FOSL2",0.901
"158","COPB2",0.899
"159","NBDY",0.897
"160","ITGB8",0.896
"161","ATP5S",0.89
"162","NR1D2",0.889
"163","CAPS",0.888
"164","CHRAC1",0.888
"165","KDM4B",0.886
"166","TIMM29",0.886
"167","ARID5B",0.884
"168","COX6A1",0.884
"169","MIR4435-2HG",0.88
"170","MPST",0.88
"171","P4HA1",0.879
"172","PPP3CA",0.875
"173","CHCHD1",0.874
"174","FAAP20",0.874
"175","SLC25A4",0.874
