"","GENE","FREQUENCY"
"1","ABCC3",1
"2","ADAMTS1",1
"3","ADAMTS9",1
"4","ADIRF",1
"5","AF127936.7",1
"6","AGR2",1
"7","AKAP12",1
"8","AKR1B1",1
"9","AKR1C1",1
"10","AKR1C2",1
"11","ALDH1A3",1
"12","ALDH3A1",1
"13","AMIGO2",1
"14","AMTN",1
"15","ANGPTL4",1
"16","APOBEC3C",1
"17","APOL1",1
"18","APOL2",1
"19","AQP3",1
"20","AREG",1
"21","ARL4C",1
"22","ASB2",1
"23","ATF3",1
"24","ATF4",1
"25","ATP1B1",1
"26","ATP2B1",1
"27","B3GNT7",1
"28","B4GALT1",1
"29","BBC3",1
"30","BCL2A1",1
"31","BDNF",1
"32","BIRC3",1
"33","BMP2",1
"34","BNIP3",1
"35","BPGM",1
"36","BTG1",1
"37","BTG2",1
"38","C12orf75",1
"39","C15orf48",1
"40","C1orf56",1
"41","C8orf4",1
"42","CA2",1
"43","CAMK2N1",1
"44","CAPNS2",1
"45","CCDC71L",1
"46","CCNA1",1
"47","CCNG2",1
"48","CD24",1
"49","CDC42SE1",1
"50","CDKN1A",1
"51","CDKN2A",1
"52","CEACAM6",1
"53","CITED2",1
"54","CITED4",1
"55","CKB",1
"56","CKS2",1
"57","CLEC2B",1
"58","CLMP",1
"59","CNKSR3",1
"60","CP",1
"61","CRABP2",1
"62","CRCT1",1
"63","CST6",1
"64","CSTA",1
"65","CSTB",1
"66","CTC-425F1.4",1
"67","CTGF",1
"68","CTNNAL1",1
"69","CTNNB1",1
"70","CXCL11",1
"71","CXCL6",1
"72","CXCL8",1
"73","CYGB",1
"74","CYP1B1",1
"75","CYP24A1",1
"76","CYR61",1
"77","DDIT3",1
"78","DDIT4",1
"79","DHRS9",1
"80","DKK1",1
"81","DRAM1",1
"82","DSG3",1
"83","DST",1
"84","DUOX2",1
"85","DUOXA2",1
"86","DUSP1",1
"87","DUSP4",1
"88","DUSP6",1
"89","EDN1",1
"90","EFNA1",1
"91","EGR1",1
"92","EIF5A",1
"93","ELF3",1
"94","EMP3",1
"95","ENC1",1
"96","ENTPD3",1
"97","EPPK1",1
"98","ERRFI1",1
"99","ETS1",1
"100","F3",1
"101","FABP5",1
"102","FAM213A",1
"103","FAM43A",1
"104","FBXO32",1
"105","FERMT1",1
"106","FGF2",1
"107","FGF5",1
"108","FGFBP1",1
"109","FN1",1
"110","FOS",1
"111","FST",1
"112","FTH1",1
"113","FTL",1
"114","G0S2",1
"115","GAL",1
"116","GDF15",1
"117","GJB2",1
"118","GLRX",1
"119","GLUL",1
"120","GPRC5A",1
"121","GRHL2",1
"122","H1F0",1
"123","HAS3",1
"124","HBEGF",1
"125","HCAR3",1
"126","HES1",1
"127","HIST1H2AC",1
"128","HIST1H2BD",1
"129","HLA-G",1
"130","HMGA2",1
"131","HNRNPH1",1
"132","HRASLS2",1
"133","HS3ST1",1
"134","HSPA1A",1
"135","HSPB1",1
"136","ID2",1
"137","ID3",1
"138","IFNL1",1
"139","IGFBP2",1
"140","IGFBP3",1
"141","IGFBP6",1
"142","IL17C",1
"143","IL32",1
"144","IL36G",1
"145","INHBA",1
"146","INSR",1
"147","ITGB8",1
"148","JUN",1
"149","KCCAT211",1
"150","KIAA0101",1
"151","KIAA1551",1
"152","KLF4",1
"153","KLF7",1
"154","KLK10",1
"155","KLK6",1
"156","KRT14",1
"157","KRT17",1
"158","KRT23",1
"159","KRT5",1
"160","KRT6B",1
"161","LAMA3",1
"162","LAMC2",1
"163","LAYN",1
"164","LGALSL",1
"165","LIMCH1",1
"166","LIMD2",1
"167","LINC00152",1
"168","LINC00958",1
"169","LINC01133",1
"170","LMO7",1
"171","LRRC75A",1
"172","LRRC8A",1
"173","LY6D",1
"174","LY6K",1
"175","LYAR",1
"176","LYPD3",1
"177","MALL",1
"178","MAP3K8",1
"179","MARCKSL1",1
"180","MAST4",1
"181","MMP1",1
"182","MMP9",1
"183","MPRIP-AS1",1
"184","MSMB",1
"185","MT-ATP6",1
"186","MT-CO1",1
"187","MT-CO2",1
"188","MT-CO3",1
"189","MT-CYB",1
"190","MT-ND1",1
"191","MT-ND2",1
"192","MT-ND3",1
"193","MT-ND4",1
"194","MT-ND5",1
"195","MT-ND6",1
"196","MT1E",1
"197","MT1X",1
"198","MT2A",1
"199","MXD1",1
"200","MYL9",1
"201","NCF2",1
"202","NCL",1
"203","NDRG1",1
"204","NEAT1",1
"205","NET1",1
"206","NEURL3",1
"207","NEXN",1
"208","NINJ1",1
"209","NKX3-1",1
"210","NMB",1
"211","NPW",1
"212","NR2F2",1
"213","NR4A2",1
"214","NRP2",1
"215","NUPR1",1
"216","ODC1",1
"217","OGFRL1",1
"218","OLR1",1
"219","PAQR7",1
"220","PDZK1IP1",1
"221","PGF",1
"222","PHKG1",1
"223","PHLDA1",1
"224","PI3",1
"225","PIM1",1
"226","PLAC8",1
"227","PLAT",1
"228","PLAU",1
"229","PLAUR",1
"230","PLK2",1
"231","PMAIP1",1
"232","PMEPA1",1
"233","PNRC1",1
"234","PPP1R14A",1
"235","PRR15",1
"236","PRSS23",1
"237","PTGS2",1
"238","PTHLH",1
"239","PVRL4",1
"240","RAB27B",1
"241","RARRES3",1
"242","RBP1",1
"243","RGMB",1
"244","RGS2",1
"245","RHCG",1
"246","RHOBTB3",1
"247","RHOV",1
"248","RP11-138A9.2",1
"249","RP11-294J22.6",1
"250","RP11-538P18.2",1
"251","RP11-95M15.1",1
"252","RP6-65G23.3",1
"253","RPS27L",1
"254","RRM2B",1
"255","S100A4",1
"256","S100A6",1
"257","S100A7",1
"258","S100P",1
"259","SAA1",1
"260","SAA2",1
"261","SDC1",1
"262","SDC4",1
"263","SELM",1
"264","SERPINB1",1
"265","SERPINB2",1
"266","SERPINB3",1
"267","SERPINB4",1
"268","SERPINB5",1
"269","SERPINB7",1
"270","SERPINE2",1
"271","SFTA1P",1
"272","SGK1",1
"273","SLC25A37",1
"274","SLC34A2",1
"275","SLC38A2",1
"276","SLC39A8",1
"277","SLC44A4",1
"278","SLC6A14",1
"279","SLC7A11",1
"280","SLC7A5",1
"281","SMURF2",1
"282","SNAI2",1
"283","SNAPC1",1
"284","SNCG",1
"285","SOCS3",1
"286","SOX4",1
"287","SOX7",1
"288","SOX9",1
"289","SPRR1B",1
"290","SPRR2D",1
"291","SRGN",1
"292","STC1",1
"293","STMN1",1
"294","SUGCT",1
"295","SYT8",1
"296","TAGLN",1
"297","TENM2",1
"298","TFPI2",1
"299","TGFBI",1
"300","TGFBR2",1
"301","TGM1",1
"302","TGM2",1
"303","THBS1",1
"304","TIMP1",1
"305","TIMP3",1
"306","TM4SF1",1
"307","TMEM120B",1
"308","TMEM171",1
"309","TMEM40",1
"310","TMPRSS4",1
"311","TNC",1
"312","TNFAIP2",1
"313","TNFAIP6",1
"314","TNNT1",1
"315","TNS4",1
"316","TPM1",1
"317","TPM2",1
"318","TSC22D1",1
"319","TUBA1A",1
"320","TUBA1B",1
"321","TUBA1C",1
"322","UCHL1",1
"323","UPP1",1
"324","VAMP5",1
"325","VCAN",1
"326","WFDC2",1
"327","WNT4",1
"328","WNT7B",1
"329","WTAP",1
"330","XYLT2",1
